Mutation type,ColoRect-AdenoCA::MSI-H.S.1,ColoRect-AdenoCA::MSI-H.S.2,ColoRect-AdenoCA::MSI-H.S.3,ColoRect-AdenoCA::MSI-H.S.4,ColoRect-AdenoCA::MSI-H.S.5,ColoRect-AdenoCA::MSI-H.S.6,ColoRect-AdenoCA::MSI-H.S.7,ColoRect-AdenoCA::MSI-H.S.8,ColoRect-AdenoCA::MSI-H.S.9,ColoRect-AdenoCA::MSI-H.S.10,ColoRect-AdenoCA::MSI-H.S.11,ColoRect-AdenoCA::MSI-H.S.12,ColoRect-AdenoCA::MSI-H.S.13,ColoRect-AdenoCA::MSI-H.S.14,ColoRect-AdenoCA::MSI-H.S.15,ColoRect-AdenoCA::MSI-H.S.16,ColoRect-AdenoCA::MSI-H.S.17,ColoRect-AdenoCA::MSI-H.S.18,ColoRect-AdenoCA::MSI-H.S.19,ColoRect-AdenoCA::MSI-H.S.20,ColoRect-AdenoCA::MSI-H.S.21,ColoRect-AdenoCA::MSI-H.S.22,ColoRect-AdenoCA::MSI-H.S.23,ColoRect-AdenoCA::MSI-H.S.24,ColoRect-AdenoCA::MSI-H.S.25,ColoRect-AdenoCA::MSI-H.S.26,ColoRect-AdenoCA::MSI-H.S.27,ColoRect-AdenoCA::MSI-H.S.28,ColoRect-AdenoCA::MSI-H.S.29,ColoRect-AdenoCA::MSI-H.S.30,ColoRect-AdenoCA::MSI-H.S.31,ColoRect-AdenoCA::MSI-H.S.32,ColoRect-AdenoCA::MSI-H.S.33,ColoRect-AdenoCA::MSI-H.S.34,ColoRect-AdenoCA::MSI-H.S.35
AC>CA,47.032795668683335,27.882731610333924,1.497447971306687,5.983350989086373,1.862602608630846,2.5393125110364942,2.8510321441154955,30.514992497569548,2.5607787526646977,2.8841967208927963,2.6039849090559017,104.48184130519348,6.592284289824532,1.7222608718756,1.2158215233098342,2.591062679042088,1.424638953136752,11.984132303273784,3.802952989448124,17.085557454205453,3.157924775180954,3.9771771289280595,3.7044070550898955,6.357991408822532,5.3643191006709685,3.3454673575286,27.2655922371098,1.5464390365792098,6.957442209311358,2.9004791681035864,4.205439622678594,21.06678145960374,3.4554686213163714,3.3797637354941035,5.414269862460704
AC>CG,0.37253912368621706,0.546063962160988,0.10548079434959187,0.29432557462405473,0.09717714542035091,0.07734587154705243,0.16426618391027292,0.20092226657488438,0.10058947867909124,0.0906162962108956,0.1574310279282659,0.5126014861372811,0.524986985666404,0.09564362578890885,0.07771334690884248,0.10255752236894049,0.0405690998409453,0.3352194151483169,0.4650596976460583,0.4216170155198664,0.34931743839428486,0.3899460268202898,0.09477472888446435,0.8001669690988632,0.30457205000836135,0.16298991133815452,0.37137166313048103,0.07549937737524687,0.8831615035837208,0.279937906428578,0.5244214432630154,0.5904528638119695,0.2732250337258175,0.32456538712987854,0.5786907186894615
AC>CT,68.19154895081816,37.24207900703599,1.4678988953300705,6.506381775184483,2.084016273480303,3.3236649974623513,3.1042585268684335,44.06633352682315,2.6579878716247682,3.7271713322548488,2.5217085693749204,154.3758672524867,5.316126958461088,1.9393918081672117,1.164846146628455,3.076454168871962,1.559816333036507,15.66896693234338,1.241476070845095,22.35860015558949,1.72076844984796,3.134570309122589,4.864551136875766,2.463890542911965,5.253738944759087,3.7148574315451866,38.159733519480874,1.2976801221111867,2.835661085000752,2.3544732198052154,1.3012698199266726,26.47136935075619,2.2430914419941783,2.517363673862405,3.1582860850510297
AC>GA,2.94881859435064,1.7797483387466146,1.59593482035869,1.958375555026132,1.4782823811700951,0.977373931881181,1.8730685262926365,1.6880320596371163,1.8882530225669885,1.2457411984458489,1.0287368449802115,1.0746041329809348,1.7050909866711168,1.039181708693657,1.3037038627923874,1.2942216922455798,0.8529558404913133,2.942813387003058,1.0861245364868757,3.1454822408809964,1.529319212293617,2.890695284763622,1.2001145980920964,2.077716693095726,1.677928678544989,0.8460994097315857,2.2278695521233396,1.547214010268016,2.030759954391457,2.0255954341303672,1.384939074305259,2.0370872473158066,1.2034089384840607,2.193693974103608,2.036319884922083
AC>GG,0.7611561630821395,0.4214487770058762,0.35979906728156275,0.4054855661677741,0.33464666141243893,0.20361709688045992,0.4596501870357105,0.36694320783214385,0.32905623547004204,0.3040472088647961,0.2339998746757634,0.5364847289833448,0.38530990016298355,0.26412465075847036,0.2703383090877413,0.27454283772790183,0.1465500303732486,0.7276529595983304,0.21277799272922332,0.7746879959166809,0.36217500271622916,0.7090500636700645,0.25821034306508084,0.4844572266114183,0.3539707814480257,0.2148483824671347,0.5656617375574534,0.2731692964582183,0.5202386131719284,0.5258008491993752,0.241478856650685,0.42129271376504795,0.19540843023241591,0.5119176397026431,0.5073370413962037
AC>GT,1.7342066465446968,0.6452352204745067,0.849912114910236,2.870867394505306,0.935958247693162,0.3588218952444032,1.175452273328449,1.3424665954637987,4.334271426135879,1.0834502251331823,0.7246224819263447,0.31865568736648453,2.1142190520062556,0.6707056775984557,0.8236008680979934,2.28479567869105,1.3297303719687026,1.4987582025107302,1.0494329419068664,2.133237963780201,1.129338105421264,1.7879064754545022,1.259726703354721,1.3018194186658207,0.9060183697738367,0.5361601258153799,1.1551511340769018,1.4556644283635936,1.6437304064948488,1.422304166184268,0.8554812143482884,1.509878733750495,0.7345303004582828,1.9462707761389968,1.2374000370551754
AC>TA,6.149102332940807,2.9662224601860747,2.1919047597406753,2.063801090299237,2.0196522776640986,1.5990753519612415,2.626574477506835,3.1461964571695944,1.3769581436012364,1.777976172789957,1.2180516815435134,6.833475816674658,1.4894191221771091,1.4995896581682127,1.6823621037580323,1.3615483665054624,0.893429601448755,4.545238023985451,0.6792652072103225,4.686544944157117,1.6548362212484768,3.9406056919132193,1.5979084646008657,1.767401549082783,1.9486736622060818,1.1903468090350728,4.011839297264783,1.5634636523675818,1.6964560979830523,2.768205294882291,0.8738618653792763,2.6476047623016465,0.841595753152659,2.687340308100192,2.1937169195270663
AC>TG,1.944454318732419,0.7903475608065251,0.8776046023441155,0.7256927838038676,0.799101055536971,0.5144172418809844,1.0798575284757097,0.8900858394376412,0.5499776905733893,0.7167840517641906,0.46465491321118907,1.6063176525748588,0.49289380928465387,0.6197976602647157,0.6382652050801115,0.5571137215255548,0.2811548996859773,1.725262841199625,0.07408924703607175,1.7212493534514435,0.621160641158642,1.5627764871012064,0.5999913337285928,0.5330553293868456,0.6751483729213014,0.4323750482366799,1.324606137268035,0.5872613197940331,0.5491112573312087,1.1555622005267467,0.11749389533869839,0.628945357546852,0.23991117114966753,1.03782422630066,0.8102420126591864
AC>TT,3.74890415138474,1.2687592862903185,2.212182535660278,1.7716773715371625,1.9964825290296897,1.4703881949253417,2.7072167259514788,1.4170205172956993,1.4343474256752524,1.828079517508934,1.114391195116217,1.030921855061007,1.1119571476262806,1.5589157622636989,1.6204057739343487,1.39297586096636,1.041013955940583,4.077556739400134,0.5401624399815104,4.090010495643168,1.5327564842609154,3.891577153983054,1.492871441888261,1.2083408466926906,1.6625312809856427,1.1289484419560223,2.582937415888734,1.4952195463057119,1.2335368466584098,2.8647276886353312,0.28254835429875447,1.117477302135062,0.5330441423587796,2.612403232137372,1.9404729294104386
AT>CA,1.5506551758302716,1.0879833106803283,0.8225291765383556,1.231244604218579,0.8432605992132796,0.363363029941032,1.1225160769193694,1.0814359835592158,1.376358681512563,0.7591747225671746,0.7406492719477153,0.2712560528216368,1.3233303744352978,0.6370178000042339,0.7303093528923745,0.7725260599915766,0.6425082755640645,1.5771666553769308,1.2101617485271479,2.0712340201977844,1.1702031510695745,1.635342817895869,0.5615876151861352,1.838399171033282,1.08770964332653,0.595437356644686,1.2522750554017346,1.0151361413688622,1.870569286240243,1.2306740751603107,1.2602175422504855,1.4635384311353694,0.9241593601750555,1.3716042900619907,1.66003863568909
