,DBS2,DBS4,DBS5,DBS6,DBS9
Ovary-AdenoCA::S.1,5.0,51.0,0.0,5.0,0.0
Ovary-AdenoCA::S.2,14.0,0.0,91.0,72.0,24.0
Ovary-AdenoCA::S.3,23.0,103.0,0.0,98.0,45.0
Ovary-AdenoCA::S.4,27.0,22.0,66.0,0.0,0.0
Ovary-AdenoCA::S.5,7.0,28.0,0.0,0.0,0.0
Ovary-AdenoCA::S.6,6.0,0.0,94.0,0.0,0.0
Ovary-AdenoCA::S.7,33.0,7.0,21.0,0.0,0.0
Ovary-AdenoCA::S.8,55.0,28.0,318.0,0.0,0.0
Ovary-AdenoCA::S.9,36.0,0.0,177.0,0.0,19.0
Ovary-AdenoCA::S.10,62.0,0.0,0.0,0.0,0.0
Ovary-AdenoCA::S.11,24.0,40.0,0.0,0.0,0.0
Ovary-AdenoCA::S.12,49.0,60.0,0.0,0.0,0.0
Ovary-AdenoCA::S.13,83.0,165.0,0.0,0.0,0.0
Ovary-AdenoCA::S.14,8.0,11.0,66.0,13.0,0.0
Ovary-AdenoCA::S.15,14.0,0.0,0.0,0.0,5.0
Ovary-AdenoCA::S.16,0.0,60.0,0.0,0.0,0.0
Ovary-AdenoCA::S.17,69.0,42.0,0.0,42.0,0.0
Ovary-AdenoCA::S.18,31.0,145.0,10.0,24.0,0.0
Ovary-AdenoCA::S.19,0.0,0.0,1375.0,0.0,0.0
Ovary-AdenoCA::S.20,70.0,0.0,19.0,0.0,0.0
Ovary-AdenoCA::S.21,16.0,31.0,0.0,0.0,85.0
Ovary-AdenoCA::S.22,29.0,0.0,0.0,64.0,13.0
Ovary-AdenoCA::S.23,0.0,0.0,13.0,6.0,0.0
Ovary-AdenoCA::S.24,426.0,76.0,0.0,0.0,0.0
Ovary-AdenoCA::S.25,41.0,25.0,0.0,0.0,61.0
Ovary-AdenoCA::S.26,53.0,107.0,0.0,82.0,0.0
Ovary-AdenoCA::S.27,103.0,0.0,248.0,46.0,35.0
Ovary-AdenoCA::S.28,92.0,145.0,0.0,14.0,0.0
Ovary-AdenoCA::S.29,57.0,13.0,23.0,52.0,0.0
Ovary-AdenoCA::S.30,158.0,33.0,25.0,0.0,0.0
Ovary-AdenoCA::S.31,24.0,155.0,0.0,0.0,0.0
Ovary-AdenoCA::S.32,9.0,0.0,0.0,59.0,0.0
Ovary-AdenoCA::S.33,26.0,0.0,0.0,11.0,0.0
Ovary-AdenoCA::S.34,19.0,0.0,0.0,3.0,4.0
Ovary-AdenoCA::S.35,8.0,25.0,0.0,0.0,31.0
Ovary-AdenoCA::S.36,158.0,32.0,47.0,0.0,46.0
Ovary-AdenoCA::S.37,523.0,0.0,0.0,0.0,0.0
Ovary-AdenoCA::S.38,15.0,0.0,0.0,0.0,9.0
Ovary-AdenoCA::S.39,0.0,136.0,33.0,13.0,0.0
Ovary-AdenoCA::S.40,61.0,83.0,0.0,0.0,0.0
Ovary-AdenoCA::S.41,14.0,78.0,0.0,0.0,0.0
Ovary-AdenoCA::S.42,0.0,58.0,0.0,0.0,157.0
Ovary-AdenoCA::S.43,14.0,18.0,16.0,164.0,0.0
Ovary-AdenoCA::S.44,0.0,92.0,178.0,22.0,0.0
Ovary-AdenoCA::S.45,140.0,28.0,29.0,177.0,0.0
Ovary-AdenoCA::S.46,9.0,37.0,8.0,0.0,65.0
Ovary-AdenoCA::S.47,26.0,98.0,20.0,0.0,0.0
Ovary-AdenoCA::S.48,14.0,0.0,0.0,0.0,0.0
