,DBS2,DBS3,DBS4,DBS5,DBS6,DBS7,DBS8,DBS9,DBS11
Eso-AdenoCA::S.1,39.0,0.0,8.0,0.0,0.0,26.0,0.0,29.0,0.0
Eso-AdenoCA::S.2,0.0,0.0,99.0,3.0,5.0,0.0,0.0,74.0,0.0
Eso-AdenoCA::S.3,0.0,0.0,46.0,0.0,9.0,0.0,0.0,15.0,0.0
Eso-AdenoCA::S.4,23.0,0.0,0.0,0.0,23.0,0.0,43.0,0.0,0.0
Eso-AdenoCA::S.5,4.0,33.0,0.0,0.0,55.0,0.0,0.0,52.0,0.0
Eso-AdenoCA::S.6,117.0,24.0,22.0,0.0,19.0,71.0,0.0,0.0,0.0
Eso-AdenoCA::S.7,0.0,0.0,21.0,0.0,29.0,27.0,0.0,52.0,9.0
Eso-AdenoCA::S.8,11.0,217.0,0.0,0.0,26.0,0.0,10.0,0.0,56.0
Eso-AdenoCA::S.9,13.0,36.0,0.0,0.0,22.0,0.0,0.0,16.0,24.0
Eso-AdenoCA::S.10,8.0,0.0,44.0,0.0,0.0,0.0,0.0,21.0,0.0
Eso-AdenoCA::S.11,19.0,56.0,31.0,0.0,0.0,0.0,15.0,22.0,20.0
Eso-AdenoCA::S.12,0.0,0.0,53.0,22.0,22.0,54.0,12.0,0.0,3.0
Eso-AdenoCA::S.13,30.0,0.0,16.0,17.0,14.0,38.0,0.0,49.0,0.0
Eso-AdenoCA::S.14,38.0,0.0,16.0,0.0,9.0,0.0,29.0,0.0,28.0
Eso-AdenoCA::S.15,0.0,0.0,27.0,0.0,52.0,63.0,0.0,48.0,61.0
Eso-AdenoCA::S.16,0.0,0.0,0.0,10.0,39.0,401.0,0.0,0.0,7.0
Eso-AdenoCA::S.17,0.0,0.0,44.0,0.0,17.0,31.0,0.0,18.0,26.0
Eso-AdenoCA::S.18,41.0,0.0,25.0,0.0,41.0,44.0,58.0,55.0,14.0
Eso-AdenoCA::S.19,0.0,0.0,9.0,0.0,0.0,78.0,77.0,39.0,16.0
Eso-AdenoCA::S.20,6.0,0.0,24.0,0.0,27.0,0.0,0.0,18.0,0.0
Eso-AdenoCA::S.21,14.0,0.0,55.0,0.0,0.0,0.0,16.0,45.0,0.0
Eso-AdenoCA::S.22,12.0,15.0,11.0,0.0,0.0,14.0,73.0,22.0,0.0
Eso-AdenoCA::S.23,50.0,0.0,12.0,0.0,0.0,28.0,30.0,23.0,8.0
Eso-AdenoCA::S.24,123.0,0.0,84.0,0.0,0.0,11.0,0.0,0.0,59.0
Eso-AdenoCA::S.25,11.0,0.0,7.0,0.0,0.0,0.0,7.0,11.0,4.0
Eso-AdenoCA::S.26,7.0,0.0,7.0,0.0,0.0,0.0,0.0,93.0,7.0
Eso-AdenoCA::S.27,9.0,0.0,65.0,1.0,15.0,0.0,7.0,0.0,16.0
Eso-AdenoCA::S.28,12.0,0.0,50.0,3.0,5.0,0.0,11.0,22.0,0.0
Eso-AdenoCA::S.29,6.0,0.0,34.0,0.0,58.0,0.0,27.0,48.0,19.0
Eso-AdenoCA::S.30,9.0,0.0,16.0,1.0,18.0,84.0,0.0,0.0,0.0
Eso-AdenoCA::S.31,56.0,63.0,43.0,80.0,0.0,152.0,19.0,26.0,13.0
Eso-AdenoCA::S.32,6.0,0.0,0.0,1.0,10.0,26.0,0.0,11.0,0.0
Eso-AdenoCA::S.33,25.0,0.0,0.0,0.0,0.0,257.0,0.0,73.0,0.0
Eso-AdenoCA::S.34,0.0,99.0,156.0,0.0,11.0,0.0,12.0,0.0,48.0
Eso-AdenoCA::S.35,0.0,0.0,23.0,0.0,46.0,73.0,0.0,22.0,9.0
