Samples	DBS2	DBS4	DBS6	DBS9	DBS11
Breast-AdenoCA::S.1	44	106	0	0	0
Breast-AdenoCA::S.2	0	38	47	0	0
Breast-AdenoCA::S.3	165	44	0	0	0
Breast-AdenoCA::S.4	36	57	30	0	0
Breast-AdenoCA::S.5	22	33	37	53	0
Breast-AdenoCA::S.6	0	131	0	0	0
Breast-AdenoCA::S.7	41	58	0	0	0
Breast-AdenoCA::S.8	0	0	28	68	0
Breast-AdenoCA::S.9	13	57	0	60	0
Breast-AdenoCA::S.10	59	0	33	79	0
Breast-AdenoCA::S.11	17	75	0	54	0
Breast-AdenoCA::S.12	0	0	32	54	43
Breast-AdenoCA::S.13	59	0	46	55	0
Breast-AdenoCA::S.14	14	0	0	39	67
Breast-AdenoCA::S.15	0	208	0	0	0
Breast-AdenoCA::S.16	22	0	73	0	0
Breast-AdenoCA::S.17	69	32	34	0	0
Breast-AdenoCA::S.18	151	0	57	0	0
Breast-AdenoCA::S.19	29	30	0	0	0
Breast-AdenoCA::S.20	47	0	0	58	0
Breast-AdenoCA::S.21	0	39	57	61	0
Breast-AdenoCA::S.22	0	0	0	125	0
Breast-AdenoCA::S.23	29	37	52	58	0
Breast-AdenoCA::S.24	19	0	41	50	0
Breast-AdenoCA::S.25	32	25	0	82	0
Breast-AdenoCA::S.26	0	131	0	0	0
Breast-AdenoCA::S.27	28	71	0	0	0
Breast-AdenoCA::S.28	0	58	0	68	0
Breast-AdenoCA::S.29	37	0	0	109	0
Breast-AdenoCA::S.30	24	0	0	58	0
Breast-AdenoCA::S.31	0	44	0	0	136
Breast-AdenoCA::S.32	26	0	0	0	58
Breast-AdenoCA::S.33	20	25	25	0	0
Breast-AdenoCA::S.34	112	76	0	0	0
Breast-AdenoCA::S.35	0	48	0	86	0
Breast-AdenoCA::S.36	45	45	35	78	45
Breast-AdenoCA::S.37	40	36	26	57	0
Breast-AdenoCA::S.38	152	0	0	0	0
Breast-AdenoCA::S.39	202	0	0	0	0
Breast-AdenoCA::S.40	0	43	24	0	0
Breast-AdenoCA::S.41	12	0	0	31	12
Breast-AdenoCA::S.42	0	57	131	0	0
Breast-AdenoCA::S.43	47	0	0	46	0
Breast-AdenoCA::S.44	0	16	24	0	52
Breast-AdenoCA::S.45	27	51	0	0	102
Breast-AdenoCA::S.46	0	0	56	47	0
Breast-AdenoCA::S.47	19	54	0	0	0
Breast-AdenoCA::S.48	0	98	0	0	57
Breast-AdenoCA::S.49	51	54	0	47	0
Breast-AdenoCA::S.50	10	27	0	63	0
Breast-AdenoCA::S.51	0	0	116	0	0
Breast-AdenoCA::S.52	32	42	0	40	0
Breast-AdenoCA::S.53	24	24	0	72	0
Breast-AdenoCA::S.54	0	0	0	0	238
Breast-AdenoCA::S.55	73	35	0	0	0
Breast-AdenoCA::S.56	16	0	41	84	0
Breast-AdenoCA::S.57	0	0	55	34	0
Breast-AdenoCA::S.58	0	0	0	38	28
Breast-AdenoCA::S.59	37	18	46	34	0
Breast-AdenoCA::S.60	0	81	0	61	0
Breast-AdenoCA::S.61	38	52	0	70	0
Breast-AdenoCA::S.62	0	0	50	48	0
Breast-AdenoCA::S.63	74	46	0	0	0
Breast-AdenoCA::S.64	27	0	94	67	0
Breast-AdenoCA::S.65	15	0	33	0	39
Breast-AdenoCA::S.66	16	38	0	44	43
Breast-AdenoCA::S.67	28	0	26	0	0
Breast-AdenoCA::S.68	0	0	37	0	54
Breast-AdenoCA::S.69	28	118	48	0	0
Breast-AdenoCA::S.70	0	29	28	47	0
Breast-AdenoCA::S.71	38	0	43	0	0
Breast-AdenoCA::S.72	40	49	0	42	0
Breast-AdenoCA::S.73	0	42	0	44	26
Breast-AdenoCA::S.74	64	46	0	0	0
Breast-AdenoCA::S.75	42	0	89	0	0
Breast-AdenoCA::S.76	0	19	47	40	36
Breast-AdenoCA::S.77	25	0	0	86	0
Breast-AdenoCA::S.78	0	58	51	0	0
Breast-AdenoCA::S.79	80	77	0	0	0
Breast-AdenoCA::S.80	50	17	0	66	0
Breast-AdenoCA::S.81	90	55	0	0	0
Breast-AdenoCA::S.82	0	135	0	0	0
Breast-AdenoCA::S.83	29	46	0	55	0
Breast-AdenoCA::S.84	57	100	42	0	0
Breast-AdenoCA::S.85	62	0	20	0	0
Breast-AdenoCA::S.86	0	19	0	0	100
Breast-AdenoCA::S.87	39	38	59	0	0
Breast-AdenoCA::S.88	17	48	0	43	0
Breast-AdenoCA::S.89	45	22	32	0	0
Breast-AdenoCA::S.90	77	0	104	0	0
Breast-AdenoCA::S.91	29	21	21	67	25
Breast-AdenoCA::S.92	0	14	22	44	36
Breast-AdenoCA::S.93	24	0	0	75	33
Breast-AdenoCA::S.94	0	41	59	0	38
Breast-AdenoCA::S.95	43	0	82	0	0
Breast-AdenoCA::S.96	0	25	0	111	0
Breast-AdenoCA::S.97	0	51	44	0	40
Breast-AdenoCA::S.98	0	36	57	0	0
Breast-AdenoCA::S.99	0	39	45	0	35
Breast-AdenoCA::S.100	0	0	57	60	0
