Samples	SBS1	SBS2	SBS3	SBS5	SBS13	SBS17a	SBS17b	SBS18	SBS28	SBS40	SBS41
Stomach-AdenoCA::S.1	855	1408	9463	6020	0	4932	0	0	0	0	0
Stomach-AdenoCA::S.2	1428	0	0	4972	0	539	3355	3264	0	0	0
Stomach-AdenoCA::S.3	486	592	0	243	0	0	0	3109	0	5462	0
Stomach-AdenoCA::S.4	949	0	0	3439	0	0	9870	6423	0	0	0
Stomach-AdenoCA::S.5	1132	0	0	274	0	2564	376	0	0	7178	0
Stomach-AdenoCA::S.6	1032	0	0	13198	1124	0	2777	0	0	0	3251
Stomach-AdenoCA::S.7	562	0	0	76	0	610	2092	2868	0	0	0
Stomach-AdenoCA::S.8	26	0	0	19946	0	2098	0	0	0	0	0
Stomach-AdenoCA::S.9	1247	0	0	16989	0	966	2413	0	0	0	0
Stomach-AdenoCA::S.10	680	0	0	1902	0	1469	656	0	0	0	0
Stomach-AdenoCA::S.11	351	0	0	8113	0	0	3250	2867	0	0	0
Stomach-AdenoCA::S.12	4635	0	0	6679	0	1330	0	0	0	0	0
Stomach-AdenoCA::S.13	694	0	0	16778	0	0	1090	0	0	0	0
Stomach-AdenoCA::S.14	1057	0	0	7519	0	0	0	0	0	6501	0
Stomach-AdenoCA::S.15	1493	0	0	0	0	774	343	0	0	0	0
Stomach-AdenoCA::S.16	792	0	0	3880	0	1902	5260	0	0	0	0
Stomach-AdenoCA::S.17	465	813	0	45	0	0	0	0	0	0	0
Stomach-AdenoCA::S.18	1108	0	0	9811	0	951	0	0	0	0	0
Stomach-AdenoCA::S.19	1085	0	0	4003	0	2218	0	0	0	0	0
Stomach-AdenoCA::S.20	1255	0	0	1304	0	2087	541	0	0	8908	0
Stomach-AdenoCA::S.21	1132	0	0	0	0	0	7072	0	0	0	0
Stomach-AdenoCA::S.22	755	0	0	3801	0	1156	1964	3824	0	0	0
Stomach-AdenoCA::S.23	259	0	0	4923	0	630	0	0	0	2510	0
Stomach-AdenoCA::S.24	1002	808	0	0	0	3273	0	0	0	0	1560
Stomach-AdenoCA::S.25	1702	0	7550	1475	0	528	1317	2933	0	0	0
