Sample,SBS1,SBS2,SBS3,SBS5,SBS13,SBS17a,SBS17b,SBS18,SBS28,SBS40
Eso-AdenoCA::S.1,3583.9781350870876,0.0,810.1181947039431,6592.79816659352,0.0,1888.8184314058676,137.2697441869808,2043.09299207398,208.25967078301466,5830.222974899329
Eso-AdenoCA::S.2,294.27926232084843,0.0,7695.642481618026,6859.138374751612,1814.2188439452252,9342.317385068089,4033.574542665895,0.0,0.0,14901.340381042342
Eso-AdenoCA::S.3,1307.7789174526322,313.3328043163148,3733.2847127282034,0.0,0.0,0.0,11168.24793116165,5073.333678861434,0.0,0.0
Eso-AdenoCA::S.4,2676.655340051398,621.6735539775076,0.0,4791.008744738618,598.4253764379491,4560.392383099836,267.7859823539466,0.0,0.0,0.0
Eso-AdenoCA::S.5,2254.308418578368,264.9590455652957,938.6824973598169,3563.424547088761,357.44792105948665,1758.680180613344,111.09321667323395,0.0,0.0,15429.383723296547
Eso-AdenoCA::S.6,1345.176805874298,0.0,0.0,0.0,1287.7418162505464,4397.509085837349,77298.72277183023,0.0,0.0,0.0
Eso-AdenoCA::S.7,906.5254855742359,3115.324886831702,0.0,3413.82354102194,0.0,8714.110249026035,10755.532199172556,0.0,360.5276177489117,0.0
Eso-AdenoCA::S.8,2979.247687630656,0.0,0.0,14804.12954659362,0.0,2405.8882396436643,2862.4050475176837,492.32161169595554,599.1554817857644,0.0
Eso-AdenoCA::S.9,1373.198474383485,328.23883625661273,5950.675666916386,10146.826827260627,0.0,1811.525506320578,14463.72079402967,707.6567957864236,0.0,0.0
Eso-AdenoCA::S.10,1030.4673385015467,0.0,4487.490412656813,4601.4956935171995,0.0,3731.948867538133,5658.8840005467155,636.2116439962043,811.1777269280088,16578.232264904833
Eso-AdenoCA::S.11,3580.8970652591556,99.63169089924553,1623.0993547858518,605.6050516327715,0.0,1275.7186298562826,4545.65461687957,2617.067975573441,0.0,1760.776287475578
Eso-AdenoCA::S.12,3288.911202394901,2142.1461290366165,9219.061795277426,14581.4054111517,214.45524358667933,3115.972314299988,9697.100347377387,1788.4002403803468,0.0,4787.914357418399
Eso-AdenoCA::S.13,2210.207316364041,932.746593796012,832.1957826256295,5491.523104130369,0.0,664.8401784322965,12733.24572605228,0.0,0.0,0.0
Eso-AdenoCA::S.14,1271.3528823247796,1958.792326460452,23531.611676948098,2772.1026121278105,0.0,4397.47496580232,28039.310055896327,6502.094666382458,6710.332922946475,0.0
Eso-AdenoCA::S.15,2990.745652638761,0.0,3693.155746506591,2156.518801888824,0.0,4146.289294456089,0.0,259.04195266058275,0.0,0.0
Eso-AdenoCA::S.16,1729.1383537621057,1685.824710168646,4500.329231245841,7823.527262251358,0.0,7989.775126066363,767.4856747557064,1645.7964082868107,11952.101975400548,0.0
Eso-AdenoCA::S.17,1608.0528557946502,0.0,0.0,9759.095490758677,0.0,936.2171311704053,1752.3165676829901,0.0,334.0404868903309,1503.1126963966692
Eso-AdenoCA::S.18,1380.012275464977,0.0,3032.230878255691,5861.314160993502,516.4588196343932,2848.022313385102,771.2083463220762,962.6877691783104,144.5154680380941,8423.86049161884
Eso-AdenoCA::S.19,1774.2594177812105,0.0,0.0,4065.110617775139,0.0,4420.048691889503,536.3872624025039,0.0,0.0,0.0
Eso-AdenoCA::S.20,1172.3084420517835,539.3526221091909,0.0,4629.803863922166,0.0,5754.1594282577435,39044.87408215303,0.0,0.0,7798.527165751651
Eso-AdenoCA::S.21,756.8378334235919,0.0,0.0,5245.467088515455,0.0,6016.915797298315,39122.7927014347,0.0,0.0,0.0
Eso-AdenoCA::S.22,1356.8415898188434,583.42394823796,5181.912487024339,2886.6471951811304,201.23756640907462,1779.929744086879,0.0,4900.20847964027,9112.270879348931,0.0
Eso-AdenoCA::S.23,1951.4740100780239,0.0,0.0,1672.7008104538952,0.0,5820.072829090215,0.0,0.0,5524.167768129041,2636.99979517833
Eso-AdenoCA::S.24,1188.6565689749445,0.0,0.0,9258.065924379838,878.9959971773258,11818.474954422463,17344.176501953145,3553.592276207066,0.0,0.0
Eso-AdenoCA::S.25,824.7158679392279,178.67571257504633,0.0,6272.8501416669815,0.0,14379.314121879806,5262.707615327484,2843.7410038619064,294.12389303622837,3686.6452629248524
Eso-AdenoCA::S.26,831.927443752605,0.0,3487.000819334127,11790.828591889584,1263.640970556335,2842.299664380747,5325.931629009166,674.4859504641207,1024.2306406777816,8004.719852974703
Eso-AdenoCA::S.27,2645.9512047318035,884.617691233209,2001.517700099747,0.0,254.9029781642646,11259.413951268634,1952.7849036215443,0.0,224.02819745881052,2856.437658673243
Eso-AdenoCA::S.28,949.0705052747139,2005.114933055752,0.0,6322.990955667654,0.0,577.2971310407758,17747.78818522714,0.0,1025.4073048654489,7218.572158507187
Eso-AdenoCA::S.29,3729.4922617405614,2372.416039269344,939.9432822635038,1290.5675951230153,0.0,140.30023675054738,1591.638002401009,0.0,203.177426215433,0.0
Eso-AdenoCA::S.30,989.8429659499975,667.059166404843,2005.7081697922742,3916.2589457962326,117.09597443262138,4001.244079193622,6066.914032670326,2986.2162031503544,0.0,2138.033406797462
Eso-AdenoCA::S.31,1101.594189348269,0.0,0.0,17194.106081650552,0.0,2610.808277531591,22307.86467783443,3392.337962427816,0.0,0.0
