,SBS1,SBS2,SBS3,SBS5,SBS13,SBS17a,SBS17b,SBS18,SBS28,SBS40
Eso-AdenoCA::S.1,3584.0,0.0,0.0,6593.0,0.0,1889.0,137.0,2043.0,208.0,5830.0
Eso-AdenoCA::S.2,0.0,0.0,7696.0,6859.0,1814.0,9342.0,4034.0,0.0,0.0,14901.0
Eso-AdenoCA::S.3,1308.0,313.0,3733.0,0.0,0.0,0.0,11168.0,5073.0,0.0,0.0
Eso-AdenoCA::S.4,2677.0,622.0,0.0,4791.0,598.0,4560.0,268.0,0.0,0.0,0.0
Eso-AdenoCA::S.5,2254.0,265.0,0.0,3563.0,357.0,1759.0,0.0,0.0,0.0,15429.0
Eso-AdenoCA::S.6,1345.0,0.0,0.0,0.0,1288.0,4398.0,77299.0,0.0,0.0,0.0
Eso-AdenoCA::S.7,907.0,3115.0,0.0,3414.0,0.0,8714.0,10756.0,0.0,361.0,0.0
Eso-AdenoCA::S.8,2979.0,0.0,0.0,14804.0,0.0,2406.0,2862.0,492.0,599.0,0.0
Eso-AdenoCA::S.9,1373.0,328.0,5951.0,10147.0,0.0,1812.0,14464.0,708.0,0.0,0.0
Eso-AdenoCA::S.10,1030.0,0.0,4487.0,4601.0,0.0,3732.0,5659.0,0.0,811.0,16578.0
Eso-AdenoCA::S.11,3581.0,0.0,1623.0,0.0,0.0,1276.0,4546.0,2617.0,0.0,1761.0
Eso-AdenoCA::S.12,3289.0,2142.0,9219.0,14581.0,0.0,3116.0,9697.0,1788.0,0.0,4788.0
Eso-AdenoCA::S.13,2210.0,933.0,0.0,5492.0,0.0,665.0,12733.0,0.0,0.0,0.0
Eso-AdenoCA::S.14,1271.0,1959.0,23532.0,0.0,0.0,4397.0,28039.0,6502.0,6710.0,0.0
Eso-AdenoCA::S.15,2991.0,0.0,3693.0,2157.0,0.0,4146.0,0.0,259.0,0.0,0.0
Eso-AdenoCA::S.16,1729.0,1686.0,4500.0,7824.0,0.0,7990.0,767.0,1646.0,11952.0,0.0
Eso-AdenoCA::S.17,1608.0,0.0,0.0,9759.0,0.0,936.0,1752.0,0.0,334.0,1503.0
Eso-AdenoCA::S.18,1380.0,0.0,3032.0,5861.0,516.0,2848.0,771.0,963.0,0.0,8424.0
Eso-AdenoCA::S.19,1774.0,0.0,0.0,4065.0,0.0,4420.0,536.0,0.0,0.0,0.0
Eso-AdenoCA::S.20,1172.0,539.0,0.0,4630.0,0.0,5754.0,39045.0,0.0,0.0,7799.0
Eso-AdenoCA::S.21,757.0,0.0,0.0,5245.0,0.0,6017.0,39123.0,0.0,0.0,0.0
Eso-AdenoCA::S.22,1357.0,583.0,5182.0,2887.0,201.0,1780.0,0.0,4900.0,9112.0,0.0
Eso-AdenoCA::S.23,1951.0,0.0,0.0,1673.0,0.0,5820.0,0.0,0.0,5524.0,2637.0
Eso-AdenoCA::S.24,1189.0,0.0,0.0,9258.0,879.0,11818.0,17344.0,3554.0,0.0,0.0
Eso-AdenoCA::S.25,825.0,0.0,0.0,6273.0,0.0,14379.0,5263.0,2844.0,0.0,0.0
Eso-AdenoCA::S.26,832.0,0.0,3487.0,11791.0,1264.0,2842.0,5326.0,674.0,1024.0,8005.0
Eso-AdenoCA::S.27,2646.0,885.0,2002.0,0.0,255.0,11259.0,1953.0,0.0,224.0,2856.0
Eso-AdenoCA::S.28,949.0,2005.0,0.0,6323.0,0.0,577.0,17748.0,0.0,1025.0,7219.0
Eso-AdenoCA::S.29,3729.0,2372.0,940.0,1291.0,0.0,140.0,1592.0,0.0,203.0,0.0
Eso-AdenoCA::S.30,990.0,667.0,2006.0,3916.0,0.0,4001.0,6067.0,2986.0,0.0,0.0
Eso-AdenoCA::S.31,1102.0,0.0,0.0,17194.0,0.0,2611.0,22308.0,3392.0,0.0,0.0
Eso-AdenoCA::S.32,634.0,1268.0,2583.0,5491.0,421.0,12943.0,17865.0,3090.0,0.0,0.0
