"tool_name","total_cpu_sec","sum_of_cpu_by_cancer_type"
"deconstruct_0.00",62.896,55.7279999999999
"deconstruct_0.03",61.9770000000001,54.8499999999998
"deconstruct_0.06",62.015,54.8890000000001
"deconstruct_0.10",61.9100000000001,54.837
"fitms_0.010",32.536,20.7140000000002
"fitms_0.030",47.7360000000001,36.9879999999998
"fitms_0.050",47.947,37.6279999999999
"fitms_0.060",51.051,39.9150000000005
"fitms_0.100",55.35,47.5279999999999
"fitms_0.200",56.722,47.196
"mp",19.871,14.772
"musical",714.561,706.617
"mutsig",23.225,13.7100000000001
"pasa",34128.28,34123.691
"sigest",6.97300000000007,0.105999999999995
"sigpro",444.888,432.773
"yapsa_0.00",7.279,0.243000000000166
"yapsa_0.01",7.27699999999991,0.226999999999887
"yapsa_0.03",7.26299999999997,0.229999999999951
"yapsa_0.06",7.25,0.223999999999933
"yapsa_0.10",7.27800000000001,0.22300000000007
"msa",177.1,NA
"msa_opt",184.7,NA
