"","Tool","m.Combined","med.Combined","sd.Combined","m.F1","med.F1","sd.F1","m.SMD","med.SMD","sd.SMD","m.sens","med.sens","sd.sens","m.prec","med.prec","sd.prec"
"1","pasa",2.81497211190622,2.90461515885245,0.192823679979285,0.948068505568506,1,0.0869389097802809,0.0954485230144138,0.0747960372960373,0.0783261989114877,0.919846560846561,1,0.132145145576016,0.990574074074074,1,0.0521302839096551
"2","fitms_0.060",2.73465582824322,2.83732919331093,0.260814239861332,0.906138102638103,1,0.129963900685758,0.109976446889051,0.0854469082586775,0.0902058032873569,0.866002645502645,1,0.182285406277224,0.97862962962963,1,0.077327749732013
"3","fitms_0.100",2.73399970215029,2.83037794039581,0.261305310524079,0.905468056634723,1,0.129339380776196,0.109547916897334,0.0841080903414023,0.0937266462552033,0.862769841269841,1,0.182011069908569,0.980777777777778,1,0.0733379679662645
"4","fitms_0.030",2.73322506881845,2.83645729728951,0.260762175612134,0.905602829269496,1,0.130048903025267,0.110536835943455,0.0876215739162721,0.0900467030075762,0.865724867724868,1,0.182684626686525,0.978037037037037,1,0.0778470567385094
"5","fitms_0.050",2.73322506878687,2.83645729728951,0.260762175579442,0.905602829269496,1,0.130048903025267,0.110536835975036,0.0876215739162702,0.0900467029861501,0.865724867724868,1,0.182684626686525,0.978037037037037,1,0.0778470567385094
"6","fitms_0.200",2.73015256152384,2.83037794039579,0.268212457238148,0.903270137270137,1,0.133184743520985,0.111143734772453,0.0856190481011914,0.100774261245052,0.857462962962963,1,0.185330215970939,0.983833333333333,1,0.0698980267894202
"7","fitms_0.010",2.72639666687571,2.83037794039581,0.264455842914446,0.903069720403054,1,0.131403071374642,0.112920793441749,0.088718095130307,0.0912807564692943,0.864539682539682,1,0.183720367591965,0.974777777777778,1,0.0814200835706497
"8","musical",2.68462286012994,2.71962290574495,0.262556863462577,0.91611848645182,0.923076923076923,0.10196936885156,0.168057034049953,0.138392044204159,0.125571984716719,0.965277777777778,1,0.0964640736790855,0.887402116402116,1,0.144336436404349
"9","yapsa_0.03",2.626372692556,2.66790261752875,0.313755144413516,0.893744619577953,0.909090909090909,0.122876983875666,0.18765508522178,0.15336511067765,0.148035279027995,0.905230158730159,1,0.156440012939089,0.908797619047619,1,0.139816334322504
"10","deconstruct_0.03",2.62185139875848,2.65286271588795,0.309855278902635,0.887476714643381,0.888888888888889,0.124994679556713,0.181815267908186,0.145406325470739,0.145175516022112,0.895071428571429,1,0.161678523778097,0.908595238095238,1,0.141194665406153
"11","yapsa_0.01",2.5981440591049,2.62772839961759,0.291377974615147,0.878647932314599,0.888888888888889,0.112746420787439,0.191369168408331,0.156764994217811,0.147531306341558,0.957566137566138,1,0.104419079078739,0.83194708994709,0.833333333333333,0.162246856465261
"12","mp",2.59640678018254,2.62862564528668,0.32814051949422,0.874245205411872,0.888888888888889,0.14243117982044,0.194828669552905,0.156165391679302,0.150777819868123,0.830880952380952,1,0.198136145190126,0.960354497354497,1,0.10128445855401
"13","deconstruct_0.00",2.59606336054073,2.61731768213978,0.283912826569717,0.873215827382494,0.888888888888889,0.115350178306096,0.184471030993663,0.149643260340117,0.144559065139635,0.94957671957672,1,0.112794610923686,0.830957671957672,0.833333333333333,0.165663538060278
"14","yapsa_0.06",2.58104734864399,2.61616884135478,0.342987744414362,0.864475216141883,0.888888888888889,0.147256494489763,0.19304788945125,0.153207594913686,0.150855902133842,0.821150793650794,0.833333333333333,0.202352654879751,0.952944444444444,1,0.111922048437569
"15","deconstruct_0.06",2.57691040383972,2.60671823409087,0.335454504486719,0.858553619220286,0.888888888888889,0.145907733333176,0.187385892456577,0.15018039466272,0.147813584960175,0.817373015873016,0.8,0.202822057713802,0.94692328042328,1,0.117774219901766
"16","msa_opt",2.53346617143613,2.54905634817787,0.28751441209886,0.839531653531653,0.857142857142857,0.128103620690304,0.200533387646765,0.165339672483417,0.153465647253187,0.967021164021164,1,0.0942241716470173,0.766978395061728,0.775,0.183817798991641
"17","msa",2.52274463199528,2.53967799960027,0.285834421291951,0.832513936680603,0.833333333333333,0.128696164143926,0.201301664301021,0.165210404651343,0.153306459545334,0.973285714285714,1,0.0848694779494627,0.750760582010582,0.75,0.183254904971371
"18","mutsig",2.51209565823012,2.52982023111378,0.273508726154977,0.819564327647661,0.833333333333333,0.131174420722615,0.193582031364234,0.161655242737884,0.147250437923253,0.976193121693122,1,0.0791441342062501,0.729484567901235,0.714285714285714,0.184655723487275
"19","yapsa_0.00",2.51209565776981,2.52982020266885,0.273508734716977,0.819564327647661,0.833333333333333,0.131174420722615,0.193582031824551,0.161655242880009,0.147250430426194,0.976193121693122,1,0.0791441342062501,0.729484567901235,0.714285714285714,0.184655723487275
"20","deconstruct_0.10",2.4880249847202,2.49272377693794,0.354945309504717,0.805253888087221,0.8,0.168432204352604,0.207440623745405,0.175773024045792,0.15233486761112,0.723021164021164,0.75,0.230492271681552,0.972444444444444,1,0.0897920529870639
"21","yapsa_0.10",2.48166480645565,2.48568307791159,0.361355752313321,0.805716690716691,0.8,0.171761723636723,0.21603889724805,0.183693710268491,0.155205842966012,0.721574074074074,0.75,0.232854035095493,0.97612962962963,1,0.0837768427027451
"22","sigpro",2.4605684485814,2.47965429050181,0.423401848243291,0.810354497354497,0.857142857142857,0.177762854997034,0.248153773640821,0.2,0.205198865286169,0.720611111111111,0.75,0.235951824245986,0.988111111111111,1,0.0692835477816061
"23","sigest",2.44036210357604,2.45154615629091,0.267804706191957,0.764608801692135,0.769230769230769,0.145215904064594,0.188696538399265,0.154269279493008,0.145517388781763,0.976796296296296,1,0.0800300925117483,0.652262345679012,0.666666666666667,0.190596107347657
