,ID1,ID2,ID4,ID5,ID6,ID8,ID9,ID11
Breast-AdenoCA::S.1,32.0,95.0,0.0,0.0,0.0,113.0,26.0,0.0
Breast-AdenoCA::S.2,160.0,0.0,0.0,0.0,79.0,100.0,89.0,0.0
Breast-AdenoCA::S.3,37.0,15.0,0.0,0.0,0.0,154.0,58.0,0.0
Breast-AdenoCA::S.4,109.0,0.0,0.0,0.0,278.0,185.0,49.0,0.0
Breast-AdenoCA::S.5,71.0,20.0,0.0,0.0,262.0,0.0,0.0,0.0
Breast-AdenoCA::S.6,24.0,6.0,0.0,0.0,0.0,86.0,30.0,0.0
Breast-AdenoCA::S.7,64.0,30.0,317.0,0.0,0.0,271.0,324.0,0.0
Breast-AdenoCA::S.8,13.0,0.0,0.0,0.0,794.0,0.0,0.0,0.0
Breast-AdenoCA::S.9,391.0,0.0,0.0,0.0,186.0,0.0,80.0,0.0
Breast-AdenoCA::S.10,122.0,0.0,0.0,0.0,0.0,112.0,126.0,0.0
Breast-AdenoCA::S.11,9.0,4.0,0.0,0.0,0.0,13.0,29.0,0.0
Breast-AdenoCA::S.12,67.0,53.0,0.0,0.0,0.0,544.0,0.0,0.0
Breast-AdenoCA::S.13,122.0,0.0,0.0,0.0,369.0,95.0,241.0,0.0
Breast-AdenoCA::S.14,441.0,129.0,12.0,0.0,0.0,284.0,24.0,0.0
Breast-AdenoCA::S.15,12.0,16.0,0.0,0.0,0.0,188.0,135.0,0.0
Breast-AdenoCA::S.16,43.0,0.0,0.0,121.0,343.0,169.0,76.0,0.0
Breast-AdenoCA::S.17,188.0,21.0,0.0,0.0,176.0,86.0,91.0,0.0
Breast-AdenoCA::S.18,0.0,83.0,197.0,0.0,0.0,26.0,79.0,0.0
Breast-AdenoCA::S.19,24.0,146.0,172.0,0.0,0.0,356.0,0.0,0.0
Breast-AdenoCA::S.20,60.0,0.0,0.0,47.0,0.0,129.0,43.0,0.0
Breast-AdenoCA::S.21,47.0,35.0,0.0,0.0,0.0,110.0,0.0,0.0
Breast-AdenoCA::S.22,0.0,53.0,0.0,140.0,0.0,113.0,42.0,0.0
Breast-AdenoCA::S.23,297.0,36.0,0.0,0.0,441.0,36.0,33.0,0.0
Breast-AdenoCA::S.24,216.0,8.0,0.0,0.0,0.0,224.0,71.0,0.0
Breast-AdenoCA::S.25,48.0,123.0,0.0,0.0,557.0,421.0,60.0,0.0
Breast-AdenoCA::S.26,23.0,0.0,0.0,0.0,19.0,22.0,137.0,0.0
Breast-AdenoCA::S.27,44.0,60.0,0.0,0.0,14.0,10.0,265.0,0.0
Breast-AdenoCA::S.28,109.0,0.0,0.0,0.0,53.0,236.0,0.0,0.0
Breast-AdenoCA::S.29,142.0,30.0,0.0,27.0,23.0,55.0,33.0,0.0
Breast-AdenoCA::S.30,102.0,15.0,0.0,0.0,101.0,264.0,52.0,0.0
Breast-AdenoCA::S.31,0.0,8.0,0.0,138.0,0.0,80.0,57.0,0.0
Breast-AdenoCA::S.32,0.0,94.0,0.0,0.0,1032.0,377.0,41.0,0.0
Breast-AdenoCA::S.33,0.0,12.0,0.0,0.0,0.0,41.0,22.0,0.0
Breast-AdenoCA::S.34,50.0,74.0,0.0,29.0,23.0,45.0,0.0,0.0
Breast-AdenoCA::S.35,28.0,39.0,0.0,0.0,497.0,86.0,0.0,0.0
Breast-AdenoCA::S.36,119.0,51.0,0.0,177.0,70.0,0.0,63.0,0.0
Breast-AdenoCA::S.37,20.0,7.0,0.0,0.0,0.0,109.0,118.0,0.0
Breast-AdenoCA::S.38,149.0,92.0,79.0,0.0,70.0,115.0,124.0,0.0
Breast-AdenoCA::S.39,30.0,0.0,156.0,159.0,0.0,0.0,26.0,0.0
Breast-AdenoCA::S.40,250.0,34.0,49.0,87.0,27.0,139.0,91.0,0.0
Breast-AdenoCA::S.41,0.0,0.0,0.0,0.0,139.0,113.0,18.0,0.0
Breast-AdenoCA::S.42,38.0,33.0,0.0,0.0,0.0,28.0,25.0,0.0
Breast-AdenoCA::S.43,55.0,52.0,0.0,95.0,155.0,0.0,42.0,0.0
Breast-AdenoCA::S.44,122.0,9.0,0.0,0.0,0.0,105.0,87.0,0.0
Breast-AdenoCA::S.45,48.0,70.0,0.0,0.0,133.0,66.0,0.0,0.0
Breast-AdenoCA::S.46,23.0,52.0,0.0,35.0,69.0,0.0,19.0,0.0
Breast-AdenoCA::S.47,63.0,0.0,0.0,39.0,0.0,195.0,45.0,0.0
Breast-AdenoCA::S.48,196.0,0.0,0.0,53.0,0.0,109.0,34.0,0.0
Breast-AdenoCA::S.49,39.0,19.0,0.0,19.0,0.0,75.0,0.0,0.0
Breast-AdenoCA::S.50,146.0,0.0,0.0,0.0,0.0,223.0,0.0,0.0
Breast-AdenoCA::S.51,273.0,157.0,222.0,0.0,309.0,114.0,42.0,0.0
Breast-AdenoCA::S.52,16.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0
Breast-AdenoCA::S.53,183.0,200.0,0.0,0.0,221.0,105.0,0.0,0.0
Breast-AdenoCA::S.54,15.0,0.0,0.0,0.0,237.0,0.0,200.0,0.0
