MutationType	ColoRect-AdenoCA::MSI-H.S.1	ColoRect-AdenoCA::MSI-H.S.2	ColoRect-AdenoCA::MSI-H.S.3	ColoRect-AdenoCA::MSI-H.S.4	ColoRect-AdenoCA::MSI-H.S.5	ColoRect-AdenoCA::MSI-H.S.6	ColoRect-AdenoCA::MSI-H.S.7	ColoRect-AdenoCA::MSI-H.S.8	ColoRect-AdenoCA::MSI-H.S.9	ColoRect-AdenoCA::MSI-H.S.10	ColoRect-AdenoCA::MSI-H.S.11	ColoRect-AdenoCA::MSI-H.S.12	ColoRect-AdenoCA::MSI-H.S.13	ColoRect-AdenoCA::MSI-H.S.14	ColoRect-AdenoCA::MSI-H.S.15	ColoRect-AdenoCA::MSI-H.S.16	ColoRect-AdenoCA::MSI-H.S.17	ColoRect-AdenoCA::MSI-H.S.18	ColoRect-AdenoCA::MSI-H.S.19	ColoRect-AdenoCA::MSI-H.S.20	ColoRect-AdenoCA::MSI-H.S.21	ColoRect-AdenoCA::MSI-H.S.22	ColoRect-AdenoCA::MSI-H.S.23	ColoRect-AdenoCA::MSI-H.S.24	ColoRect-AdenoCA::MSI-H.S.25	ColoRect-AdenoCA::MSI-H.S.26	ColoRect-AdenoCA::MSI-H.S.27	ColoRect-AdenoCA::MSI-H.S.28	ColoRect-AdenoCA::MSI-H.S.29	ColoRect-AdenoCA::MSI-H.S.30	ColoRect-AdenoCA::MSI-H.S.31	ColoRect-AdenoCA::MSI-H.S.32	ColoRect-AdenoCA::MSI-H.S.33	ColoRect-AdenoCA::MSI-H.S.34	ColoRect-AdenoCA::MSI-H.S.35
AC>CA	43	61	0	7	3	4	5	16	3	2	2	66	6	2	2	4	0	31	0	24	1	2	9	8	9	5	80	0	2	2	0	29	6	4	2
AC>CG	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	3	2	2	0	1	0
AC>CT	70	14	0	6	1	3	0	53	2	4	2	186	6	2	1	2	2	2	0	16	1	0	1	2	1	3	2	0	1	0	1	21	0	0	5
AC>GA	0	0	2	2	1	3	2	0	5	0	0	0	3	0	0	3	2	3	0	0	0	4	6	2	2	0	2	0	1	1	1	3	1	0	2
AC>GG	1	0	0	0	0	0	0	1	0	0	1	2	0	0	1	0	0	1	0	0	2	0	0	2	2	1	0	0	1	0	0	1	0	2	1
AC>GT	1	1	0	1	1	0	0	3	2	2	1	0	3	1	3	9	0	0	1	0	1	2	0	6	0	0	1	0	0	2	2	3	1	10	0
AC>TA	0	2	1	2	0	0	0	4	1	2	3	8	0	1	2	1	2	10	0	1	4	4	2	0	9	0	14	0	3	0	1	1	6	2	1
AC>TG	1	1	1	0	0	0	0	0	0	1	1	2	1	3	0	1	1	1	0	2	0	2	0	0	2	3	0	0	1	3	1	1	0	1	3
AC>TT	2	0	0	1	1	4	3	1	0	2	1	0	0	1	2	0	1	0	1	1	0	3	0	3	4	1	6	9	1	1	1	0	6	1	0
AT>CA	1	0	0	0	0	0	0	1	0	1	0	0	5	0	0	0	2	0	2	3	3	1	0	5	4	2	0	0	1	6	2	1	0	2	2
AT>CC	1	0	2	1	0	0	0	0	0	1	3	0	1	0	1	0	0	1	0	0	6	1	0	0	1	0	0	0	0	0	0	1	0	0	0
AT>CG	1	0	0	3	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	2	1	0	2	0	0	1	0	1	0	1	0	0	0	1	0
AT>GA	0	1	1	1	0	0	0	1	1	0	1	0	1	0	0	1	0	0	0	1	0	4	0	4	0	0	1	0	0	0	0	0	2	2	0
AT>GC	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	2	0	0	2	1	1	2	0	0	2	0	0	1	0	0	3	0	3	1
AT>TA	3	2	0	5	1	1	1	1	0	0	2	0	3	0	0	1	2	1	0	1	7	2	2	2	2	1	1	0	2	10	2	3	0	0	5
CC>AA	45	15	2	1	0	47	10	9	1	23	2	7	0	11	0	0	85	8	114	56	10	0	9	2	20	34	5	3	7	5	8	9	2	7	12
CC>AG	23	4	3	1	1	7	7	3	1	0	0	2	7	1	0	0	1	2	1	24	3	1	5	2	12	3	12	1	0	4	6	8	1	4	2
CC>AT	21	7	4	2	2	2	30	9	1	7	2	5	1	2	1	1	27	2	11	16	3	0	4	0	11	2	3	4	1	2	7	4	3	2	6
CC>GA	0	0	2	0	1	1	2	3	0	1	0	0	1	0	0	0	3	0	2	2	0	3	2	0	0	0	0	0	1	0	0	1	0	0	2
CC>GG	0	0	1	2	0	1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	2	1	2	0	0	1	0	0	3	0	0	0
CC>GT	2	0	0	1	1	0	0	0	0	1	0	0	2	0	2	2	0	0	0	2	0	1	1	0	3	1	1	2	1	1	0	1	0	3	0
CC>TA	1	0	1	1	0	2	6	0	0	0	1	1	2	1	2	1	4	0	0	1	1	1	0	0	4	4	1	5	1	2	0	1	1	1	0
CC>TG	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	2	1	2	0	1	0	1	6	0	0	1	0	0	0	0	0
CC>TT	1	0	0	4	0	0	0	2	0	0	0	1	1	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0
CG>AT	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG>GC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG>GT	0	2	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG>TA	8	0	0	27	1	0	3	8	48	7	0	0	19	1	3	23	12	0	7	4	7	7	11	5	1	1	0	11	10	6	3	10	0	12	2
CG>TC	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CG>TT	3	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	3	3	0	0	1	0	1	1	0	3	1	1	0	0	0	2
CT>AA	2	2	1	0	0	0	0	2	0	0	0	2	0	0	0	0	0	8	0	6	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
CT>AC	7	0	1	3	1	0	0	1	1	0	0	0	0	0	0	1	3	0	2	5	3	0	2	1	1	2	3	2	2	0	1	0	0	2	0
CT>AG	23	8	4	0	12	1	2	11	3	11	13	5	1	1	3	2	0	6	3	1	15	1	4	5	16	1	19	14	1	0	10	9	9	3	1
CT>GA	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1
CT>GC	0	1	0	3	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	3	2	2	0	0	2	0	0	0	1	2	0	0	0	0	0
CT>GG	0	0	0	1	0	0	0	5	2	1	0	0	0	1	0	0	0	1	0	0	1	1	0	2	0	5	0	0	0	0	3	0	0	2	0
CT>TA	0	2	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0
CT>TC	1	11	0	5	0	0	0	2	4	1	1	6	3	2	1	3	0	1	3	26	5	5	1	6	1	4	0	0	4	2	3	13	1	1	0
CT>TG	8	0	2	6	0	0	2	3	5	5	4	1	2	2	0	8	1	2	2	2	0	2	2	0	1	1	0	11	0	7	1	4	5	0	1
