"Mutation type","Eso-AdenoCA::S.1","Eso-AdenoCA::S.2","Eso-AdenoCA::S.3","Eso-AdenoCA::S.4","Eso-AdenoCA::S.5","Eso-AdenoCA::S.6","Eso-AdenoCA::S.7","Eso-AdenoCA::S.8","Eso-AdenoCA::S.9","Eso-AdenoCA::S.10","Eso-AdenoCA::S.11","Eso-AdenoCA::S.12","Eso-AdenoCA::S.13","Eso-AdenoCA::S.14","Eso-AdenoCA::S.15","Eso-AdenoCA::S.16","Eso-AdenoCA::S.17","Eso-AdenoCA::S.18","Eso-AdenoCA::S.19","Eso-AdenoCA::S.20","Eso-AdenoCA::S.21","Eso-AdenoCA::S.22","Eso-AdenoCA::S.23","Eso-AdenoCA::S.24","Eso-AdenoCA::S.25","Eso-AdenoCA::S.26","Eso-AdenoCA::S.27","Eso-AdenoCA::S.28","Eso-AdenoCA::S.29","Eso-AdenoCA::S.30","Eso-AdenoCA::S.31","Eso-AdenoCA::S.32","Eso-AdenoCA::S.33","Eso-AdenoCA::S.34","Eso-AdenoCA::S.35","Eso-AdenoCA::S.36","Eso-AdenoCA::S.37","Eso-AdenoCA::S.38","Eso-AdenoCA::S.39","Eso-AdenoCA::S.40","Eso-AdenoCA::S.41","Eso-AdenoCA::S.42","Eso-AdenoCA::S.43","Eso-AdenoCA::S.44","Eso-AdenoCA::S.45","Eso-AdenoCA::S.46","Eso-AdenoCA::S.47","Eso-AdenoCA::S.48","Eso-AdenoCA::S.49","Eso-AdenoCA::S.50","Eso-AdenoCA::S.51","Eso-AdenoCA::S.52","Eso-AdenoCA::S.53","Eso-AdenoCA::S.54","Eso-AdenoCA::S.55","Eso-AdenoCA::S.56","Eso-AdenoCA::S.57","Eso-AdenoCA::S.58","Eso-AdenoCA::S.59","Eso-AdenoCA::S.60","Eso-AdenoCA::S.61","Eso-AdenoCA::S.62","Eso-AdenoCA::S.63","Eso-AdenoCA::S.64","Eso-AdenoCA::S.65","Eso-AdenoCA::S.66","Eso-AdenoCA::S.67","Eso-AdenoCA::S.68","Eso-AdenoCA::S.69","Eso-AdenoCA::S.70","Eso-AdenoCA::S.71","Eso-AdenoCA::S.72","Eso-AdenoCA::S.73","Eso-AdenoCA::S.74","Eso-AdenoCA::S.75","Eso-AdenoCA::S.76","Eso-AdenoCA::S.77","Eso-AdenoCA::S.78","Eso-AdenoCA::S.79","Eso-AdenoCA::S.80","Eso-AdenoCA::S.81","Eso-AdenoCA::S.82","Eso-AdenoCA::S.83","Eso-AdenoCA::S.84","Eso-AdenoCA::S.85","Eso-AdenoCA::S.86","Eso-AdenoCA::S.87","Eso-AdenoCA::S.88","Eso-AdenoCA::S.89","Eso-AdenoCA::S.90","Eso-AdenoCA::S.91","Eso-AdenoCA::S.92","Eso-AdenoCA::S.93","Eso-AdenoCA::S.94","Eso-AdenoCA::S.95","Eso-AdenoCA::S.96","Eso-AdenoCA::S.97","Eso-AdenoCA::S.98","Eso-AdenoCA::S.99","Eso-AdenoCA::S.100"
"AC>CA",0,0,0,3,3,4,3,5,1,0,4,2,3,5,1,14,0,4,43,1,8,16,5,1,2,1,1,0,16,10,23,0,2,4,1,0,3,2,5,11,4,7,9,7,4,0,13,1,0,2,1,3,9,5,9,4,0,5,1,4,0,5,7,5,0,3,0,5,0,26,5,1,0,6,0,1,0,0,0,1,3,3,19,27,0,1,2,3,43,2,9,0,0,2,7,5,7,2,10,25
"AC>CG",2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1
"AC>CT",0,5,1,18,1,1,3,4,2,0,6,7,0,11,0,8,1,28,12,1,4,25,13,0,2,3,2,6,3,0,2,2,8,5,0,2,13,15,1,8,23,4,2,10,2,10,12,1,2,0,14,1,8,4,4,2,10,13,2,2,0,3,6,2,0,1,1,6,2,32,12,0,0,14,0,0,3,0,0,3,4,97,17,14,0,0,3,4,26,1,10,0,0,1,5,4,25,11,46,7
"AC>GA",2,0,3,0,1,0,2,3,1,0,0,2,2,0,1,3,2,3,0,0,0,1,0,0,1,1,1,0,6,0,4,4,1,2,2,0,0,0,0,4,1,1,3,1,0,0,0,0,2,1,1,0,3,0,3,0,1,0,1,2,3,0,0,1,1,1,0,3,5,2,0,1,0,0,1,1,1,0,3,1,1,1,3,1,0,0,2,0,0,0,1,1,0,0,0,0,0,1,1,0
"AC>GG",0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,4,1,0,0,1,0,2,0,1,0,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,0,1,1,2
"AC>GT",2,0,0,0,1,0,0,0,1,0,1,2,0,0,0,1,0,1,2,0,0,0,1,0,0,2,1,2,0,1,0,0,1,1,1,2,0,1,0,5,0,0,0,1,1,0,1,0,0,1,1,0,0,3,1,0,1,0,0,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0
"AC>TA",2,0,1,1,0,0,1,0,3,2,0,0,3,1,1,6,3,4,1,3,4,1,0,1,0,3,2,1,4,1,1,1,4,0,0,1,1,0,2,1,2,1,1,1,3,0,1,4,1,1,1,2,2,2,1,2,4,0,0,2,0,0,0,0,0,0,1,0,2,5,0,0,0,4,0,0,1,2,0,0,0,1,1,2,0,1,2,0,2,2,1,2,0,0,1,6,0,3,5,10
"AC>TG",0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,1,0,1,1,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,3,0,0,0,0,8,1,0,0,0,2,0,0,0,0,0,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"AC>TT",5,10,0,0,1,0,1,1,0,0,3,1,6,0,1,3,2,2,1,1,1,1,3,1,0,7,0,6,7,2,6,0,0,4,3,2,0,1,3,4,0,3,1,0,0,1,5,1,0,0,4,0,0,2,0,2,4,2,0,0,3,7,0,1,0,1,1,2,8,0,0,1,0,1,2,0,1,0,6,1,8,1,0,4,1,0,1,0,0,2,0,4,0,1,0,0,0,0,4,0
"AT>CA",0,2,1,0,0,0,0,1,1,0,3,6,1,0,3,3,0,0,2,0,0,3,4,1,0,0,0,0,0,1,4,1,4,0,0,0,1,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,10,2,2,0,0,0,2,0,3,0,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,6,1,2,0,1,0,2,5,0,2,0
