,SBS1,SBS5,SBS10a,SBS10b,SBS15,SBS17a,SBS17b,SBS18,SBS28,SBS37,SBS40,SBS44
ColoRect-AdenoCA::MSI-H.S.1,9579.0,9022.0,531.0,0.0,0.0,0.0,0.0,0.0,0.0,2731.0,8256.0,35424.0
ColoRect-AdenoCA::MSI-H.S.2,19724.0,10625.0,976.0,0.0,3271.0,0.0,0.0,0.0,0.0,0.0,0.0,48397.0
ColoRect-AdenoCA::MSI-H.S.3,15249.0,14427.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48403.0
ColoRect-AdenoCA::MSI-H.S.4,10552.0,53711.0,0.0,1367.0,0.0,622.0,0.0,0.0,0.0,0.0,0.0,31950.0
ColoRect-AdenoCA::MSI-H.S.5,6964.0,38046.0,0.0,0.0,4340.0,0.0,0.0,0.0,0.0,0.0,0.0,59679.0
ColoRect-AdenoCA::MSI-H.S.6,20860.0,42196.0,0.0,0.0,0.0,888.0,0.0,0.0,0.0,0.0,0.0,61946.0
ColoRect-AdenoCA::MSI-H.S.7,24430.0,19948.0,0.0,2346.0,0.0,0.0,0.0,0.0,0.0,2886.0,0.0,38711.0
ColoRect-AdenoCA::MSI-H.S.8,4579.0,42492.0,0.0,0.0,0.0,1395.0,0.0,0.0,841.0,8164.0,0.0,63091.0
ColoRect-AdenoCA::MSI-H.S.9,11932.0,28176.0,0.0,0.0,6312.0,975.0,0.0,0.0,0.0,0.0,6956.0,74138.0
ColoRect-AdenoCA::MSI-H.S.10,10035.0,61111.0,0.0,950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43357.0
ColoRect-AdenoCA::MSI-H.S.11,2655.0,11031.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,796.0,0.0,8386.0
ColoRect-AdenoCA::MSI-H.S.12,16830.0,52312.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59818.0
ColoRect-AdenoCA::MSI-H.S.13,14934.0,10262.0,0.0,1727.0,0.0,0.0,0.0,0.0,0.0,0.0,10988.0,53819.0
ColoRect-AdenoCA::MSI-H.S.14,18944.0,0.0,0.0,0.0,1322.0,0.0,0.0,0.0,0.0,0.0,4461.0,33309.0
ColoRect-AdenoCA::MSI-H.S.15,51773.0,17289.0,0.0,1353.0,0.0,0.0,0.0,0.0,0.0,0.0,10180.0,22188.0
ColoRect-AdenoCA::MSI-H.S.16,4739.0,34367.0,0.0,0.0,20787.0,0.0,0.0,0.0,0.0,26306.0,0.0,69889.0
