Sample,SBS1,SBS5,SBS10a,SBS10b,SBS15,SBS17a,SBS17b,SBS18,SBS28,SBS37,SBS40,SBS44
ColoRect-AdenoCA::MSI-H.S.1,9579.312260244738,9022.376565615841,530.740438022216,0.0,0.0,331.722863050262,0.0,0.0,0.0,2730.955691822108,8256.107796842512,35424.489383662294
ColoRect-AdenoCA::MSI-H.S.2,19723.957041828966,10625.196139449088,976.4210475641,0.0,3271.1216736484025,0.0,0.0,0.0,0.0,0.0,4113.7509071359555,48397.43227518052
ColoRect-AdenoCA::MSI-H.S.3,15249.239829118347,14426.766769975895,344.4696506248061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48403.2825330373
ColoRect-AdenoCA::MSI-H.S.4,10552.205498225234,53711.33523724452,0.0,1366.5782219429143,0.0,621.5413074416791,0.0,0.0,0.0,0.0,0.0,31950.037417511856
ColoRect-AdenoCA::MSI-H.S.5,6964.091423555308,38045.52851492163,0.0,0.0,4339.632720949578,0.0,0.0,0.0,0.0,0.0,0.0,59679.02636912672
ColoRect-AdenoCA::MSI-H.S.6,20859.73785608853,42195.85475142226,0.0,607.8270223864649,0.0,887.8546703222527,0.0,0.0,0.0,0.0,0.0,61946.04523734651
ColoRect-AdenoCA::MSI-H.S.7,24430.06905416926,19947.69458137995,0.0,2345.771938512827,805.0141318723131,0.0,0.0,0.0,0.0,2886.1115782142847,0.0,38711.41823276178
ColoRect-AdenoCA::MSI-H.S.8,4579.166012035715,42492.46236376412,0.0,0.0,1202.081131235738,1394.7257331441504,0.0,0.0,840.6807640070746,8164.281993405793,0.0,63090.52309509449
ColoRect-AdenoCA::MSI-H.S.9,11932.188113742523,28175.554389380868,0.0,0.0,6312.253903876884,975.1591315557826,0.0,0.0,0.0,0.0,6956.421758850418,74137.78620591598
ColoRect-AdenoCA::MSI-H.S.10,10034.859744528545,61111.149352352564,0.0,950.1124291681207,0.0,0.0,0.0,1029.6494367376388,0.0,0.0,0.0,43356.73068396309
ColoRect-AdenoCA::MSI-H.S.11,2654.877096437221,11030.972948055165,0.0,0.0,0.0,0.0,0.0,260.73509241822876,0.0,796.1103642926774,0.0,8385.991403887761
ColoRect-AdenoCA::MSI-H.S.12,16830.34470195371,52311.553319889856,749.6861943721831,0.0,1546.2330389512686,0.0,0.0,0.0,0.0,0.0,0.0,59817.72256751667
ColoRect-AdenoCA::MSI-H.S.13,14934.004331410631,10261.826290032508,0.0,1726.7104467271872,1331.348619772518,0.0,0.0,0.0,0.0,0.0,10988.195878275052,53819.09802338592
ColoRect-AdenoCA::MSI-H.S.14,18943.72868800499,0.0,0.0,0.0,1322.3404772797423,0.0,0.0,0.0,0.0,1300.7555664384101,4461.078327724343,33309.31061140182
ColoRect-AdenoCA::MSI-H.S.15,51772.709793977614,17288.994161643855,0.0,1352.6821585871337,0.0,0.0,0.0,0.0,0.0,0.0,10179.760851248202,22188.24410353735
ColoRect-AdenoCA::MSI-H.S.16,4738.970380898506,34367.13867240941,0.0,0.0,20786.816173584277,0.0,0.0,0.0,0.0,26306.04099943767,0.0,69889.02307719742
