MutationType	ColoRect-AdenoCA::S.1	ColoRect-AdenoCA::S.2	ColoRect-AdenoCA::S.3	ColoRect-AdenoCA::S.4	ColoRect-AdenoCA::S.5	ColoRect-AdenoCA::S.6	ColoRect-AdenoCA::S.7	ColoRect-AdenoCA::S.8	ColoRect-AdenoCA::S.9	ColoRect-AdenoCA::S.10	ColoRect-AdenoCA::S.11	ColoRect-AdenoCA::S.12	ColoRect-AdenoCA::S.13	ColoRect-AdenoCA::S.14	ColoRect-AdenoCA::S.15	ColoRect-AdenoCA::S.16	ColoRect-AdenoCA::S.17	ColoRect-AdenoCA::S.18	ColoRect-AdenoCA::S.19	ColoRect-AdenoCA::S.20	ColoRect-AdenoCA::S.21	ColoRect-AdenoCA::S.22	ColoRect-AdenoCA::S.23	ColoRect-AdenoCA::S.24	ColoRect-AdenoCA::S.25	ColoRect-AdenoCA::S.26	ColoRect-AdenoCA::S.27	ColoRect-AdenoCA::S.28	ColoRect-AdenoCA::S.29	ColoRect-AdenoCA::S.30	ColoRect-AdenoCA::S.31	ColoRect-AdenoCA::S.32	ColoRect-AdenoCA::S.33	ColoRect-AdenoCA::S.34	ColoRect-AdenoCA::S.35	ColoRect-AdenoCA::POLE.S.1	ColoRect-AdenoCA::POLE.S.2	ColoRect-AdenoCA::POLE.S.3	ColoRect-AdenoCA::POLE.S.4	ColoRect-AdenoCA::POLE.S.5	ColoRect-AdenoCA::POLE.S.6	ColoRect-AdenoCA::POLE.S.7	ColoRect-AdenoCA::POLE.S.8	ColoRect-AdenoCA::POLE.S.9	ColoRect-AdenoCA::POLE.S.10	ColoRect-AdenoCA::POLE.S.11	ColoRect-AdenoCA::POLE.S.12	ColoRect-AdenoCA::POLE.S.13	ColoRect-AdenoCA::POLE.S.14	ColoRect-AdenoCA::POLE.S.15	ColoRect-AdenoCA::POLE.S.16	ColoRect-AdenoCA::POLE.S.17	ColoRect-AdenoCA::POLE.S.18	ColoRect-AdenoCA::POLE.S.19	ColoRect-AdenoCA::POLE.S.20	ColoRect-AdenoCA::POLE.S.21	ColoRect-AdenoCA::POLE.S.22	ColoRect-AdenoCA::POLE.S.23	ColoRect-AdenoCA::POLE.S.24	ColoRect-AdenoCA::POLE.S.25	ColoRect-AdenoCA::POLE.S.26	ColoRect-AdenoCA::POLE.S.27	ColoRect-AdenoCA::POLE.S.28	ColoRect-AdenoCA::POLE.S.29	ColoRect-AdenoCA::POLE.S.30
AC>CA	21	3	5	0	0	1	4	2	1	4	21	1	1	0	2	35	0	1	0	0	0	9	0	2	2	0	4	1	0	5	0	0	0	1	1	5	3	1	0	170	7	12	5	26	19	14	2	20	6	6	27	5	20	10	9	7	1	20	10	0	26	25	5	19	8
AC>CG	1	0	0	0	0	1	0	0	0	1	2	0	0	0	1	8	0	3	0	0	0	1	0	0	3	0	4	0	3	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
AC>CT	0	0	0	0	0	3	0	0	4	5	0	0	0	0	0	12	2	5	0	2	0	4	0	1	0	0	1	5	6	1	0	0	0	0	4	4	18	0	0	36	8	1	11	36	12	4	8	6	10	0	20	0	6	8	23	11	2	17	4	1	0	0	9	9	5
AC>GA	1	0	1	2	2	1	0	0	0	0	1	0	3	0	5	3	0	4	0	0	1	2	4	1	1	0	6	2	0	1	0	0	1	0	1	14	14	1	2	29	21	5	0	25	25	15	6	6	1	23	78	1	9	62	23	23	3	192	3	3	28	24	1	9	12
AC>GG	0	1	0	0	1	2	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	3	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	2	8	0	0	10	0	0	0	5	1	3	0
AC>GT	0	1	0	0	0	2	0	0	0	3	0	3	0	0	4	0	0	0	0	0	0	2	1	0	0	0	1	0	2	0	0	0	0	0	7	26	17	0	18	67	24	15	8	69	33	10	2	7	2	1	13	5	1	9	1	4	6	42	3	1	18	12	9	14	15
AC>TA	0	1	1	2	2	3	2	1	0	2	4	0	2	0	2	2	0	0	2	0	1	2	0	3	1	0	1	3	2	0	0	0	0	1	0	1	0	1	3	1	3	0	0	2	0	2	0	0	0	0	4	0	4	3	0	0	0	0	0	1	3	4	0	1	1
AC>TG	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC>TT	0	0	0	0	2	0	0	3	0	2	2	0	0	0	2	2	0	1	0	1	5	2	0	2	0	0	2	2	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AT>CA	1	3	0	5	5	11	0	0	0	5	1	6	0	0	8	3	1	1	1	1	0	0	0	2	0	0	1	0	1	2	0	0	0	0	1	11	21	1	34	19	71	15	1	19	0	0	4	27	8	9	166	4	31	6	16	8	0	9	3	4	12	6	3	2	2
AT>CC	0	2	0	0	0	1	2	1	1	0	4	1	0	0	3	3	1	0	0	0	0	0	0	0	1	0	1	0	3	2	0	0	0	0	0	7	8	0	1	2	64	53	4	35	21	37	8	1	5	24	72	3	22	34	10	46	0	23	0	6	0	12	4	0	6
AT>CG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	60	14	4	39	100	37	31	2	1	9	9	7	4	47	0	78	4	7	90	24	155	0	117	2	21	22	60	7	19	7
AT>GA	1	2	2	1	0	0	0	1	0	7	7	1	0	0	1	2	0	0	3	0	1	2	0	0	10	0	5	3	2	6	0	0	0	0	3	5	1	1	7	3	0	0	0	1	1	0	0	1	3	0	12	0	1	6	0	2	0	0	0	3	13	8	1	2	0
