Mutation type,Liver-HCC::MSI-H.S.1
DEL_C_1_0,21.11613383082512
DEL_C_1_1,-6.696043715055293
DEL_C_1_2,-0.07767907592075231
DEL_C_1_3,-23.87961531106091
DEL_C_1_4,-2.07969942363453
DEL_C_1_5+,121.60153371626512
DEL_T_1_0,-15.216188240470487
DEL_T_1_1,-0.9644279285888322
DEL_T_1_2,1.5171600517727626
DEL_T_1_3,-95.38845250677028
DEL_T_1_4,73.85190768916493
DEL_T_1_5+,0.08490006703777908
INS_C_1_0,-8.591631535418136e-14
INS_C_1_1,-0.39388522068173515
INS_C_1_2,-0.16853470962960682
INS_C_1_3,-2.3708585746071122
INS_C_1_4,-5.078167428183903
INS_C_1_5+,-69.14300638502237
INS_T_1_0,-21.897584934033475
INS_T_1_1,-0.9754749317692131
INS_T_1_2,-3.6090995840099858
INS_T_1_3,-55.583937684875465
INS_T_1_4,-156.02524024937475
INS_T_1_5+,7.841834033079067
DEL_repeats_2_0,-6.04913687447239
DEL_repeats_2_1,21.33442495097877
DEL_repeats_2_2,-0.17194863431829788
DEL_repeats_2_3,-0.47407244988569275
DEL_repeats_2_4,3.5700623075335036
DEL_repeats_2_5+,-9.033680949328834e-14
DEL_repeats_3_0,0.48011487320282464
DEL_repeats_3_1,-24.98926359922386
DEL_repeats_3_2,-2.3928883927181523
DEL_repeats_3_3,-5.381543958591937
DEL_repeats_3_4,-8.603910685804545e-14
DEL_repeats_3_5+,-8.591631535418136e-14
DEL_repeats_4_0,-1.9593390632882375
DEL_repeats_4_1,7.165693604572045
DEL_repeats_4_2,3.5848486756895954
DEL_repeats_4_3,-0.04515292113534419
DEL_repeats_4_4,-8.591631535418136e-14
DEL_repeats_4_5+,-0.8295205755096329
DEL_repeats_5+_0,-0.40844649567199903
DEL_repeats_5+_1,26.163409150496538
DEL_repeats_5+_2,-1.7958892163863993
DEL_repeats_5+_3,-1.3225458551917504
DEL_repeats_5+_4,-0.5780082114917146
DEL_repeats_5+_5+,0.287187767086585
INS_repeats_2_0,-1.538330614162673
INS_repeats_2_1,-0.8601594816440425
INS_repeats_2_2,-3.488919188006893
INS_repeats_2_3,-2.9112996520954084
INS_repeats_2_4,-25.308318765062097
INS_repeats_2_5+,-141.66166596282824
INS_repeats_3_0,0.6338997448140593
INS_repeats_3_1,-2.2873733583929567
INS_repeats_3_2,1.887644279635194
INS_repeats_3_3,-0.11836460954526329
INS_repeats_3_4,-1.5240203265243641
INS_repeats_3_5+,-14.667161644665924
INS_repeats_4_0,-0.10672414483840878
INS_repeats_4_1,-8.247217323718669
INS_repeats_4_2,-1.4796971618747334
INS_repeats_4_3,-3.7536323191227576
INS_repeats_4_4,-2.4748480788458007
INS_repeats_4_5+,-13.086346273962981
INS_repeats_5+_0,-0.0036110491401795054
INS_repeats_5+_1,-20.69413279403038
INS_repeats_5+_2,-3.774618947347924
INS_repeats_5+_3,-3.010054239199768
INS_repeats_5+_4,-1.883501213267719
INS_repeats_5+_5+,-0.9383600035126651
DEL_MH_2_1,-14.435313904528634
DEL_MH_3_1,-1.5917941758865612
DEL_MH_3_2,-13.620924732432037
DEL_MH_4_1,-0.5027255015595431
DEL_MH_4_2,-2.1574161202558004
DEL_MH_4_3,5.698596179223677
DEL_MH_5+_1,-0.8529510786268175
DEL_MH_5+_2,-0.727498626015112
DEL_MH_5+_3,-0.36054460467823785
DEL_MH_5+_4,0.42712589105764964
DEL_MH_5+_5+,-3.901712640406963
