"Mutation type","Kidney-RCC::S.1","Kidney-RCC::S.2","Kidney-RCC::S.3","Kidney-RCC::S.4","Kidney-RCC::S.5","Kidney-RCC::S.6","Kidney-RCC::S.7","Kidney-RCC::S.8","Kidney-RCC::S.9","Kidney-RCC::S.10","Kidney-RCC::S.11","Kidney-RCC::S.12","Kidney-RCC::S.13","Kidney-RCC::S.14","Kidney-RCC::S.15","Kidney-RCC::S.16","Kidney-RCC::S.17","Kidney-RCC::S.18","Kidney-RCC::S.19","Kidney-RCC::S.20","Kidney-RCC::S.21","Kidney-RCC::S.22","Kidney-RCC::S.23","Kidney-RCC::S.24","Kidney-RCC::S.25","Kidney-RCC::S.26","Kidney-RCC::S.27","Kidney-RCC::S.28","Kidney-RCC::S.29","Kidney-RCC::S.30","Kidney-RCC::S.31","Kidney-RCC::S.32","Kidney-RCC::S.33","Kidney-RCC::S.34","Kidney-RCC::S.35","Kidney-RCC::S.36","Kidney-RCC::S.37","Kidney-RCC::S.38","Kidney-RCC::S.39","Kidney-RCC::S.40","Kidney-RCC::S.41","Kidney-RCC::S.42","Kidney-RCC::S.43","Kidney-RCC::S.44","Kidney-RCC::S.45","Kidney-RCC::S.46","Kidney-RCC::S.47","Kidney-RCC::S.48","Kidney-RCC::S.49","Kidney-RCC::S.50","Kidney-RCC::S.51","Kidney-RCC::S.52","Kidney-RCC::S.53","Kidney-RCC::S.54","Kidney-RCC::S.55","Kidney-RCC::S.56","Kidney-RCC::S.57","Kidney-RCC::S.58","Kidney-RCC::S.59","Kidney-RCC::S.60","Kidney-RCC::S.61","Kidney-RCC::S.62","Kidney-RCC::S.63","Kidney-RCC::S.64","Kidney-RCC::S.65","Kidney-RCC::S.66","Kidney-RCC::S.67","Kidney-RCC::S.68","Kidney-RCC::S.69","Kidney-RCC::S.70","Kidney-RCC::S.71","Kidney-RCC::S.72","Kidney-RCC::S.73","Kidney-RCC::S.74","Kidney-RCC::S.75","Kidney-RCC::S.76","Kidney-RCC::S.77","Kidney-RCC::S.78","Kidney-RCC::S.79","Kidney-RCC::S.80","Kidney-RCC::S.81","Kidney-RCC::S.82","Kidney-RCC::S.83","Kidney-RCC::S.84","Kidney-RCC::S.85","Kidney-RCC::S.86","Kidney-RCC::S.87","Kidney-RCC::S.88","Kidney-RCC::S.89","Kidney-RCC::S.90","Kidney-RCC::S.91","Kidney-RCC::S.92","Kidney-RCC::S.93","Kidney-RCC::S.94","Kidney-RCC::S.95","Kidney-RCC::S.96","Kidney-RCC::S.97","Kidney-RCC::S.98","Kidney-RCC::S.99"
"DEL_C_1_0",49,16,10,22,42,37,60,115,34,32,23,2,42,21,14,44,71,44,54,63,42,79,32,45,17,63,50,88,30,51,110,33,58,26,83,33,42,26,32,138,37,14,58,145,66,15,53,52,20,32,28,49,15,122,36,63,12,19,55,52,8,48,34,5,24,54,73,17,19,27,10,12,59,21,24,68,15,24,31,31,17,38,7,52,111,138,80,33,39,106,16,19,25,23,21,25,21,33,51
"DEL_C_1_1",30,10,22,28,25,13,27,52,27,46,32,10,25,52,15,37,19,42,31,44,25,61,40,73,11,61,62,39,23,47,62,19,65,28,42,16,16,24,33,42,15,15,35,53,43,21,14,20,22,19,50,75,9,32,12,57,9,63,44,39,15,38,34,20,42,41,21,35,16,32,17,9,39,43,32,44,23,26,87,23,12,32,15,22,36,64,35,42,54,24,39,15,14,28,51,19,17,26,48
"DEL_C_1_2",15,27,17,36,11,7,48,35,38,39,6,8,13,19,25,55,5,31,23,40,18,18,25,34,6,36,14,45,9,18,13,2,19,65,35,9,21,26,23,17,16,19,31,47,28,8,32,14,16,12,20,22,8,5,18,22,8,65,26,26,9,42,8,20,44,33,22,26,12,19,8,9,6,47,5,15,36,34,67,25,2,36,15,16,9,10,11,29,40,10,20,13,8,23,29,20,18,38,6
"DEL_C_1_3",12,10,10,24,8,3,13,26,17,9,8,0,16,7,7,34,1,14,13,12,6,11,27,13,2,18,20,22,12,11,13,1,11,18,13,12,12,11,6,21,7,3,27,15,19,7,1,5,6,6,26,21,8,2,0,8,5,16,16,17,2,10,18,1,14,24,9,15,9,6,3,8,15,15,5,10,6,24,14,14,4,15,0,7,10,17,5,11,13,3,21,9,8,16,9,11,16,13,5
"DEL_C_1_4",0,2,3,1,1,3,2,9,8,13,2,1,1,4,1,9,1,11,3,10,1,5,7,6,2,7,8,10,9,6,7,3,7,4,2,7,9,1,5,5,4,2,11,0,7,0,4,3,7,1,6,23,1,5,5,7,0,7,6,8,1,19,0,3,6,6,6,10,3,7,1,3,2,2,2,4,8,3,5,4,0,2,0,4,6,10,10,2,8,1,2,1,1,4,5,3,1,5,2
"DEL_C_1_5+",1,0,3,2,1,1,2,5,13,4,2,2,3,4,2,3,0,7,0,0,2,3,1,4,1,5,1,4,2,4,1,3,5,4,2,3,1,5,6,0,4,0,4,1,4,4,2,1,2,2,5,8,4,3,2,5,0,11,0,4,0,7,2,4,8,6,1,0,2,4,0,1,1,7,0,5,2,4,7,0,3,2,0,4,2,3,1,4,2,0,6,1,2,5,3,0,0,10,1
"DEL_T_1_0",29,59,27,41,64,42,207,173,46,35,45,100,143,26,47,64,26,92,172,91,56,56,166,62,50,156,44,87,60,90,75,41,64,29,101,65,91,6,30,62,71,27,99,50,60,65,72,50,61,32,48,41,34,58,50,140,22,75,70,50,64,46,68,45,47,64,74,81,60,26,40,39,55,24,61,81,27,26,80,72,32,104,10,39,65,119,61,57,37,27,31,77,25,19,45,37,66,31,61
"DEL_T_1_1",56,61,72,12,32,16,105,81,57,36,38,46,42,41,51,201,68,71,75,81,82,96,69,113,16,106,55,126,34,42,28,27,72,32,124,38,64,26,43,63,16,52,123,121,67,69,54,21,18,29,75,25,72,48,40,268,36,102,25,16,45,65,109,27,42,33,27,51,18,22,23,43,70,72,18,41,97,60,55,70,11,109,51,65,59,21,75,79,46,15,75,27,38,36,18,41,74,45,50
"DEL_T_1_2",41,133,32,33,71,65,141,119,63,44,49,17,68,46,51,70,47,53,110,134,37,242,68,83,16,98,88,63,64,27,47,116,61,99,69,154,102,31,73,131,36,54,70,148,26,22,63,18,32,19,147,62,91,42,121,164,39,51,99,46,34,78,38,27,77,44,57,37,95,31,48,35,42,97,33,66,54,56,146,40,20,67,33,37,54,81,91,42,38,42,69,24,21,28,37,41,35,38,48
"DEL_T_1_3",18,34,54,18,24,28,52,72,61,31,21,22,56,41,128,83,51,65,91,57,92,26,27,81,21,46,74,47,45,64,24,38,104,48,96,76,29,11,15,62,27,16,79,73,107,33,77,44,12,43,120,72,68,25,52,101,43,98,77,54,42,41,109,24,17,55,64,39,40,30,22,56,58,25,24,33,25,56,36,65,24,164,21,63,64,59,102,17,46,26,41,75,22,21,25,46,18,31,49
"DEL_T_1_4",38,40,47,14,22,5,126,59,34,37,49,17,51,18,14,94,54,29,89,59,65,36,40,57,14,78,20,58,8,54,37,19,28,32,19,82,51,14,33,46,16,3,46,32,17,18,18,19,29,40,55,34,33,46,50,56,4,19,20,20,13,21,29,18,14,21,51,7,41,25,8,16,22,27,30,26,12,14,36,60,5,30,5,9,76,77,20,33,22,10,14,18,24,9,15,15,23,17,32
"DEL_T_1_5+",39,9,27,17,11,20,8,27,11,10,9,10,14,62,6,46,25,13,29,32,68,35,31,7,13,20,7,25,9,43,11,15,64,28,22,17,44,4,19,11,8,17,18,66,8,25,15,6,9,8,29,41,14,25,22,36,8,19,32,8,4,19,45,8,12,5,29,10,16,46,40,38,10,7,10,7,15,14,24,28,6,21,15,9,11,21,18,7,45,3,13,13,10,76,30,14,4,40,12
"INS_C_1_0",0,0,0,0,0,0,0,1,3,2,2,1,0,0,1,1,0,2,1,2,1,0,0,1,0,1,1,0,1,2,0,0,0,1,0,1,0,0,3,0,1,1,3,2,2,0,0,0,0,0,0,1,1,0,0,0,4,0,0,3,1,1,3,0,2,0,0,0,0,2,0,1,0,0,1,0,1,1,1,2,2,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
"INS_C_1_1",5,22,0,0,10,31,4,0,5,6,0,17,2,6,0,0,33,3,2,5,9,22,6,12,17,17,0,14,0,5,3,2,17,1,1,7,20,7,10,0,15,20,10,0,3,1,0,0,0,10,16,28,1,0,5,7,1,2,0,2,1,15,0,11,1,2,0,3,31,13,7,1,3,3,11,0,1,3,11,6,0,2,0,2,0,20,1,3,5,13,6,1,1,2,1,43,0,0,7
"INS_C_1_2",3,16,1,1,20,6,5,2,4,9,3,10,3,8,2,3,12,1,3,6,7,4,10,9,8,14,0,6,2,4,2,0,6,1,0,4,15,10,12,0,7,4,13,0,4,4,1,1,7,12,7,13,5,1,14,2,4,2,3,2,0,10,2,6,4,1,0,2,21,11,9,3,1,5,4,1,1,7,6,6,1,2,1,3,0,7,1,2,6,6,12,0,1,3,1,6,5,3,18
"INS_C_1_3",1,2,0,1,0,0,0,1,2,3,1,4,1,3,0,0,5,1,0,1,1,3,1,3,2,3,1,10,1,0,6,0,2,1,0,0,5,0,3,0,0,2,4,1,2,0,0,1,3,0,8,4,1,0,3,2,0,0,1,1,0,12,0,2,1,0,0,0,10,6,0,0,0,1,5,0,0,2,7,2,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
"INS_C_1_4",0,1,1,1,2,1,2,2,1,3,0,3,1,2,0,1,2,2,1,0,4,3,0,1,1,2,2,1,1,1,3,0,3,0,0,2,2,6,2,0,2,1,4,1,2,0,0,0,2,2,1,3,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,3,2,4,0,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,1,1,2,0,2,4
"INS_C_1_5+",0,0,1,3,0,2,1,0,0,0,2,0,1,1,0,2,1,2,0,0,1,2,1,1,3,1,0,3,2,1,1,5,1,1,2,0,0,5,1,1,0,1,2,0,3,1,0,5,3,0,1,5,1,1,0,0,0,2,1,1,0,4,0,0,3,0,1,4,1,4,1,3,1,0,0,3,1,0,1,1,0,2,0,0,2,0,1,0,1,2,2,1,4,2,2,0,4,3,2
"INS_T_1_0",7,6,7,7,4,0,10,8,5,4,8,0,8,5,0,17,2,2,14,8,11,3,5,10,1,7,8,4,5,7,5,1,8,4,6,3,1,5,5,6,3,2,6,8,10,5,2,2,2,3,9,9,1,3,6,0,1,4,10,10,7,7,13,5,6,8,9,7,4,5,1,1,2,10,6,4,9,8,11,3,2,5,3,4,6,5,7,3,3,3,6,3,3,3,4,7,3,3,6
"INS_T_1_1",16,72,7,6,20,19,19,26,30,19,4,32,12,59,4,30,76,5,9,19,28,27,9,14,24,28,6,32,13,27,35,7,44,23,9,6,47,11,47,11,12,37,37,13,13,5,16,5,29,17,61,66,22,6,39,12,8,11,16,15,3,34,18,24,14,9,12,27,16,16,14,4,11,14,28,4,4,30,34,14,4,4,1,14,9,47,9,30,22,28,34,2,4,8,9,41,8,14,19
"INS_T_1_2",5,53,18,8,10,16,15,14,23,46,5,23,32,17,16,21,46,48,44,23,38,76,44,45,7,40,24,42,27,12,14,4,33,23,23,11,26,13,37,35,20,25,17,19,34,11,6,7,22,23,44,42,37,4,18,28,8,33,2,10,9,47,29,4,17,16,33,23,86,25,11,5,17,16,35,3,3,41,34,16,3,25,9,16,6,10,15,11,18,9,38,20,35,11,23,25,17,17,17
"INS_T_1_3",8,11,8,4,15,14,13,18,15,29,4,12,19,12,10,22,18,8,19,12,18,23,23,19,24,26,4,19,24,27,10,7,26,17,6,3,38,14,22,2,8,24,34,11,15,5,4,9,9,16,13,29,21,6,10,25,7,17,19,5,2,23,11,6,8,10,13,21,20,20,5,7,8,15,7,6,18,18,29,17,3,23,2,14,6,18,12,15,23,2,15,19,14,5,6,6,17,20,18
"INS_T_1_4",6,5,4,0,6,9,8,18,5,8,4,11,21,5,5,18,8,2,20,5,24,14,12,22,3,18,3,6,2,9,1,13,10,9,16,1,9,5,4,5,10,9,9,3,5,6,9,9,7,4,17,10,19,8,15,16,1,12,9,5,1,7,5,4,5,7,6,4,2,9,0,6,6,4,11,3,2,8,15,6,2,5,7,7,3,4,0,8,4,7,14,7,9,7,8,3,4,10,12
"INS_T_1_5+",4,9,4,2,30,33,16,41,13,10,37,3,106,12,25,46,19,49,61,7,30,19,19,10,67,10,5,8,6,11,18,153,4,8,5,56,7,13,8,81,26,52,6,19,50,1,19,39,67,5,13,154,76,5,5,90,11,21,3,57,3,16,2,4,18,3,45,60,3,32,4,13,12,34,78,2,36,32,7,3,3,88,6,4,56,6,4,4,7,47,152,111,87,12,4,3,53,8,4
"DEL_repeats_2_0",24,17,12,13,11,9,13,25,19,9,7,12,26,9,1,14,19,21,29,61,26,33,19,21,15,16,22,15,12,13,5,12,31,22,22,23,34,7,8,11,7,16,10,24,29,7,26,12,4,9,20,18,11,20,19,17,7,18,28,10,9,17,11,16,5,13,14,21,8,7,4,9,28,20,15,8,12,6,94,12,8,30,13,7,14,12,6,27,24,15,17,13,24,4,12,20,25,11,20
