"Mutation type","DBS2","DBS4","DBS5","DBS6","DBS11"
"AC>CA",0.000374079158890813,0.00414185748142889,0.0021398219882088,0.00266057088135458,0.00136990659976803
"AC>CG",3.17067094567882e-05,4.96222538837858e-05,0.00046196156941704,0.000146031334089387,0.00019398677398175
"AC>CT",0.000126026668503322,8.32373290953826e-18,0.0020198319701784,0.000240051508092143,0.000755948459434036
"AC>GA",0.00023705016218482,0.00440197413485197,0.00055795358384136,0.0085818414142941,0.000441969866494502
"AC>GG",4.17088260046709e-18,7.01314515575279e-18,1.1099076667812e-17,0.000104022320173262,0.00224984660545844
"AC>GT",0.000280059263340716,1.12050250705323e-08,0.00082193162350824,0.000132028329450679,0.00570961071874119
"AC>TA",0.00148031324908664,0.001270569807105,0.0014798768890416,0.010102167632211,0.000263982001707124
"AC>TG",6.3613461244534e-06,5.31238242183271e-05,0.0011199068349504,0.000449096363055717,0.000238983706090919
"AC>TT",0.00292061803198175,0.000161072235388901,0.0074693786223924,0.00318068248222089,0.00281980774550791
"AT>CA",3.78080005509966e-05,0.000916410978982818,0.00010799101622736,0.000114024466343768,0.00947935369766489
"AT>CC",4.17088260046709e-18,7.00314066908267e-18,2.1298228200396e-05,6.3913714029533e-05,0.00189987046683157
"AT>CG",4.17088260046709e-18,9.46424438993173e-18,1.049912657766e-17,1.82039060303208e-06,1.73988137488786e-05
"AT>GA",0.000168035558004429,0.000324145368111827,0.0011099076667812,0.00162034767962196,0.0111992364360598
"AT>GC",5.85123818051138e-06,1.76078965394079e-05,1.049912657766e-17,1.72036914132702e-05,0.00417971502702946
"AT>TA",0.000458096937893028,0.0045320324615635,0.00079293403581756,0.00220047215751131,0.00383973820664907
"CC>AA",0.724153238066708,7.00314066908267e-18,1.049912657766e-17,8.30178132151993e-18,7.34949891116424e-18
"CC>AG",0.0726153661376284,0.00543243626187413,0.024297978651156,0.0616132204103166,0.000971933733558046
"CC>AT",0.100021165478827,0.0157070440720854,0.0024297978651156,0.000438094002268161,0.0344976479503627
"CC>GA",0.0177037462897524,0.00355159276789193,6.7594376823792e-05,0.0355076189052961,0.00095293502888973
"CC>GG",0.000450095244654721,7.30327526918622e-05,1.1899010121348e-05,0.0181038845686158,0.00344976479503627
"CC>GT",0.0011002328202671,7.99358484942436e-05,2.4797937059616e-05,0.00344073828265405,0.0694952618130496
"CC>TA",0.0160033864766123,0.000170076273392008,0.0012698943574884,0.00222047644985232,0.0587959912893139
"CC>TG",0.00023705016218482,8.30372393619803e-06,0.0048095998893852,0.00687147441913758,0.0322977979361367
