Samples	DBS2	DBS3	DBS4	DBS5	DBS7	DBS9	DBS10
Stomach-AdenoCA::S.1	0	273	72	0	0	0	0
Stomach-AdenoCA::S.2	0	0	83	177	0	0	0
Stomach-AdenoCA::S.3	76	0	62	0	59	0	0
Stomach-AdenoCA::S.4	72	0	64	0	0	0	0
Stomach-AdenoCA::S.5	83	0	43	0	0	0	0
Stomach-AdenoCA::S.6	34	0	53	0	129	0	0
Stomach-AdenoCA::S.7	0	0	0	0	299	0	0
Stomach-AdenoCA::S.8	30	0	55	0	149	0	0
Stomach-AdenoCA::S.9	0	0	81	0	177	0	0
Stomach-AdenoCA::S.10	0	0	59	0	175	0	0
Stomach-AdenoCA::S.11	32	0	76	0	81	0	0
Stomach-AdenoCA::S.12	50	0	21	0	0	0	0
Stomach-AdenoCA::S.13	0	0	367	0	0	0	0
Stomach-AdenoCA::S.14	75	0	282	0	0	0	0
Stomach-AdenoCA::S.15	170	0	53	0	0	0	0
Stomach-AdenoCA::S.16	163	0	0	0	0	0	0
Stomach-AdenoCA::S.17	87	0	99	0	0	0	0
Stomach-AdenoCA::S.18	38	0	0	0	143	0	0
Stomach-AdenoCA::S.19	27	0	113	0	0	0	0
Stomach-AdenoCA::S.20	0	456	0	0	0	0	0
Stomach-AdenoCA::S.21	8	0	43	0	0	0	0
Stomach-AdenoCA::S.22	65	0	55	0	0	0	0
Stomach-AdenoCA::S.23	0	0	67	0	104	0	0
Stomach-AdenoCA::S.24	0	0	194	0	0	0	0
Stomach-AdenoCA::S.25	38	0	0	0	60	0	0
Stomach-AdenoCA::S.26	0	0	95	76	0	0	0
Stomach-AdenoCA::S.27	57	0	109	0	76	0	0
Stomach-AdenoCA::S.28	79	0	217	163	174	0	0
Stomach-AdenoCA::S.29	35	0	0	0	87	0	0
Stomach-AdenoCA::S.30	117	0	153	0	0	0	0
Stomach-AdenoCA::S.31	27	0	0	0	205	0	0
Stomach-AdenoCA::S.32	0	51	0	0	78	0	0
Stomach-AdenoCA::S.33	0	0	353	0	0	0	0
Stomach-AdenoCA::S.34	30	0	85	0	72	0	0
Stomach-AdenoCA::S.35	36	0	147	0	0	0	0
Stomach-AdenoCA::S.36	0	0	32	0	0	0	0
Stomach-AdenoCA::S.37	0	0	106	0	0	0	0
Stomach-AdenoCA::S.38	38	0	95	0	106	0	0
Stomach-AdenoCA::S.39	0	0	41	0	141	0	0
Stomach-AdenoCA::S.40	15	0	16	0	0	0	0
Stomach-AdenoCA::S.41	0	0	78	0	136	0	0
Stomach-AdenoCA::S.42	0	0	260	0	0	0	0
Stomach-AdenoCA::S.43	134	0	0	0	0	0	0
Stomach-AdenoCA::S.44	198	0	0	0	0	0	0
Stomach-AdenoCA::S.45	144	0	0	0	76	0	0
Stomach-AdenoCA::S.46	24	0	36	0	148	0	0
Stomach-AdenoCA::S.47	33	0	63	0	108	0	0
Stomach-AdenoCA::S.48	0	0	80	0	0	0	0
Stomach-AdenoCA::S.49	0	0	48	0	130	0	0
Stomach-AdenoCA::S.50	27	0	8	0	0	0	0
Stomach-AdenoCA::S.51	0	0	0	0	96	0	0
Stomach-AdenoCA::S.52	0	0	77	0	0	0	0
Stomach-AdenoCA::S.53	0	0	249	0	0	0	0
Stomach-AdenoCA::S.54	29	0	106	0	101	0	0
Stomach-AdenoCA::S.55	86	0	97	0	0	0	0
Stomach-AdenoCA::S.56	34	0	69	0	0	0	0
Stomach-AdenoCA::S.57	0	0	69	0	74	0	0
Stomach-AdenoCA::S.58	35	0	71	0	0	0	0
Stomach-AdenoCA::S.59	0	0	299	0	0	0	0
Stomach-AdenoCA::S.60	0	0	187	0	88	0	0
Stomach-AdenoCA::S.61	0	0	74	0	0	0	0
Stomach-AdenoCA::S.62	0	0	149	0	104	0	0
Stomach-AdenoCA::S.63	0	0	42	0	69	0	0
Stomach-AdenoCA::S.64	62	0	69	0	0	0	0
Stomach-AdenoCA::S.65	0	0	73	0	0	0	0
Stomach-AdenoCA::S.66	0	0	0	0	218	0	0
