,ID1,ID2,ID5,ID14
ColoRect-AdenoCA::MSI-H.S.1,7889.0,28342.0,0.0,0.0
ColoRect-AdenoCA::MSI-H.S.2,14871.0,17983.0,0.0,0.0
ColoRect-AdenoCA::MSI-H.S.3,27387.0,39117.0,0.0,0.0
ColoRect-AdenoCA::MSI-H.S.4,0.0,57143.0,0.0,0.0
ColoRect-AdenoCA::MSI-H.S.5,0.0,82495.0,0.0,0.0
ColoRect-AdenoCA::MSI-H.S.6,0.0,127076.0,0.0,0.0
ColoRect-AdenoCA::MSI-H.S.7,21779.0,8207.0,0.0,0.0
ColoRect-AdenoCA::MSI-H.S.8,7855.0,22213.0,0.0,0.0
ColoRect-AdenoCA::MSI-H.S.9,35768.0,62063.0,0.0,0.0
ColoRect-AdenoCA::MSI-H.S.10,0.0,79719.0,0.0,0.0
ColoRect-AdenoCA::MSI-H.S.11,46447.0,219248.0,0.0,0.0
ColoRect-AdenoCA::MSI-H.S.12,11405.0,34983.0,0.0,0.0
ColoRect-AdenoCA::MSI-H.S.13,21119.0,63929.0,0.0,0.0
ColoRect-AdenoCA::MSI-H.S.14,6452.0,34803.0,0.0,0.0
ColoRect-AdenoCA::MSI-H.S.15,71849.0,75803.0,0.0,0.0
