Mutation type,Ovary-AdenoCA::MSI-H.S.1
DEL_C_1_0,-107.44340654102834
DEL_C_1_1,-39.36845445619001
DEL_C_1_2,-20.983962117246083
DEL_C_1_3,-8.936909955656752
DEL_C_1_4,29.2484866787535
DEL_C_1_5+,36.097646047147975
DEL_T_1_0,-79.74413212181543
DEL_T_1_1,-92.18032404611941
DEL_T_1_2,-34.90389730920532
DEL_T_1_3,39.914000858177815
DEL_T_1_4,539.1084395287824
DEL_T_1_5+,-32.519759616179726
INS_C_1_0,-0.4516114693619124
INS_C_1_1,0.3208637822567284
INS_C_1_2,-2.6512187763691744
INS_C_1_3,14.19431251743703
INS_C_1_4,19.372748400891957
INS_C_1_5+,91.43244661484846
INS_T_1_0,23.97615217309987
INS_T_1_1,-13.533598605916943
INS_T_1_2,-20.943202172980545
INS_T_1_3,-30.144904158657894
INS_T_1_4,-67.87174278152148
INS_T_1_5+,-3.9125534391414476
DEL_repeats_2_0,-27.3462675250125
DEL_repeats_2_1,3.5728120279572124
DEL_repeats_2_2,6.654169845916503
DEL_repeats_2_3,-0.38973417767725493
DEL_repeats_2_4,5.0431809040864835
DEL_repeats_2_5+,-16.17395001980054
DEL_repeats_3_0,-14.200025437521287
DEL_repeats_3_1,99.59856993194569
DEL_repeats_3_2,33.94200196778848
DEL_repeats_3_3,5.33556719914577
DEL_repeats_3_4,-4.444719362808503
DEL_repeats_3_5+,-6.35053860771399
DEL_repeats_4_0,-9.144307017977223
DEL_repeats_4_1,0.841161759073529
DEL_repeats_4_2,2.8472067670588217
DEL_repeats_4_3,-3.4759617933469915
DEL_repeats_4_4,-3.4816292942790206
DEL_repeats_4_5+,-1.0202141702296266
DEL_repeats_5+_0,-15.199756898772259
DEL_repeats_5+_1,24.089145541099594
DEL_repeats_5+_2,-2.570098150847169
DEL_repeats_5+_3,-1.6434685147349213
DEL_repeats_5+_4,0.2569147052724561
DEL_repeats_5+_5+,-0.838547095995989
INS_repeats_2_0,2.47602656127634
INS_repeats_2_1,-12.406999800345517
INS_repeats_2_2,-5.896061350119961
INS_repeats_2_3,7.459070391142408
INS_repeats_2_4,3.2451529779363
INS_repeats_2_5+,-25.610058268358728
INS_repeats_3_0,-2.3515939527449983
INS_repeats_3_1,17.218529191707034
INS_repeats_3_2,6.153124539495304
INS_repeats_3_3,-0.24914259288310991
INS_repeats_3_4,1.2812938537444536
INS_repeats_3_5+,18.0842684300284
INS_repeats_4_0,-2.0370657272400194
INS_repeats_4_1,12.651885689096261
INS_repeats_4_2,1.0487586364626176
INS_repeats_4_3,0.8465433352558018
INS_repeats_4_4,-0.17878894940907308
INS_repeats_4_5+,18.022382847454818
INS_repeats_5+_0,-3.78913987778206
INS_repeats_5+_1,2.2708703930885275
INS_repeats_5+_2,3.8102212210412443
INS_repeats_5+_3,6.4163497347927585
INS_repeats_5+_4,1.9810262044942601
INS_repeats_5+_5+,-0.2096239570952947
DEL_MH_2_1,-44.4888865195492
DEL_MH_3_1,-12.101481043877293
DEL_MH_3_2,3.478264255854249
DEL_MH_4_1,-6.0970020009943475
DEL_MH_4_2,2.7436992008222045
DEL_MH_4_3,-10.439967425008252
DEL_MH_5+_1,-4.7774501707760315
DEL_MH_5+_2,-12.7771275300478
DEL_MH_5+_3,-9.169318762994578
DEL_MH_5+_4,-7.976894745072059
DEL_MH_5+_5+,4.467400203436732
