base_tool,Tool,tool_rank,m.Combined,med.Combined,sd.Combined,m.F1,med.F1,sd.F1,m.SMD,med.SMD,sd.SMD,m.sens,med.sens,sd.sens,m.prec,med.prec,sd.prec,m.scaled_L2,m.KL,med.KL,mean.multiLLH,med.multiLLH
pasa,pasa,1,2.81497211190622,2.90461515885245,0.192823679979285,0.948068505568506,1,0.0869389097802809,0.0954485230144138,0.0747960372960373,0.0783261989114877,0.919846560846561,1,0.132145145576016,0.990574074074074,1,0.0521302839096551,0.942472114725922,0.0926670982912058,0.0136914904036305,-162.262081314191,-102.53739153596
fitms,fitms_0.060,1,2.73465582824694,2.8373291933111,0.260814239858157,0.906138102638103,1,0.129963900685758,0.109976446885335,0.0854469082586775,0.0902058032907847,0.866002645502645,1,0.182285406277224,0.97862962962963,1,0.077327749732013,0.93533505159996,,,-115.395651318609,-104.457496307122
musical,musical,1,2.68462286012994,2.71962290574495,0.262556863462577,0.91611848645182,0.923076923076923,0.10196936885156,0.168057034049953,0.138392044204159,0.125571984716719,0.965277777777778,1,0.0964640736790855,0.887402116402116,1,0.144336436404349,0.896992504579089,0.119209835589887,0.0492880104593964,-131.659590710642,-108.380164932095
msa,msa_thresholdx10,1,2.6603072912618,2.7558408466054,0.310449898480661,0.911576028909362,1,0.114978398916156,0.182979745775235,0.146479335092754,0.14893017233121,0.934166666666667,1,0.126586814515953,0.90912037037037,1,0.143857191646965,0.888055246433625,0.174690868375273,0.0568124822734749,-412.060024764675,-110.156391850043
yapsa,yapsa_0.03,1,2.626372692556,2.66790261752875,0.313755144413516,0.893744619577953,0.909090909090909,0.122876983875666,0.18765508522178,0.15336511067765,0.148035279027995,0.905230158730159,1,0.156440012939089,0.908797619047619,1,0.139816334322504,0.887127740302894,0.178921057504844,0.0970726720045824,-403.4192991956,-111.763573530985
deconstruct,deconstruct_0.03,1,2.62185139875848,2.65286271588795,0.309855278902635,0.887476714643381,0.888888888888889,0.124994679556713,0.181815267908186,0.145406325470739,0.145175516022112,0.895071428571429,1,0.161678523778097,0.908595238095238,1,0.141194665406153,0.89386904785687,0.18929108587268,0.111731389076856,-511.849023423424,-112.96670600645
mp,mp,1,2.59640678018254,2.62862564528668,0.32814051949422,0.874245205411872,0.888888888888889,0.14243117982044,0.194828669552905,0.156165391679302,0.150777819868123,0.830880952380952,1,0.198136145190126,0.960354497354497,1,0.10128445855401,0.879330132014874,0.291893225603396,0.148278091091135,-132.782690368624,-112.42724527379
mutsig,mutsig,1,2.51209565823012,2.52982023111378,0.273508726154977,0.819564327647661,0.833333333333333,0.131174420722615,0.193582031364234,0.161655242737884,0.147250437923253,0.976193121693122,1,0.0791441342062501,0.729484567901235,0.714285714285714,0.184655723487275,0.88730954162689,0.159454586330287,0.0904273453713337,-449.312339448752,-113.024075447372
sigpro,sigpro,1,2.4605684485814,2.47965429050181,0.42351957432599,0.810354497354497,0.857142857142857,0.177812281622484,0.248153773640821,0.2,0.205255920442363,0.720611111111111,0.75,0.236017430204225,0.988111111111111,1,0.0693028119409612,0.85448991218288,0.522852709572577,0.422222907800593,-147.106379623958,-121.258054557947
sigspack,sigspack,1,2.44320205066599,2.45372017617589,0.26822402381428,0.766265731182398,0.769230769230769,0.144893086950007,0.188696538399265,0.154269279493008,0.145517388781763,0.976730158730159,1,0.08121911357177,0.655168430335097,0.666666666666667,0.191978741107817,0.894086714939085,0.203864272062377,0.107456393961572,-561.806836602031,-113.70684548054
sigest,sigest,1,2.44036210357604,2.45154615629091,0.267804706191957,0.764608801692135,0.769230769230769,0.145215904064594,0.188696538399265,0.154269279493008,0.145517388781763,0.976796296296296,1,0.0800300925117483,0.652262345679012,0.666666666666667,0.190596107347657,0.894086714939085,0.20680654703636,0.107265682875936,-561.806836602031,-113.70684548054
sigfit,sigfit,1,2.38727195521074,2.38768934975712,0.175357968637713,0.674769585352919,0.666666666666667,0.138468672945176,0.138184393995608,0.121773249748681,0.090255841633987,1,1,0,0.525456349206349,0.5,0.15768081623276,0.930088075785177,0.110421676145815,0.08879336396338,-159.472987348072,-110.023565658206
