Samples	ID1	ID2	ID5	ID14
ColoRect-AdenoCA::MSI-H.S.1	8693	31233	0	0
ColoRect-AdenoCA::MSI-H.S.2	14167	17131	0	0
ColoRect-AdenoCA::MSI-H.S.3	28092	40124	0	0
ColoRect-AdenoCA::MSI-H.S.4	0	65371	0	0
ColoRect-AdenoCA::MSI-H.S.5	8351	82878	0	0
ColoRect-AdenoCA::MSI-H.S.6	0	120484	0	0
ColoRect-AdenoCA::MSI-H.S.7	21749	8196	0	0
ColoRect-AdenoCA::MSI-H.S.8	9778	27649	0	0
ColoRect-AdenoCA::MSI-H.S.9	34736	60272	0	0
ColoRect-AdenoCA::MSI-H.S.10	0	79308	0	0
ColoRect-AdenoCA::MSI-H.S.11	42705	201581	0	0
ColoRect-AdenoCA::MSI-H.S.12	12680	38894	0	0
ColoRect-AdenoCA::MSI-H.S.13	21471	64996	0	0
ColoRect-AdenoCA::MSI-H.S.14	7408	39957	0	0
ColoRect-AdenoCA::MSI-H.S.15	69991	73843	0	0
