Mutation type,Liver-HCC::MSI-H.S.1
AC>CA,-0.2711269785072161
AC>CG,-0.022980548713045616
AC>CT,-0.0913422440960012
AC>GA,-0.17181041151392254
AC>GG,-3.0229933165110465e-15
AC>GT,-0.20298276465780457
AC>TA,-1.0729088989055695
AC>TG,-0.004610608511513249
AC>TT,-1.116820260002902
AT>CA,-0.02740267322880514
AT>CC,-3.0229933165110465e-15
AT>CG,-3.0229933165110465e-15
AT>GA,-0.12178965879466826
AT>GC,-0.004240889904457939
AT>TA,-0.3320218079045502
CC>AA,6.144565670504335
CC>AG,-3.6305311219908276
CC>AT,-37.49384452064854
CC>GA,-9.831410480154805
CC>GG,-0.3262223003429028
CC>GT,-0.797432289727136
CC>TA,-9.59901512330375
CC>TG,-0.17181041151392254
CC>TT,-3.0229933165110465e-15
CG>AT,-0.8336792119874504
CG>GC,0.7324977137188589
CG>GT,-0.9279212098642391
CG>TA,-3.0229933165110465e-15
CG>TC,-1.558617657193885
CG>TT,-0.03065775534799986
CT>AA,-0.3270524091127842
CT>AC,-3.0229933165110465e-15
CT>AG,-0.4255388673361964
CT>GA,-0.013121385858237394
CT>GC,-0.09714175165764861
CT>GG,-0.06509947237954235
CT>TA,-1.4502919447978821
CT>TC,-0.027837636295929058
CT>TG,-0.28272599363051093
GC>AA,-3.682687301648937
GC>AG,0.7643950053079559
GC>AT,-0.690866338281765
GC>CA,-0.7684347519188265
GC>CG,-0.048498381984313894
GC>TA,0.4664453043280752
TA>AT,-1.9935807243178039
TA>CG,-0.01370133661440257
TA>CT,-0.20298276465780457
TA>GC,-0.05958994019597303
TA>GG,-0.057197643326791614
TA>GT,0.057580021231606104
TC>AA,-1.0511607455493375
TC>AG,-0.14498768904125792
TC>AT,-3.0229933165110465e-15
TC>CA,-0.49440801963082287
TC>CG,-0.0028200105518532276
TC>CT,-2.4285437914417227
TC>GA,-0.6415705240077257
TC>GG,-0.007155142454188006
TC>GT,-0.062127224754195694
TG>AA,-2.145817797811139
TG>AC,0.8405135420545873
TG>AT,-3.1099859299357657
TG>CA,-0.104391136109726
TG>CC,-0.043061343645265204
TG>CT,-0.22556102678384526
TG>GA,-1.0656595144534922
TG>GC,-0.19718325709615717
TG>GT,-3.6396060493214852
TT>AA,-2.12448469883992
TT>AC,-0.2501037635961989
TT>AG,-0.15586176571933777
TT>CA,-3.0229933165110465e-15
TT>CC,-0.002160316566715323
TT>CG,-0.011019064367138573
TT>GA,-0.03472455152539062
TT>GC,-0.0011164052056179905
TT>GG,-3.0229933165110465e-15
