"Mutation type","Stomach-AdenoCA::S.1","Stomach-AdenoCA::S.2","Stomach-AdenoCA::S.3","Stomach-AdenoCA::S.4","Stomach-AdenoCA::S.5","Stomach-AdenoCA::S.6","Stomach-AdenoCA::S.7","Stomach-AdenoCA::S.8","Stomach-AdenoCA::S.9","Stomach-AdenoCA::S.10","Stomach-AdenoCA::S.11","Stomach-AdenoCA::S.12","Stomach-AdenoCA::S.13","Stomach-AdenoCA::S.14","Stomach-AdenoCA::S.15","Stomach-AdenoCA::S.16","Stomach-AdenoCA::S.17","Stomach-AdenoCA::S.18","Stomach-AdenoCA::S.19","Stomach-AdenoCA::S.20","Stomach-AdenoCA::S.21","Stomach-AdenoCA::S.22","Stomach-AdenoCA::S.23","Stomach-AdenoCA::S.24","Stomach-AdenoCA::S.25","Stomach-AdenoCA::S.26","Stomach-AdenoCA::S.27","Stomach-AdenoCA::S.28","Stomach-AdenoCA::S.29","Stomach-AdenoCA::S.30","Stomach-AdenoCA::S.31","Stomach-AdenoCA::S.32","Stomach-AdenoCA::S.33","Stomach-AdenoCA::S.34","Stomach-AdenoCA::S.35","Stomach-AdenoCA::S.36","Stomach-AdenoCA::S.37","Stomach-AdenoCA::S.38","Stomach-AdenoCA::S.39","Stomach-AdenoCA::S.40","Stomach-AdenoCA::S.41","Stomach-AdenoCA::S.42","Stomach-AdenoCA::S.43","Stomach-AdenoCA::S.44","Stomach-AdenoCA::S.45","Stomach-AdenoCA::S.46","Stomach-AdenoCA::S.47","Stomach-AdenoCA::S.48","Stomach-AdenoCA::S.49","Stomach-AdenoCA::S.50","Stomach-AdenoCA::S.51","Stomach-AdenoCA::S.52","Stomach-AdenoCA::S.53","Stomach-AdenoCA::S.54","Stomach-AdenoCA::S.55","Stomach-AdenoCA::S.56","Stomach-AdenoCA::S.57","Stomach-AdenoCA::S.58","Stomach-AdenoCA::S.59","Stomach-AdenoCA::S.60","Stomach-AdenoCA::S.61","Stomach-AdenoCA::S.62","Stomach-AdenoCA::S.63","Stomach-AdenoCA::S.64","Stomach-AdenoCA::S.65","Stomach-AdenoCA::S.66"
"AC>CA",6,0,4,0,1,3,8,7,8,1,7,0,2,4,0,7,0,8,0,0,0,0,3,1,5,1,1,26,0,0,7,0,6,2,0,0,1,1,17,0,6,4,4,1,5,1,27,0,7,0,0,0,1,24,0,0,2,15,1,3,0,1,11,3,1,4
"AC>CG",2,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
"AC>CT",4,0,0,0,0,4,2,0,1,2,2,0,0,0,0,1,0,0,0,1,0,0,8,0,7,0,0,1,1,0,3,0,0,3,1,0,0,4,3,0,3,0,2,0,3,0,1,0,2,0,0,0,1,3,0,0,0,1,0,1,0,0,0,0,0,0
"AC>GA",2,0,1,0,0,4,4,0,2,2,3,2,0,0,1,4,0,4,0,2,1,1,1,1,0,1,3,4,3,0,0,1,0,0,0,0,0,1,2,0,1,2,0,0,1,12,2,0,2,0,1,2,1,3,0,1,2,1,0,0,0,6,1,2,2,0
"AC>GG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC>GT",2,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,4,0,0,1
"AC>TA",0,0,2,0,0,0,1,2,2,6,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,1,1,1,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,0,0,3
"AC>TG",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC>TT",1,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"AT>CA",1,0,0,0,0,0,4,4,2,3,0,0,3,0,0,1,0,1,0,4,0,1,2,0,1,0,2,2,1,0,0,0,1,0,0,0,0,3,3,0,3,2,1,0,2,0,1,0,0,0,1,0,0,3,0,0,0,1,0,2,0,1,0,1,0,1
"AT>CC",1,0,2,0,0,0,1,1,2,0,0,0,0,0,0,0,0,5,0,1,0,0,3,0,1,0,0,0,1,0,10,0,0,2,0,0,0,0,2,0,1,2,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,1,3,0,0,0
"AT>CG",10,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
"AT>GA",4,0,0,0,0,1,0,4,6,3,1,0,0,0,0,4,0,0,0,3,0,1,1,0,6,0,0,0,0,0,1,0,5,3,0,0,0,3,2,0,2,0,1,0,0,1,2,0,13,0,0,0,5,2,0,0,0,0,0,0,0,3,2,0,0,1
"AT>GC",4,0,1,0,0,0,2,3,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,2,0,0,2,5,0,1,0,1,0,5,1,0,0,1,0,0,0,1,1,0,0,0,0,0,2,0,0,1,1,0,2
"AT>TA",3,1,1,0,0,1,10,2,6,4,3,0,4,0,0,2,0,3,3,2,0,0,18,0,0,0,5,3,3,2,8,1,2,4,2,0,1,2,13,0,2,0,1,0,2,1,5,0,4,1,2,0,11,8,0,0,7,4,2,17,0,12,0,3,0,2
"CC>AA",5,9,55,33,66,22,16,25,0,4,25,27,41,60,137,75,77,33,19,12,6,37,3,9,19,0,41,55,18,76,20,1,10,19,22,1,5,24,10,6,4,2,68,126,94,15,18,1,7,16,1,4,11,17,61,18,1,8,35,9,7,1,6,35,1,1
"CC>AG",2,7,9,10,0,1,9,1,5,0,1,3,2,1,3,0,1,1,0,13,1,0,1,5,0,7,2,4,5,0,1,1,5,1,0,1,2,3,1,1,0,4,0,11,4,1,1,2,5,1,6,3,7,2,1,2,4,8,3,2,1,1,3,0,1,13
"CC>AT",2,2,2,41,5,7,21,0,4,1,4,6,13,4,8,0,1,0,6,4,2,5,6,3,7,5,7,6,1,17,8,6,5,4,15,2,4,7,0,1,12,0,5,15,8,7,18,5,1,2,2,3,6,1,22,12,2,5,11,3,1,10,1,1,0,5
