,ID1,ID2,ID3,ID5,ID6,ID8,ID9
Lung-AdenoCA::S.1,52.0,0.0,195.0,129.0,0.0,0.0,0.0
Lung-AdenoCA::S.2,191.0,0.0,0.0,0.0,0.0,45.0,0.0
Lung-AdenoCA::S.3,215.0,0.0,2042.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.4,0.0,0.0,145.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.5,0.0,0.0,1989.0,0.0,0.0,0.0,891.0
Lung-AdenoCA::S.6,94.0,160.0,0.0,302.0,0.0,141.0,108.0
Lung-AdenoCA::S.7,0.0,0.0,122.0,333.0,0.0,46.0,0.0
Lung-AdenoCA::S.8,121.0,0.0,3366.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.9,0.0,0.0,726.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.10,0.0,0.0,0.0,94.0,0.0,55.0,0.0
Lung-AdenoCA::S.11,0.0,0.0,130.0,243.0,0.0,0.0,0.0
Lung-AdenoCA::S.12,99.0,0.0,169.0,149.0,0.0,0.0,0.0
Lung-AdenoCA::S.13,209.0,0.0,1662.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.14,80.0,0.0,731.0,0.0,0.0,0.0,309.0
Lung-AdenoCA::S.15,0.0,0.0,0.0,233.0,0.0,157.0,360.0
Lung-AdenoCA::S.16,155.0,49.0,0.0,0.0,0.0,62.0,0.0
Lung-AdenoCA::S.17,0.0,0.0,2335.0,0.0,0.0,0.0,608.0
Lung-AdenoCA::S.18,115.0,133.0,404.0,306.0,0.0,0.0,0.0
Lung-AdenoCA::S.19,170.0,0.0,63.0,155.0,0.0,76.0,0.0
Lung-AdenoCA::S.20,145.0,0.0,0.0,0.0,0.0,39.0,131.0
Lung-AdenoCA::S.21,64.0,0.0,0.0,59.0,0.0,128.0,0.0
Lung-AdenoCA::S.22,179.0,0.0,0.0,297.0,0.0,0.0,0.0
Lung-AdenoCA::S.23,140.0,0.0,2521.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.24,0.0,0.0,2971.0,0.0,0.0,0.0,727.0
Lung-AdenoCA::S.25,0.0,0.0,503.0,364.0,0.0,0.0,0.0
Lung-AdenoCA::S.26,118.0,0.0,392.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.27,0.0,74.0,1461.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.28,140.0,0.0,167.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.29,37.0,13.0,0.0,0.0,65.0,0.0,0.0
Lung-AdenoCA::S.30,0.0,0.0,4128.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.31,152.0,0.0,1243.0,625.0,0.0,0.0,0.0
Lung-AdenoCA::S.32,168.0,0.0,676.0,0.0,0.0,0.0,440.0
Lung-AdenoCA::S.33,350.0,0.0,1094.0,226.0,0.0,0.0,0.0
Lung-AdenoCA::S.34,273.0,74.0,1312.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.35,0.0,0.0,1133.0,0.0,202.0,0.0,0.0
Lung-AdenoCA::S.36,130.0,0.0,1407.0,0.0,755.0,0.0,332.0
Lung-AdenoCA::S.37,394.0,0.0,1370.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.38,0.0,0.0,840.0,0.0,0.0,128.0,318.0
Lung-AdenoCA::S.39,251.0,0.0,90.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.40,0.0,30.0,0.0,240.0,0.0,159.0,0.0
Lung-AdenoCA::S.41,60.0,37.0,70.0,156.0,0.0,69.0,0.0
Lung-AdenoCA::S.42,447.0,0.0,314.0,306.0,0.0,109.0,0.0
Lung-AdenoCA::S.43,58.0,0.0,773.0,0.0,0.0,0.0,304.0
Lung-AdenoCA::S.44,335.0,37.0,0.0,280.0,0.0,0.0,197.0
Lung-AdenoCA::S.45,133.0,144.0,70.0,229.0,0.0,0.0,0.0
Lung-AdenoCA::S.46,109.0,0.0,0.0,0.0,649.0,154.0,0.0
Lung-AdenoCA::S.47,113.0,0.0,2830.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.48,0.0,0.0,2463.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.49,0.0,0.0,4379.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.50,0.0,0.0,1845.0,0.0,0.0,0.0,342.0
Lung-AdenoCA::S.51,164.0,0.0,1400.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.52,63.0,0.0,891.0,194.0,0.0,0.0,0.0
Lung-AdenoCA::S.53,177.0,0.0,0.0,0.0,1180.0,0.0,0.0
Lung-AdenoCA::S.54,56.0,0.0,127.0,346.0,0.0,0.0,0.0
Lung-AdenoCA::S.55,76.0,69.0,124.0,138.0,0.0,0.0,0.0
Lung-AdenoCA::S.56,0.0,0.0,153.0,295.0,0.0,0.0,0.0
Lung-AdenoCA::S.57,0.0,22.0,0.0,0.0,0.0,78.0,0.0
Lung-AdenoCA::S.58,106.0,0.0,240.0,368.0,0.0,0.0,0.0
Lung-AdenoCA::S.59,118.0,65.0,0.0,233.0,0.0,64.0,0.0
Lung-AdenoCA::S.60,0.0,0.0,227.0,0.0,0.0,0.0,0.0
