"Mutation type","Kidney-RCC::S.1","Kidney-RCC::S.2","Kidney-RCC::S.3","Kidney-RCC::S.4","Kidney-RCC::S.5","Kidney-RCC::S.6","Kidney-RCC::S.7","Kidney-RCC::S.8","Kidney-RCC::S.9","Kidney-RCC::S.10","Kidney-RCC::S.11","Kidney-RCC::S.12","Kidney-RCC::S.13","Kidney-RCC::S.14","Kidney-RCC::S.15","Kidney-RCC::S.16","Kidney-RCC::S.17","Kidney-RCC::S.18","Kidney-RCC::S.19","Kidney-RCC::S.20","Kidney-RCC::S.21","Kidney-RCC::S.22","Kidney-RCC::S.23","Kidney-RCC::S.24","Kidney-RCC::S.25","Kidney-RCC::S.26","Kidney-RCC::S.27","Kidney-RCC::S.28","Kidney-RCC::S.29","Kidney-RCC::S.30","Kidney-RCC::S.31","Kidney-RCC::S.32","Kidney-RCC::S.33","Kidney-RCC::S.34","Kidney-RCC::S.35","Kidney-RCC::S.36","Kidney-RCC::S.37","Kidney-RCC::S.38","Kidney-RCC::S.39","Kidney-RCC::S.40","Kidney-RCC::S.41","Kidney-RCC::S.42","Kidney-RCC::S.43","Kidney-RCC::S.44","Kidney-RCC::S.45","Kidney-RCC::S.46","Kidney-RCC::S.47","Kidney-RCC::S.48","Kidney-RCC::S.49","Kidney-RCC::S.50","Kidney-RCC::S.51","Kidney-RCC::S.52","Kidney-RCC::S.53","Kidney-RCC::S.54","Kidney-RCC::S.55","Kidney-RCC::S.56","Kidney-RCC::S.57","Kidney-RCC::S.58","Kidney-RCC::S.59","Kidney-RCC::S.60","Kidney-RCC::S.61","Kidney-RCC::S.62","Kidney-RCC::S.63","Kidney-RCC::S.64","Kidney-RCC::S.65","Kidney-RCC::S.66","Kidney-RCC::S.67","Kidney-RCC::S.68","Kidney-RCC::S.69","Kidney-RCC::S.70","Kidney-RCC::S.71","Kidney-RCC::S.72","Kidney-RCC::S.73","Kidney-RCC::S.74","Kidney-RCC::S.75","Kidney-RCC::S.76","Kidney-RCC::S.77","Kidney-RCC::S.78","Kidney-RCC::S.79","Kidney-RCC::S.80","Kidney-RCC::S.81","Kidney-RCC::S.82","Kidney-RCC::S.83","Kidney-RCC::S.84","Kidney-RCC::S.85","Kidney-RCC::S.86","Kidney-RCC::S.87","Kidney-RCC::S.88","Kidney-RCC::S.89","Kidney-RCC::S.90","Kidney-RCC::S.91","Kidney-RCC::S.92","Kidney-RCC::S.93","Kidney-RCC::S.94","Kidney-RCC::S.95","Kidney-RCC::S.96","Kidney-RCC::S.97","Kidney-RCC::S.98","Kidney-RCC::S.99"
"DEL_C_1_0",46,13,11,21,43,40,60,106,37,27,27,9,38,21,17,36,73,43,57,67,38,78,44,45,8,59,49,85,32,48,109,30,58,30,76,39,33,25,33,137,44,13,55,126,67,10,50,57,17,32,35,50,17,122,37,63,13,21,66,52,5,49,31,12,26,55,72,21,19,27,10,12,59,21,24,68,15,24,31,31,17,38,7,52,111,138,80,33,39,106,16,19,25,23,21,25,21,33,51
"DEL_C_1_1",30,8,23,28,28,10,29,49,26,44,35,13,34,49,13,37,26,38,36,43,24,61,40,74,10,62,58,42,26,44,63,18,67,33,39,18,15,23,36,43,14,5,39,50,47,23,19,18,22,17,52,71,8,27,14,57,7,65,48,38,10,39,34,16,43,46,19,32,16,32,17,9,39,43,32,44,23,26,87,23,12,32,15,22,36,64,35,42,54,24,39,15,14,28,51,19,17,26,48
"DEL_C_1_2",15,28,17,36,12,7,48,35,39,41,7,9,12,20,26,55,5,32,22,39,18,18,25,34,7,36,14,45,8,18,12,2,19,67,35,9,21,26,22,17,16,19,30,52,28,8,32,14,16,12,19,22,8,5,18,22,8,65,26,23,10,42,9,20,44,33,22,26,12,19,8,9,6,47,5,15,36,34,67,25,2,36,15,16,9,10,11,29,40,10,20,13,8,23,29,20,18,38,6
"DEL_C_1_3",12,10,9,25,7,3,13,24,18,11,9,0,14,7,6,34,5,14,13,10,7,11,26,13,2,19,20,20,10,11,11,1,11,18,12,9,12,11,7,20,8,2,27,14,18,8,2,3,7,6,25,21,8,1,1,8,4,16,16,17,2,9,17,2,16,24,10,15,9,6,3,8,15,15,5,10,6,24,14,14,4,15,0,7,10,17,5,11,13,3,21,9,8,16,9,11,16,13,5
"DEL_C_1_4",1,1,3,1,1,2,2,8,8,13,2,0,1,4,1,9,1,10,3,12,0,5,7,6,2,7,7,9,9,5,7,2,7,4,3,4,9,2,5,5,4,0,12,0,7,1,4,1,7,1,7,23,0,5,5,7,0,8,6,8,1,19,0,3,6,6,6,9,3,7,1,3,2,2,2,4,8,3,5,4,0,2,0,4,6,10,10,2,8,1,2,1,1,4,5,3,1,5,2
"DEL_C_1_5+",1,0,3,2,3,1,2,5,13,5,1,3,3,4,2,3,0,7,0,0,3,3,3,4,1,6,1,4,2,4,2,3,5,4,2,1,1,5,6,0,4,0,4,1,4,4,2,1,2,2,5,8,4,3,2,5,0,11,0,4,0,7,2,5,8,6,1,0,2,4,0,1,1,7,0,5,2,4,7,0,3,2,0,4,2,3,1,4,2,0,6,1,2,5,3,0,0,10,1
"DEL_T_1_0",25,59,20,36,43,39,206,172,42,34,48,101,145,25,44,68,26,91,177,94,50,52,179,67,48,156,42,88,63,91,81,37,67,29,101,58,89,6,34,58,72,22,97,53,61,61,71,49,60,30,50,37,33,52,53,133,23,73,68,43,60,43,69,51,48,64,62,79,60,26,40,39,55,24,61,81,27,26,80,72,32,104,10,39,65,119,61,57,37,27,31,77,25,19,45,37,66,31,61
"DEL_T_1_1",56,60,70,13,36,15,105,79,58,37,38,45,39,40,51,199,68,71,77,82,79,96,68,114,18,104,55,124,35,42,27,27,74,35,125,41,66,26,44,62,16,53,124,121,66,70,54,23,18,27,74,26,73,47,41,268,36,102,27,16,43,64,110,24,42,33,29,51,18,22,23,43,70,72,18,41,97,60,55,70,11,109,51,65,59,21,75,79,46,15,75,27,38,36,18,41,74,45,50
"DEL_T_1_2",41,132,30,33,75,67,141,116,61,46,53,18,69,45,51,71,48,52,108,132,36,241,69,83,14,96,90,65,64,26,48,117,63,97,68,155,102,31,72,132,37,55,70,150,26,21,66,12,30,19,152,64,91,42,122,164,39,51,99,52,31,78,38,26,78,42,62,38,95,31,48,35,42,97,33,66,54,56,146,40,20,67,33,37,54,81,91,42,38,42,69,24,21,28,37,41,35,38,48
"DEL_T_1_3",18,34,50,18,25,28,52,72,61,28,19,21,54,39,128,82,53,65,91,55,96,25,24,79,21,44,76,48,45,63,27,37,103,48,97,77,28,11,13,61,27,16,80,81,104,34,75,44,11,44,121,72,69,24,53,101,43,97,77,53,41,40,109,24,17,55,64,40,40,30,22,56,58,25,24,33,25,56,36,65,24,164,21,63,64,59,102,17,46,26,41,75,22,21,25,46,18,31,49
