Sample,SBS1,SBS2,SBS5,SBS7a,SBS7b,SBS7c,SBS7d,SBS13,SBS17a,SBS17b,SBS38,SBS40
Skin-Melanoma::S.1,388.6784995490566,0.0,23223.80438577218,381.46969601292335,6826.298144687751,258.5031287616582,2469.234394428805,223.08263184085953,0.0,0.0,0.0,0.0
Skin-Melanoma::S.2,735.6679877974291,0.0,0.0,44160.92944655541,14242.602973228259,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.3,0.0,0.0,8446.535734447538,29423.669516879876,37429.40700608876,1345.9654624300383,1517.0615871131852,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.4,0.0,0.0,0.0,181340.71243299148,0.0,2959.1498485868287,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.5,0.0,0.0,0.0,291.9063938296739,26553.352205675183,7355.227791110114,2888.0900553300653,0.0,0.0,0.0,0.0,3971.0550958159147
Skin-Melanoma::S.6,0.0,4733.909729348173,1699.0439410679871,4675.045676832902,21406.459568788003,8730.170513487217,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.7,0.0,0.0,0.0,191470.6987575756,102998.19312999489,0.0,12558.846283370596,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.8,0.0,2243.0934821595397,1615.9316914882932,14354.580096190904,12897.773557340974,1377.149966949873,0.0,0.0,0.0,0.0,938.0404578431519,0.0
Skin-Melanoma::S.9,1681.4756017677948,3540.0594971629203,23042.296263815402,133677.3042249208,40192.386181977075,5447.7937642412535,5433.8912596859755,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.10,391.63289367055114,1477.353347898265,15651.236526592495,9510.475774240076,39695.753646810306,12705.675417454282,9942.686937501574,0.0,0.0,0.0,694.5892110487384,0.0
Skin-Melanoma::S.11,289.445613352766,0.0,0.0,2338.663149928188,10515.360806992498,0.0,7398.262092913115,0.0,0.0,0.0,0.0,3376.332890958871
Skin-Melanoma::S.12,0.0,9662.093674073103,0.0,19165.938714057265,41852.98761898174,0.0,1201.6472948743085,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.13,1782.9346211160187,0.0,5684.608530274688,142435.2382839009,23608.63981489347,0.0,4500.739004964078,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.14,0.0,0.0,0.0,107886.26269540915,23439.374258768356,6096.585970709104,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.15,0.0,0.0,0.0,290887.81169201544,106104.94670624692,0.0,6351.121399537773,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.16,887.374893378884,2617.6581390488627,1557.5920263646808,18770.085376752722,0.0,0.0,8611.629487029806,0.0,0.0,0.0,305.98924133145846,0.0
Skin-Melanoma::S.17,0.0,0.0,0.0,5730.718410262326,70674.19568490579,5500.340139832635,0.0,0.0,0.0,1328.739760497878,0.0,0.0
Skin-Melanoma::S.18,0.0,0.0,0.0,34350.642304367255,25871.5425298728,0.0,0.0,0.0,0.0,0.0,2845.9090352744593,0.0
Skin-Melanoma::S.19,0.0,193.9972267783711,22782.662479770028,0.0,7170.14862417555,188.3047102682969,573.558633729632,0.0,216.8573794365162,0.0,0.0,0.0
Skin-Melanoma::S.20,0.0,6885.8429260815865,0.0,60416.72319338377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.21,721.9756380071683,0.0,0.0,38052.08190089147,0.0,0.0,9996.782988008248,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.22,0.0,0.0,0.0,115545.92774433407,50974.471540798615,23130.75858170655,2176.6106284372063,0.0,0.0,0.0,0.0,12475.960793056334
Skin-Melanoma::S.23,167.86283603721853,0.0,2678.930411530303,774.6910981311559,5082.328578702398,10583.81506436843,8991.363625122081,0.0,0.0,0.0,0.0,2334.5811295154863
Skin-Melanoma::S.24,0.0,0.0,0.0,85463.77141146276,70712.11556179712,12623.398981809089,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.25,0.0,0.0,2971.591166825745,56774.23462368632,58883.20712291065,0.0,2884.666417269668,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.26,0.0,32242.708633259528,0.0,33635.00058515298,88334.4219585326,0.0,6571.971285793102,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.27,0.0,0.0,0.0,48307.25059835077,12602.9154779095,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.28,0.0,0.0,0.0,362.01937202698696,31233.575915441423,6760.139368898129,6785.802938417343,0.0,0.0,0.0,0.0,2323.3630237774137
Skin-Melanoma::S.29,5495.364269522193,23726.964281963505,16768.348759176755,169145.65571170286,0.0,3548.502449498579,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.30,0.0,9186.615816268566,0.0,302134.1000224381,100930.01089952956,25734.752005278486,7101.8388160555405,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.31,2355.76463038819,0.0,0.0,111736.42176151332,54756.449888015886,0.0,2613.1711683974963,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.32,170.67540778138834,0.0,4790.490678472923,0.0,417.2608370813831,278.6164314881972,718.297708240415,0.0,181.73694030647783,0.0,118.71378488552497,7758.174031297913
