Sample,SBS1,SBS5,SBS10a,SBS10b,SBS17a,SBS17b,SBS18,SBS28,SBS37,SBS40
ColoRect-AdenoCA::S.1,2236.8795920315274,0.0,348.9140842956553,0.0,0.0,0.0,5466.900652085627,0.0,0.0,0.0
ColoRect-AdenoCA::S.2,2264.0847722563635,0.0,993.7769082485012,0.0,0.0,0.0,3589.5933336157855,0.0,0.0,7951.035106507264
ColoRect-AdenoCA::S.3,1951.4679198759482,1944.2752411179013,0.0,0.0,0.0,0.0,5865.285413551036,0.0,0.0,0.0
ColoRect-AdenoCA::S.4,1858.0253756840796,2070.4247182579775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColoRect-AdenoCA::S.5,1891.5284218105417,4407.876136244054,0.0,0.0,0.0,0.0,3158.052549714794,0.0,0.0,16511.656136263835
ColoRect-AdenoCA::S.6,2107.051447493248,5887.999607809208,0.0,0.0,0.0,0.0,2119.587525644344,0.0,0.0,8369.994685674039
ColoRect-AdenoCA::S.7,2710.769915852968,2850.796636113474,0.0,0.0,0.0,0.0,2330.7034517366615,0.0,0.0,0.0
ColoRect-AdenoCA::S.8,1670.945804748004,4010.071135850498,0.0,0.0,0.0,0.0,0.0,0.0,1019.5633808576647,0.0
ColoRect-AdenoCA::S.9,2813.5248022972833,0.0,0.0,488.5169753006702,0.0,0.0,3918.2202296070786,0.0,0.0,9628.120696130158
ColoRect-AdenoCA::S.10,1792.6986784832663,1818.6403593314242,0.0,0.0,0.0,0.0,4890.927244515696,0.0,2668.332397397577,0.0
ColoRect-AdenoCA::S.11,3486.497891084518,0.0,0.0,0.0,0.0,0.0,3550.7784938772547,0.0,0.0,11870.938005114704
ColoRect-AdenoCA::S.12,2406.9072371509424,0.0,0.0,0.0,0.0,1461.8882376941453,1934.8887245487558,587.9529574783882,0.0,2042.4246916138495
ColoRect-AdenoCA::S.13,3764.191519437538,0.0,512.5770931801941,0.0,0.0,0.0,4358.8481899580265,777.4034358589906,0.0,10395.977338499393
ColoRect-AdenoCA::S.14,2345.8210248881246,0.0,0.0,0.0,0.0,0.0,2963.664891560904,0.0,0.0,20349.919845671884
ColoRect-AdenoCA::S.15,1679.255198177051,0.0,366.36526592632475,0.0,0.0,0.0,3426.282639896766,0.0,0.0,4962.876001308025
ColoRect-AdenoCA::S.16,3747.6362508631155,0.0,0.0,0.0,0.0,0.0,1029.6029366429245,0.0,0.0,5308.489902283132
ColoRect-AdenoCA::S.17,1981.5766799196242,2852.006265450413,0.0,0.0,0.0,0.0,5014.897816518694,0.0,0.0,4852.514825724949
ColoRect-AdenoCA::S.18,2337.2953634818214,4158.284109974864,0.0,375.30950725457365,0.0,0.0,1469.4012986285322,0.0,0.0,8605.076211397221
ColoRect-AdenoCA::S.19,1935.3541457603365,0.0,778.3258072598321,403.0248637266656,0.0,0.0,6146.475833870317,0.0,0.0,5655.7166829367025
ColoRect-AdenoCA::S.20,1234.2143346618514,2540.801448004388,0.0,0.0,0.0,0.0,4866.30623481851,0.0,0.0,6178.012491977044
ColoRect-AdenoCA::S.21,2952.2578605135404,0.0,448.2461294884442,0.0,0.0,0.0,4952.1747410853295,1347.3041441042922,0.0,7048.263738674561
ColoRect-AdenoCA::S.22,1862.205272485203,0.0,0.0,183.68259657136335,0.0,0.0,0.0,0.0,0.0,0.0
ColoRect-AdenoCA::S.23,3764.3802894296414,7789.527648491071,0.0,0.0,0.0,0.0,2780.8578121163096,0.0,0.0,0.0
ColoRect-AdenoCA::S.24,2996.942611499073,3286.066783972366,0.0,513.1746787156825,0.0,0.0,0.0,0.0,0.0,1628.3211739143821
ColoRect-AdenoCA::S.25,3271.5068960935946,1921.0442309195996,0.0,0.0,0.0,0.0,1348.5294078217246,0.0,0.0,5895.430906851708
ColoRect-AdenoCA::S.26,2267.266750986294,4291.103039679953,0.0,0.0,0.0,0.0,3444.8307560447615,0.0,0.0,6242.9046296570305
ColoRect-AdenoCA::S.27,3273.9449443171957,0.0,0.0,0.0,0.0,9372.644792227755,4237.416534542972,0.0,0.0,0.0
ColoRect-AdenoCA::S.28,2449.027498671263,0.0,0.0,0.0,0.0,0.0,3896.625858490313,0.0,0.0,10709.866304907915
ColoRect-AdenoCA::S.29,1714.3285821888355,4912.967593630884,0.0,0.0,0.0,0.0,2451.5969866162286,0.0,0.0,0.0
ColoRect-AdenoCA::S.30,2691.811185274537,8129.185152296382,0.0,0.0,1030.49577651957,0.0,10389.694734957768,0.0,0.0,0.0
ColoRect-AdenoCA::S.31,4196.890858785502,0.0,0.0,0.0,0.0,0.0,2059.575482591195,0.0,0.0,9720.569442952263
ColoRect-AdenoCA::S.32,1608.7173870028869,2580.669631794286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColoRect-AdenoCA::S.33,843.1513034046411,2155.373611767611,0.0,0.0,0.0,0.0,3614.5025636862492,0.0,0.0,7577.544265787048
ColoRect-AdenoCA::S.34,2414.652877041398,0.0,0.0,367.4704319159597,0.0,0.0,1210.0725207409428,0.0,1954.314179197341,7120.485404295335
ColoRect-AdenoCA::S.35,4370.5660054288155,2550.8413117358123,0.0,0.0,0.0,0.0,4279.805677171207,0.0,0.0,0.0
ColoRect-AdenoCA::S.36,3650.280365571656,0.0,0.0,0.0,1824.518544083682,0.0,9773.504717121488,590.7803789321987,0.0,0.0
ColoRect-AdenoCA::S.37,5025.166667065202,3380.821627465279,0.0,0.0,0.0,0.0,2564.2896236221477,0.0,0.0,10709.385075439055
ColoRect-AdenoCA::S.38,2805.939305420129,0.0,0.0,0.0,0.0,2062.117882051159,1304.1657123306918,0.0,0.0,4806.862833275415
ColoRect-AdenoCA::S.39,4233.546184546969,0.0,0.0,0.0,0.0,0.0,7296.533370206323,0.0,0.0,6743.982392537806
ColoRect-AdenoCA::S.40,2880.651085226833,1323.4697238284264,240.83491182841408,0.0,0.0,0.0,2892.040207033337,0.0,0.0,0.0
ColoRect-AdenoCA::S.41,2658.8327658321946,0.0,373.2834010791676,0.0,0.0,0.0,0.0,414.21687168156586,0.0,15141.893544717192
ColoRect-AdenoCA::S.42,2198.8127343566016,0.0,0.0,0.0,898.9079678800107,0.0,3599.4229324379567,0.0,0.0,9573.670577248438
ColoRect-AdenoCA::S.43,2803.955881437171,0.0,0.0,0.0,1975.4343916064176,0.0,3663.8689074443923,0.0,0.0,10789.283095109244
ColoRect-AdenoCA::S.44,2180.804798601616,3961.7349070450905,0.0,0.0,0.0,0.0,4835.537808182443,0.0,0.0,10955.397327539129
ColoRect-AdenoCA::S.45,1542.8424129848984,3557.113857911728,0.0,0.0,0.0,0.0,3081.015541672711,725.8738987034318,0.0,9163.334221613053
