Samples	DBS2	DBS3	DBS4	DBS6	DBS7	DBS8	DBS9	DBS10
ColoRect-AdenoCA::MSI-H.S.1	63	102	0	0	0	267	0	0
ColoRect-AdenoCA::MSI-H.S.2	0	0	100	0	0	183	0	0
ColoRect-AdenoCA::MSI-H.S.3	0	34	31	0	0	0	63	0
ColoRect-AdenoCA::MSI-H.S.4	0	0	0	0	44	0	57	101
ColoRect-AdenoCA::MSI-H.S.5	0	42	0	0	0	0	48	0
ColoRect-AdenoCA::MSI-H.S.6	87	0	0	43	0	0	0	0
ColoRect-AdenoCA::MSI-H.S.7	22	52	0	0	0	0	76	0
ColoRect-AdenoCA::MSI-H.S.8	0	112	37	0	0	159	0	0
ColoRect-AdenoCA::MSI-H.S.9	0	93	0	0	0	0	0	127
ColoRect-AdenoCA::MSI-H.S.10	31	42	0	0	0	0	42	0
ColoRect-AdenoCA::MSI-H.S.11	0	59	0	0	0	0	47	0
ColoRect-AdenoCA::MSI-H.S.12	0	0	0	0	0	402	0	0
ColoRect-AdenoCA::MSI-H.S.13	0	0	28	0	92	0	0	64
ColoRect-AdenoCA::MSI-H.S.14	17	27	0	0	0	0	40	0
ColoRect-AdenoCA::MSI-H.S.15	0	38	0	18	0	0	35	0
ColoRect-AdenoCA::MSI-H.S.16	0	0	19	0	0	0	41	83
ColoRect-AdenoCA::MSI-H.S.17	130	80	0	0	0	0	0	0
ColoRect-AdenoCA::MSI-H.S.18	0	0	0	0	0	71	146	0
ColoRect-AdenoCA::MSI-H.S.19	154	0	0	0	76	0	0	0
ColoRect-AdenoCA::MSI-H.S.20	85	109	0	0	0	74	101	0
ColoRect-AdenoCA::MSI-H.S.21	21	65	0	0	72	0	0	0
ColoRect-AdenoCA::MSI-H.S.22	0	0	0	0	0	0	214	0
ColoRect-AdenoCA::MSI-H.S.23	16	0	38	0	0	0	49	40
ColoRect-AdenoCA::MSI-H.S.24	0	0	0	0	179	0	0	0
ColoRect-AdenoCA::MSI-H.S.25	76	0	125	0	0	0	0	0
ColoRect-AdenoCA::MSI-H.S.26	133	0	0	0	0	0	0	0
ColoRect-AdenoCA::MSI-H.S.27	0	0	0	0	0	268	0	0
ColoRect-AdenoCA::MSI-H.S.28	0	122	45	0	0	0	0	0
ColoRect-AdenoCA::MSI-H.S.29	0	0	0	0	159	0	0	0
ColoRect-AdenoCA::MSI-H.S.30	0	0	0	0	0	0	105	34
ColoRect-AdenoCA::MSI-H.S.31	11	44	0	30	79	0	0	0
ColoRect-AdenoCA::MSI-H.S.32	0	68	0	49	82	88	0	0
ColoRect-AdenoCA::MSI-H.S.33	0	51	76	0	46	0	0	0
ColoRect-AdenoCA::MSI-H.S.34	0	0	0	0	44	0	80	56
ColoRect-AdenoCA::MSI-H.S.35	21	54	0	0	104	0	0	0
