Mutation type,Liver-HCC::MSI-H.S.1
AC>CA,-0.2711268634362249
AC>CG,-0.022975685806817085
AC>CT,-0.09134248439040178
AC>GA,-0.17181029402227097
AC>GG,-3.0223536219062225e-15
AC>GT,-0.20298257386029608
AC>TA,-1.0729087187301836
AC>TG,-0.004609632862187908
AC>TT,-1.1168202375310567
AT>CA,-0.027396874558286616
AT>CC,-3.0223536219062225e-15
AT>CG,-3.0223536219062225e-15
AT>GA,-0.12178997918720239
AT>GC,-0.004239992491163406
AT>TA,-0.33202185302982606
CC>AA,6.144565543304907
CC>AG,-3.630531039843156
CC>AT,-37.49384419784889
CC>GA,-9.83141027443832
CC>GG,-0.3262221231299475
CC>GT,-0.7974324202615704
CC>TA,-9.599014781741808
CC>TG,-0.17181029402227097
CC>TT,-3.0223536219062225e-15
CG>AT,-0.8336789201732083
CG>GC,0.7324977865549389
CG>GT,-0.9279212695135494
CG>TA,-3.0223536219062225e-15
CG>TC,-1.5586176158264617
CG>TT,-0.030657901201817772
CT>AA,-0.3270521113736806
CT>AC,-3.0223536219062225e-15
CT>AG,-0.42553869254390136
CT>GA,-0.013118609246163699
CT>GC,-0.09714148950523914
CT>GG,-0.06508569670196133
CT>TA,-1.450291660643332
CT>TC,-0.027831745583021327
CT>TG,-0.282726323235982
GC>AA,-3.682687153339846
GC>AG,0.7643948514341885
GC>AT,-0.6908665508652889
GC>CA,-0.7684344955472189
GC>CG,-0.048488119257919966
GC>TA,0.4664451431923269
TA>AT,-1.9935806882614056
TA>CG,-0.013698437279143308
TA>CT,-0.20298257386029608
TA>GC,-0.059577330388655036
TA>GG,-0.05718553975261413
TA>GT,0.057580130521795336
TC>AA,-1.051160818783201
TC>AG,-0.14498744921663417
TC>AT,-3.0223536219062225e-15
TC>CA,-0.49440776716105467
TC>CG,-0.0028194138103633587
TC>CT,-2.4285437606963494
TC>GA,-0.6415702962864036
TC>GG,-0.007153628356885951
TC>GT,-0.06211407803294083
TG>AA,-2.145817437460367
TG>AC,0.8405132260336694
TG>AT,-3.1099859316705962
TG>CA,-0.10439078948756671
TG>CC,-0.043052231448736114
TG>CT,-0.2255611868360532
TG>GA,-1.065659418747856
TG>GC,-0.19718356874545875
TG>GT,-3.6396063475677476
TT>AA,-2.124484531635251
TT>AC,-0.25010374853046663
TT>AG,-0.15586212397516677
TT>CA,-3.0223536219062225e-15
TT>CC,-0.002159859422849051
TT>CG,-0.011016732626612609
TT>GA,-0.03471720347465421
TT>GC,-0.0011161689634857513
TT>GG,-3.0223536219062225e-15
