"Mutation type","DBS2","DBS4","DBS6","DBS9","DBS11"
"AC>CA",0.000374079,0.004141857,0.002660571,0.024591818,0.001369907
"AC>CG",3.17e-05,4.96e-05,0.000146031,0.002069312,0.000193987
"AC>CT",0.000126027,8.32e-18,0.000240052,0.028490521,0.000755948
"AC>GA",0.00023705,0.004401974,0.008581841,0.025291585,0.00044197
"AC>GG",4.17e-18,7.01e-18,0.000104022,0.007127629,0.002249847
"AC>GT",0.000280059,1.12e-08,0.000132028,0.012095976,0.005709611
"AC>TA",0.001480313,0.00127057,0.010102168,0.041186297,0.000263982
"AC>TG",6.36e-06,5.31e-05,0.000449096,0.017894047,0.000238984
"AC>TT",0.002920618,0.000161072,0.003180682,0.044385233,0.002819808
"AT>CA",3.78e-05,0.000916411,0.000114024,0.012695776,0.009479354
"AT>CC",4.17e-18,7e-18,6.39e-05,0.001779408,0.00189987
"AT>CG",4.17e-18,9.46e-18,1.82e-06,9.22e-18,1.74e-05
"AT>GA",0.000168036,0.000324145,0.001620348,0.006367881,0.011199236
"AT>GC",5.85e-06,1.76e-05,1.72e-05,0.001809398,0.004179715
"AT>TA",0.000458097,0.004532032,0.002200472,0.00919694,0.003839738
"CC>AA",0.724153238,7e-18,8.3e-18,9.02e-18,7.35e-18
"CC>AG",0.072615366,0.005432436,0.06161322,0.02639122,0.000971934
"CC>AT",0.100021165,0.015707044,0.000438094,0.019493515,0.034497648
"CC>GA",0.017703746,0.003551593,0.035507619,0.010996342,0.000952935
"CC>GG",0.000450095,7.3e-05,0.018103885,0.003058982,0.003449765
"CC>GT",0.001100233,7.99e-05,0.003440738,0.017894047,0.069495262
"CC>TA",0.016003386,0.000170076,0.002220476,0.000686772,0.058795991
"CC>TG",0.00023705,8.3e-06,0.006871474,0.015494845,0.032297798
"CC>TT",4.17e-18,7e-18,8.3e-18,9.02e-18,0.331977366
"CG>AT",0.001150243,0.00029013,0.007541618,0.000218927,0.001819876
"CG>GC",0.000369078,5.1e-06,0.000590127,1.2e-05,0.000165989
"CG>GT",0.001280271,7e-18,0.003220691,9.94e-05,0.00117992
"CG>TA",4.17e-18,7e-18,8.3e-18,9.02e-18,7.38e-18
"CG>TC",0.002150455,7e-18,0.008911912,0.000132956,0.000684953
"CG>TT",0.005561177,0.000361162,0.018704013,8.29e-05,0.000698952
"CT>AA",0.003210679,7e-18,0.004480961,9.02e-18,0.0043997
"CT>AC",4.17e-18,7e-18,0.001950419,9.02e-18,0.00234984
"CT>AG",0.000587124,0.000363163,0.039508477,0.000581806,0.000495966
"CT>GA",1.81e-05,0.000673302,0.007341575,0.002839055,0.011599209
"CT>GC",0.000134028,7.22e-05,0.001790384,0.003108966,0.006109583
"CT>GG",8.98e-05,0.000926415,0.006811462,0.010396541,0.004019726
"CT>TA",0.003380715,7e-18,8.84e-05,9.02e-18,0.041697157
"CT>TC",3.84e-05,7e-18,8.3e-18,3e-05,0.002989796
"CT>TG",0.000390083,3.08e-05,0.011202404,9.46e-18,0.001479899
"GC>AA",0.005081075,0.328147163,8.3e-18,9.02e-18,0.000999932
"GC>AG",0.000325069,0.01130507,0.003660785,0.123958759,0.003289776
"GC>AT",0.000953202,0.009244146,0.001880403,0.125958094,0.027198146
"GC>CA",0.001060224,0.011905339,0.008691865,0.027390887,0.002109856
"GC>CG",6.69e-05,9.83e-07,9.04e-18,0.002499169,0.004039725
"GC>TA",0.000736156,0.017707941,0.000829178,0.013995344,0.000242983
"TA>AT",0.002750582,0.030413639,0.008571839,0.015494845,0.002229848
"TA>CG",1.89e-05,0.000389175,0.000259056,0.001349551,0.00058396
"TA>CT",0.000280059,0.008723912,0.026105602,0.014195277,0.00337977
"TA>GC",8.22e-05,7.02e-05,0.000264057,0.000578807,0.00101993
"TA>GG",7.89e-05,0.002220996,0.000218047,0.003248919,0.000374974
"TA>GT",0.001300275,0.008063616,6.25e-05,0.007777412,0.002669818
"TC>AA",0.001450307,0.379170045,0.045809829,0.003688773,0.000216985
"TC>AG",0.000200042,0.001870839,0.008281777,0.046684468,0.047396768
"TC>AT",4.17e-18,0.008413773,0.000594127,0.051782772,0.084594232
"TC>CA",0.000682144,0.084637957,0.011802532,0.04878377,0.000281981
"TC>CG",3.89e-06,0.000400179,0.000862185,0.007787409,0.003239779
"TC>CT",0.003350709,8.28e-06,0.009392015,0.051382905,0.02009863
"TC>GA",0.000885187,0.036416331,0.007341575,0.017294246,0.000234984
"TC>GG",9.87e-06,1.04e-05,0.001510324,0.003728759,0.0073295
"TC>GT",8.57e-05,7e-18,8.3e-18,9.15e-18,0.015198964
"TG>AA",0.002960626,0.007633423,0.025505473,0.015794745,0.007829466
"TG>AC",0.000220047,0.000118053,0.010102168,0.007267582,0.000865941
"TG>AT",0.004290908,7e-18,0.22104743,0.000745752,0.010499284
"TG>CA",0.00014403,0.000804361,0.011402447,0.022792417,0.056096175
"TG>CC",5.94e-05,0.000120054,0.007891693,0.011796075,0.003129787
"TG>CT",0.00307065,8.21e-05,0.27505902,0.000967678,0.00557962
"TG>GA",0.001470311,0.007853522,0.007441597,0.006177945,0.007309502
"TG>GC",0.000272058,0.000604271,0.005601202,0.0039087,0.006119583
"TG>GT",0.006401355,3.23e-05,0.027405881,0.003338889,0.005239643
"TT>AA",0.004310912,1.8e-05,0.000193041,0.000340887,0.004769675
"TT>AC",0.000345073,6.6e-07,0.000128027,0.006657785,0.001039929
"TT>AG",0.000215046,7e-18,0.002120455,0.000917695,0.001269913
"TT>CA",4.17e-18,7e-18,8.3e-18,9.03e-18,0.002019862
"TT>CC",2.98e-06,7e-18,8.3e-18,0.005158284,0.003999727
"TT>CG",1.52e-05,7.25e-18,1.12e-05,1.98e-05,9.96e-18
"TT>GA",4.79e-05,7e-18,8.3e-18,9.17e-18,0.000706952
"TT>GC",1.54e-06,7e-18,4.09e-07,3.56e-05,5.78e-06
"TT>GG",4.17e-18,7e-18,8.3e-18,9.02e-18,7.34e-18
