Sample,DBS2,DBS4,DBS5,DBS6,DBS11
Lung-AdenoCA::S.1,77.88781377055633,0.0,0.0,5.010276417140551,0.0
Lung-AdenoCA::S.2,193.64575245382417,0.0,2.8069222466317223,9.15409440031918,0.0
Lung-AdenoCA::S.3,1564.1728991371433,0.0,18.094568247908708,0.0,0.0
Lung-AdenoCA::S.4,478.915137575576,36.22374782157854,30.017593341235795,178.27033677687723,59.38923892871012
Lung-AdenoCA::S.5,497.8681385812768,0.0,31.595934089868706,53.488021565230305,58.642050387010414
Lung-AdenoCA::S.6,40.441632067454115,18.356373391519508,0.0,4.514636586402764,11.438116495983065
Lung-AdenoCA::S.7,28.988945056191152,0.0,0.0,1921.2779181182993,0.0
Lung-AdenoCA::S.8,1282.5767750384084,0.0,0.0,197.53484795980964,0.0
Lung-AdenoCA::S.9,123.4388904263618,0.0,4.131723911916688,8.945016382697084,3.924380003231232
Lung-AdenoCA::S.10,6466.757857269673,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.11,1844.0293262274452,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.12,347.72841491720993,23.155718189666565,4.343402872305426,37.38451939848279,0.0
Lung-AdenoCA::S.13,942.0363470269051,0.0,0.0,49.832691464151324,0.0
Lung-AdenoCA::S.14,2363.2367144507593,0.0,0.0,353.31145027199517,0.0
Lung-AdenoCA::S.15,2748.862262597859,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.16,573.8205672520643,0.0,0.0,9.649304957873959,14.904724499372055
Lung-AdenoCA::S.17,494.293668793281,0.0,1073.4811979441945,0.0,0.0
Lung-AdenoCA::S.18,55.3384528235608,2.464005775173592,11.503214754787148,16.136809791636214,20.388805521166304
Lung-AdenoCA::S.19,771.6147216303985,0.0,0.0,12.24221230264301,0.0
Lung-AdenoCA::S.20,49.64198371504993,3.822800225547111,0.0,0.0,7.788029376775719
Lung-AdenoCA::S.21,132.41347570823905,0.0,15.19927567393539,2.053264141405604,0.0
Lung-AdenoCA::S.22,757.1287924782445,10.759553959633935,0.0,0.0,39.61118721769006
Lung-AdenoCA::S.23,614.9328505758448,50.98861075477908,17.04220346916055,116.01499723025681,0.0
Lung-AdenoCA::S.24,200.9076563513605,0.0,5.552513800668975,24.171664795258653,0.0
Lung-AdenoCA::S.25,435.90595312452007,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.26,929.3731920913699,0.0,33.358699641873564,177.05257772655793,0.0
Lung-AdenoCA::S.27,2595.2400300734976,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.28,955.0978249721468,0.0,0.0,578.0643687043063,0.0
Lung-AdenoCA::S.29,419.05796872596767,0.0,0.0,1458.3813119261083,39.63837089546473
Lung-AdenoCA::S.30,71.1200944274791,0.0,0.0,0.0,1.2875001938828194
Lung-AdenoCA::S.31,286.06845791065814,0.0,9.294219101936045,318.1469324929586,0.0
Lung-AdenoCA::S.32,900.9443709572714,0.0,0.0,8.388339313819474,37.2149296679642
Lung-AdenoCA::S.33,105.18713750592089,4.442744830730171,0.0,15.343701765982813,23.259027169731368
Lung-AdenoCA::S.34,23.739515757894058,0.845718951646007,1.7436506968155803,20.73685973377674,2.7917438193997786
Lung-AdenoCA::S.35,4666.473023042136,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.36,1659.5766461339288,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.37,326.0037660876186,0.0,13.478948107345976,97.04447661579194,113.57640510508877
Lung-AdenoCA::S.38,47.874721377341146,17.157270163369613,0.0,2.348470283022147,1.504686874242364
Lung-AdenoCA::S.39,51.55718103882185,0.0,17.406775026607296,36.15773958986837,19.768952641202812
Lung-AdenoCA::S.40,154.9021180645458,7.614249159431099,0.0,10.909566793869226,23.621472337459146
Lung-AdenoCA::S.41,28.837129021755015,0.0,0.0,0.6588122460864622,0.0
Lung-AdenoCA::S.42,93.04882528731088,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.43,402.6247348482207,22.863220191907207,8.365538825840714,140.03497652390433,19.004497663612092
Lung-AdenoCA::S.44,390.61341493529,17.46573935923125,0.0,11.16522974289252,5.931476028932384
Lung-AdenoCA::S.45,185.42343838824723,21.246101830671677,83.52400943953839,11.621114280872353,44.71513967677774
Lung-AdenoCA::S.46,103.86522111077254,12.613725720527945,0.0,0.0,0.0
Lung-AdenoCA::S.47,213.54703599008081,0.0,2.7635352426760442,168.31058427426203,0.0
Lung-AdenoCA::S.48,588.2682914225991,34.230914500446126,203.99680539425086,0.0,0.0
Lung-AdenoCA::S.49,153.62375261599286,0.0,0.0,369.8196765300432,4.237401364394517
Lung-AdenoCA::S.50,96.5070863924384,3.3440563353826214,0.0,5.037999752095517,8.336805938471691
Lung-AdenoCA::S.51,95.91551153058882,0.0,0.0,5.164865770286608,0.0
Lung-AdenoCA::S.52,28.151853489981107,6.455985440641539,4.182070579128142,27.92238055740661,28.86603937221728
Lung-AdenoCA::S.53,65.27487639281073,6.319342827492782,4.419554407833766,23.933593096511647,12.644683722728733
Lung-AdenoCA::S.54,798.7970927548434,0.0,457.29799753867064,0.0,104.19964806768029
Lung-AdenoCA::S.55,92.3516649133331,3.65837039237885,1.977534223353596,0.0,2.001778306470193
Lung-AdenoCA::S.56,520.370826186682,6.102681833667276,0.0,42.11999142072513,0.0
Lung-AdenoCA::S.57,709.6303331215474,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.58,1125.2674253138898,18.103299513053223,0.0,0.0,8.19691404982559
