,DBS2,DBS4,DBS5,DBS6,DBS11
Lung-AdenoCA::S.1,78.0,0.0,0.0,5.0,0.0
Lung-AdenoCA::S.2,194.0,0.0,0.0,9.0,0.0
Lung-AdenoCA::S.3,1564.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.4,479.0,36.0,30.0,178.0,59.0
Lung-AdenoCA::S.5,498.0,0.0,32.0,53.0,59.0
Lung-AdenoCA::S.6,40.0,18.0,0.0,0.0,11.0
Lung-AdenoCA::S.7,29.0,0.0,0.0,1921.0,0.0
Lung-AdenoCA::S.8,1283.0,0.0,0.0,198.0,0.0
Lung-AdenoCA::S.9,123.0,0.0,0.0,9.0,0.0
Lung-AdenoCA::S.10,6467.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.11,1844.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.12,348.0,23.0,0.0,37.0,0.0
Lung-AdenoCA::S.13,942.0,0.0,0.0,50.0,0.0
Lung-AdenoCA::S.14,2363.0,0.0,0.0,353.0,0.0
Lung-AdenoCA::S.15,2749.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.16,574.0,0.0,0.0,0.0,15.0
Lung-AdenoCA::S.17,494.0,0.0,1073.0,0.0,0.0
Lung-AdenoCA::S.18,55.0,0.0,12.0,16.0,20.0
Lung-AdenoCA::S.19,772.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.20,50.0,4.0,0.0,0.0,8.0
Lung-AdenoCA::S.21,132.0,0.0,15.0,0.0,0.0
Lung-AdenoCA::S.22,757.0,0.0,0.0,0.0,40.0
Lung-AdenoCA::S.23,615.0,51.0,17.0,116.0,0.0
Lung-AdenoCA::S.24,201.0,0.0,6.0,24.0,0.0
Lung-AdenoCA::S.25,436.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.26,929.0,0.0,33.0,177.0,0.0
Lung-AdenoCA::S.27,2595.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.28,955.0,0.0,0.0,578.0,0.0
Lung-AdenoCA::S.29,419.0,0.0,0.0,1458.0,40.0
Lung-AdenoCA::S.30,71.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.31,286.0,0.0,0.0,318.0,0.0
Lung-AdenoCA::S.32,901.0,0.0,0.0,0.0,37.0
Lung-AdenoCA::S.33,105.0,4.0,0.0,15.0,23.0
Lung-AdenoCA::S.34,24.0,0.0,0.0,21.0,0.0
Lung-AdenoCA::S.35,4666.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.36,1660.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.37,326.0,0.0,13.0,97.0,114.0
Lung-AdenoCA::S.38,48.0,17.0,0.0,0.0,0.0
Lung-AdenoCA::S.39,52.0,0.0,17.0,36.0,20.0
Lung-AdenoCA::S.40,155.0,8.0,0.0,0.0,24.0
Lung-AdenoCA::S.41,29.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.42,93.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.43,403.0,23.0,0.0,140.0,19.0
Lung-AdenoCA::S.44,391.0,17.0,0.0,0.0,0.0
Lung-AdenoCA::S.45,185.0,21.0,84.0,0.0,45.0
Lung-AdenoCA::S.46,104.0,13.0,0.0,0.0,0.0
Lung-AdenoCA::S.47,214.0,0.0,0.0,168.0,0.0
Lung-AdenoCA::S.48,588.0,34.0,204.0,0.0,0.0
Lung-AdenoCA::S.49,154.0,0.0,0.0,370.0,0.0
Lung-AdenoCA::S.50,97.0,0.0,0.0,0.0,8.0
Lung-AdenoCA::S.51,96.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.52,28.0,6.0,4.0,28.0,29.0
Lung-AdenoCA::S.53,65.0,0.0,0.0,24.0,13.0
Lung-AdenoCA::S.54,799.0,0.0,457.0,0.0,104.0
Lung-AdenoCA::S.55,92.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.56,520.0,0.0,0.0,42.0,0.0
Lung-AdenoCA::S.57,710.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.58,1125.0,18.0,0.0,0.0,0.0
Lung-AdenoCA::S.59,5551.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.60,396.0,0.0,174.0,74.0,0.0
Lung-AdenoCA::S.61,497.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.62,471.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.63,1617.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.64,47.0,0.0,0.0,137.0,5.0
Lung-AdenoCA::S.65,30.0,0.0,0.0,89.0,0.0
Lung-AdenoCA::S.66,1025.0,0.0,0.0,0.0,43.0
Lung-AdenoCA::S.67,0.0,0.0,0.0,0.0,37.0
Lung-AdenoCA::S.68,271.0,0.0,0.0,0.0,8.0
Lung-AdenoCA::S.69,431.0,0.0,0.0,11.0,0.0
Lung-AdenoCA::S.70,92.0,0.0,0.0,8.0,0.0
Lung-AdenoCA::S.71,694.0,18.0,0.0,0.0,68.0
Lung-AdenoCA::S.72,5344.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.73,52.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.74,34.0,20.0,63.0,18.0,8.0
Lung-AdenoCA::S.75,3220.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.76,9.0,5.0,0.0,11.0,11.0
Lung-AdenoCA::S.77,418.0,0.0,0.0,0.0,102.0
Lung-AdenoCA::S.78,1093.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.79,564.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.80,2686.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.81,708.0,72.0,0.0,468.0,121.0
Lung-AdenoCA::S.82,0.0,0.0,0.0,14.0,179.0
Lung-AdenoCA::S.83,3818.0,0.0,94.0,0.0,0.0
Lung-AdenoCA::S.84,36.0,22.0,13.0,20.0,8.0
Lung-AdenoCA::S.85,133.0,26.0,370.0,124.0,68.0
Lung-AdenoCA::S.86,1821.0,31.0,0.0,0.0,0.0
Lung-AdenoCA::S.87,2165.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.88,630.0,0.0,58.0,408.0,0.0
Lung-AdenoCA::S.89,381.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.90,11.0,0.0,0.0,12.0,17.0
Lung-AdenoCA::S.91,479.0,0.0,0.0,18.0,99.0
Lung-AdenoCA::S.92,571.0,76.0,0.0,67.0,28.0
Lung-AdenoCA::S.93,91.0,27.0,9.0,64.0,0.0
Lung-AdenoCA::S.94,1147.0,0.0,181.0,392.0,0.0
Lung-AdenoCA::S.95,1546.0,0.0,0.0,302.0,0.0
Lung-AdenoCA::S.96,66.0,0.0,0.0,843.0,0.0
Lung-AdenoCA::S.97,5477.0,0.0,779.0,0.0,0.0
Lung-AdenoCA::S.98,4865.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.99,1012.0,22.0,0.0,41.0,0.0
Lung-AdenoCA::S.100,4156.0,0.0,0.0,0.0,0.0
