Samples	SBS1	SBS2	SBS3	SBS5	SBS13	SBS17a	SBS17b	SBS18	SBS28	SBS40
Eso-AdenoCA::S.1	2805	0	0	0	0	2238	0	0	0	14324
Eso-AdenoCA::S.2	427	0	0	4514	0	24344	2385	0	0	20793
Eso-AdenoCA::S.3	1717	0	0	0	0	0	5362	4454	0	7390
Eso-AdenoCA::S.4	2966	0	0	6148	0	2445	520	0	0	0
Eso-AdenoCA::S.5	2581	0	0	4729	0	1247	0	0	0	14606
Eso-AdenoCA::S.6	1789	0	0	0	0	0	86429	0	0	0
Eso-AdenoCA::S.7	923	3390	0	4253	0	5505	13882	0	0	0
Eso-AdenoCA::S.8	2432	0	0	16874	0	1524	5435	0	0	0
Eso-AdenoCA::S.9	783	0	0	18537	0	3189	11613	0	0	0
Eso-AdenoCA::S.10	1126	0	0	4671	0	1816	6532	0	0	23367
Eso-AdenoCA::S.11	4437	0	0	0	0	1526	6346	0	0	7394
Eso-AdenoCA::S.12	3242	3215	17161	12490	0	2617	6520	0	0	0
Eso-AdenoCA::S.13	1538	0	0	6877	0	0	17343	0	0	0
Eso-AdenoCA::S.14	2058	0	0	0	0	0	49269	0	0	36139
Eso-AdenoCA::S.15	1851	0	0	6316	0	5650	0	0	0	0
Eso-AdenoCA::S.16	2010	0	0	10095	0	13175	0	0	18911	0
Eso-AdenoCA::S.17	1449	0	0	11449	0	762	1806	0	0	0
Eso-AdenoCA::S.18	1343	0	0	5157	0	3409	1016	0	0	13664
Eso-AdenoCA::S.19	1901	0	0	3999	0	3609	947	0	0	0
Eso-AdenoCA::S.20	1766	0	0	15274	0	0	61243	0	0	0
Eso-AdenoCA::S.21	1350	0	0	3245	0	7798	45070	0	0	0
Eso-AdenoCA::S.22	1624	0	0	0	0	2733	0	5218	3929	10380
Eso-AdenoCA::S.23	1520	0	0	3070	0	7126	0	0	8089	0
Eso-AdenoCA::S.24	1703	0	0	8988	0	13550	11532	5533	0	0
Eso-AdenoCA::S.25	1777	0	0	0	0	11838	3554	0	0	13712
Eso-AdenoCA::S.26	1171	0	0	8017	0	5159	6913	0	0	17921
Eso-AdenoCA::S.27	3176	0	0	5778	0	9877	1781	0	0	0
Eso-AdenoCA::S.28	954	3205	0	0	0	0	17839	0	0	14097
Eso-AdenoCA::S.29	2507	1556	0	3119	0	0	1846	0	0	0
Eso-AdenoCA::S.30	1703	0	0	0	0	3833	2096	0	0	12519
Eso-AdenoCA::S.31	1491	0	0	21072	0	2959	14001	0	0	0
Eso-AdenoCA::S.32	621	0	0	12330	0	17403	15675	0	0	0
Eso-AdenoCA::S.33	585	0	0	6420	0	1974	507	1888	0	0
Eso-AdenoCA::S.34	895	0	0	257	0	1240	6802	0	0	0
Eso-AdenoCA::S.35	2075	0	0	0	0	5040	1711	0	0	15463
Eso-AdenoCA::S.36	485	0	0	40797	0	10392	6990	0	0	0
Eso-AdenoCA::S.37	1330	0	0	0	0	0	5199	0	0	32536
Eso-AdenoCA::S.38	2401	0	0	17441	0	0	8752	0	0	0
Eso-AdenoCA::S.39	3574	0	0	4462	0	0	0	0	0	15362
Eso-AdenoCA::S.40	949	0	0	2444	0	1394	11631	0	0	0
Eso-AdenoCA::S.41	987	3721	14445	7975	0	646	2620	0	0	0
Eso-AdenoCA::S.42	2012	0	0	16409	0	2549	1012	0	0	0
Eso-AdenoCA::S.43	2770	0	0	6229	0	0	1431	0	0	14230
Eso-AdenoCA::S.44	791	0	0	5517	0	0	10264	0	0	0
Eso-AdenoCA::S.45	3218	0	0	15776	0	4896	16349	0	7654	0
Eso-AdenoCA::S.46	1031	0	0	11141	0	2550	7000	0	0	0
Eso-AdenoCA::S.47	1950	0	0	0	1764	5388	9040	0	0	0
Eso-AdenoCA::S.48	372	0	0	6995	0	1616	3447	0	0	0
Eso-AdenoCA::S.49	1322	0	0	35744	0	4653	6009	0	0	0
Eso-AdenoCA::S.50	416	0	0	8112	0	6103	25677	7218	0	0
Eso-AdenoCA::S.51	1368	0	0	19226	0	6853	1470	7826	0	0
Eso-AdenoCA::S.52	1856	0	0	16933	3119	13871	14262	0	0	0
Eso-AdenoCA::S.53	1430	0	0	6219	0	9653	5276	0	0	13157
Eso-AdenoCA::S.54	1015	0	0	2084	1520	0	12544	0	0	0
Eso-AdenoCA::S.55	598	0	0	14886	0	1060	10050	0	3688	0
Eso-AdenoCA::S.56	1547	0	0	7653	965	1063	748	0	0	0
Eso-AdenoCA::S.57	3278	0	0	658	0	2536	2926	0	0	0
Eso-AdenoCA::S.58	2823	0	0	3269	0	3514	9387	0	3584	13140
Eso-AdenoCA::S.59	473	0	0	17906	0	1951	18608	0	0	0
Eso-AdenoCA::S.60	1300	0	0	5892	0	12851	3150	3987	0	0
Eso-AdenoCA::S.61	5278	0	0	3340	0	11892	6436	0	0	0
Eso-AdenoCA::S.62	2342	1033	0	805	0	6940	4697	0	0	0
Eso-AdenoCA::S.63	1711	0	0	4009	0	2920	8059	0	0	0
Eso-AdenoCA::S.64	962	0	0	4702	0	0	15041	0	0	0
Eso-AdenoCA::S.65	351	0	0	14000	0	0	2402	0	0	0
Eso-AdenoCA::S.66	1885	2062	0	16062	0	2012	12250	0	0	0
Eso-AdenoCA::S.67	1200	0	16092	6805	0	2939	20853	0	0	0
Eso-AdenoCA::S.68	1791	0	0	4642	0	3942	5895	0	0	17010
Eso-AdenoCA::S.69	1757	0	0	0	0	10089	0	0	0	7567
Eso-AdenoCA::S.70	2625	0	0	7099	0	7451	14911	0	2958	0
Eso-AdenoCA::S.71	658	0	0	1594	0	1912	3526	4900	0	6207
Eso-AdenoCA::S.72	3140	0	0	6687	0	19273	5816	0	0	0
Eso-AdenoCA::S.73	1338	0	0	430	0	1111	8981	0	0	15689
Eso-AdenoCA::S.74	1656	0	0	0	0	12663	0	0	0	16807
Eso-AdenoCA::S.75	1471	0	0	0	0	16518	980	0	0	0
Eso-AdenoCA::S.76	2400	667	0	0	0	0	1003	0	0	8343
Eso-AdenoCA::S.77	1996	0	6561	3221	0	3360	702	0	0	0
Eso-AdenoCA::S.78	1186	0	0	16165	0	0	0	0	0	13943
Eso-AdenoCA::S.79	2753	0	0	4651	0	1177	3956	0	0	13098
Eso-AdenoCA::S.80	1846	0	0	1406	0	2050	10531	0	0	21431
Eso-AdenoCA::S.81	1206	0	0	16993	0	22634	2728	0	0	0
Eso-AdenoCA::S.82	3032	0	0	16532	0	1258	5456	0	0	0
Eso-AdenoCA::S.83	754	0	0	15771	0	0	12757	0	0	0
Eso-AdenoCA::S.84	1679	0	0	13016	0	3019	37780	0	0	0
Eso-AdenoCA::S.85	180	0	0	8203	0	2932	30417	0	0	0
Eso-AdenoCA::S.86	1104	0	0	26098	0	0	14656	0	0	0
Eso-AdenoCA::S.87	4271	1855	0	7685	0	3092	16557	4593	0	0
