,ColoRect-AdenoCA::MSI-H.S.1,ColoRect-AdenoCA::MSI-H.S.2,ColoRect-AdenoCA::MSI-H.S.3,ColoRect-AdenoCA::MSI-H.S.4,ColoRect-AdenoCA::MSI-H.S.5,ColoRect-AdenoCA::MSI-H.S.6,ColoRect-AdenoCA::MSI-H.S.7,ColoRect-AdenoCA::MSI-H.S.8,ColoRect-AdenoCA::MSI-H.S.9,ColoRect-AdenoCA::MSI-H.S.10,ColoRect-AdenoCA::MSI-H.S.11,ColoRect-AdenoCA::MSI-H.S.12,ColoRect-AdenoCA::MSI-H.S.13,ColoRect-AdenoCA::MSI-H.S.14,ColoRect-AdenoCA::MSI-H.S.15,ColoRect-AdenoCA::MSI-H.S.16
SBS1,9502.050171046207,19570.642419207015,15242.325743525218,10540.855175191096,8458.81868697109,20952.771731822642,25109.512558268223,4979.348260128329,11654.255871428448,10243.828889342009,2646.213660334781,17347.876105667492,15737.135656333783,19395.756902425146,51720.61417421384,4738.9703808985005
SBS5,12679.829947712287,13995.507696975517,14625.041371375855,54294.53968821857,37152.479860535095,43645.129692571485,25424.743708680442,42123.45192552263,34835.92457415716,62716.363504545945,12020.926587710423,52424.870316400884,11639.437183434735,0.0,27229.128785758614,34367.13867240944
SBS10a,501.9368995796934,1088.1083008709752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS10b,0.0,0.0,0.0,1334.5822256566753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS15,0.0,3353.1878735651467,0.0,0.0,0.0,0.0,0.0,0.0,6414.21437445619,0.0,0.0,0.0,0.0,0.0,0.0,20786.816173584313
SBS17a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS17b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10007.886621523656,0.0,0.0,0.0,0.0,0.0,1060.8405224269072,0.0,26306.040999437664
SBS40,7723.961458260093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11278.503866269173,4549.61548584685,0.0,0.0
SBS44,35028.443759530026,48211.21624557895,48455.866357411476,31870.071780196704,63134.53653359531,61668.375192984495,38301.229028078335,64017.32085114588,73770.17171468411,43135.41007243494,8298.07626714792,61163.37903360075,54384.479983906494,34302.60866286027,21538.03095668422,69889.0230771974
