,Breast-AdenoCA::S.1,Breast-AdenoCA::S.2,Breast-AdenoCA::S.3,Breast-AdenoCA::S.4,Breast-AdenoCA::S.5,Breast-AdenoCA::S.6,Breast-AdenoCA::S.7,Breast-AdenoCA::S.8,Breast-AdenoCA::S.9,Breast-AdenoCA::S.10,Breast-AdenoCA::S.11,Breast-AdenoCA::S.12,Breast-AdenoCA::S.13,Breast-AdenoCA::S.14,Breast-AdenoCA::S.15,Breast-AdenoCA::S.16,Breast-AdenoCA::S.17,Breast-AdenoCA::S.18,Breast-AdenoCA::S.19,Breast-AdenoCA::S.20,Breast-AdenoCA::S.21,Breast-AdenoCA::S.22,Breast-AdenoCA::S.23,Breast-AdenoCA::S.24,Breast-AdenoCA::S.25,Breast-AdenoCA::S.26,Breast-AdenoCA::S.27,Breast-AdenoCA::S.28,Breast-AdenoCA::S.29,Breast-AdenoCA::S.30,Breast-AdenoCA::S.31,Breast-AdenoCA::S.32,Breast-AdenoCA::S.33,Breast-AdenoCA::S.34,Breast-AdenoCA::S.35,Breast-AdenoCA::S.36,Breast-AdenoCA::S.37,Breast-AdenoCA::S.38,Breast-AdenoCA::S.39,Breast-AdenoCA::S.40,Breast-AdenoCA::S.41,Breast-AdenoCA::S.42,Breast-AdenoCA::S.43,Breast-AdenoCA::S.44,Breast-AdenoCA::S.45,Breast-AdenoCA::S.46,Breast-AdenoCA::S.47,Breast-AdenoCA::S.48,Breast-AdenoCA::S.49,Breast-AdenoCA::S.50,Breast-AdenoCA::S.51,Breast-AdenoCA::S.52,Breast-AdenoCA::S.53,Breast-AdenoCA::S.54,Breast-AdenoCA::S.55,Breast-AdenoCA::S.56,Breast-AdenoCA::S.57,Breast-AdenoCA::S.58,Breast-AdenoCA::S.59,Breast-AdenoCA::S.60,Breast-AdenoCA::S.61,Breast-AdenoCA::S.62,Breast-AdenoCA::S.63,Breast-AdenoCA::S.64,Breast-AdenoCA::S.65,Breast-AdenoCA::S.66,Breast-AdenoCA::S.67,Breast-AdenoCA::S.68,Breast-AdenoCA::S.69,Breast-AdenoCA::S.70,Breast-AdenoCA::S.71,Breast-AdenoCA::S.72,Breast-AdenoCA::S.73,Breast-AdenoCA::S.74,Breast-AdenoCA::S.75,Breast-AdenoCA::S.76,Breast-AdenoCA::S.77,Breast-AdenoCA::S.78,Breast-AdenoCA::S.79,Breast-AdenoCA::S.80,Breast-AdenoCA::S.81,Breast-AdenoCA::S.82,Breast-AdenoCA::S.83,Breast-AdenoCA::S.84,Breast-AdenoCA::S.85,Breast-AdenoCA::S.86,Breast-AdenoCA::S.87,Breast-AdenoCA::S.88,Breast-AdenoCA::S.89,Breast-AdenoCA::S.90,Breast-AdenoCA::S.91,Breast-AdenoCA::S.92,Breast-AdenoCA::S.93,Breast-AdenoCA::S.94,Breast-AdenoCA::S.95,Breast-AdenoCA::S.96,Breast-AdenoCA::S.97,Breast-AdenoCA::S.98,Breast-AdenoCA::S.99,Breast-AdenoCA::S.100
SBS1,560.3151965664042,247.84670130622644,247.32208781093462,424.969611357797,342.13175223589656,905.9041829551677,273.8678101457566,654.7416500903005,129.58781350317366,234.17339536038924,347.7566912655005,803.6005465679605,330.648458871826,253.9843462860626,858.7663994819392,307.8754930753968,647.6088076779757,169.63979458310106,235.5448168707047,199.4783345776231,264.1772050721501,95.54996953545509,288.9423982324806,581.3481866334012,564.1589172663784,277.8499667112455,995.0475061402897,584.4316588118029,509.561280219681,336.244679798691,468.1181444401518,287.7357907003752,527.947824635504,574.4541888428571,127.32522292719035,93.70263279479086,293.9079167751848,847.6888993652851,262.8302602416542,419.7589379767926,387.08363612904486,435.2572179784082,202.1937817650705,411.7135438643582,676.9863839230148,356.5013352672512,1347.9337096025706,445.08608330156005,203.32782227281658,377.58600358478895,198.2075372701745,397.5114239600531,355.57738989888315,362.5393161150163,498.74237360986535,345.84850305546433,278.49613527709636,637.3342658102739,521.3617418608982,409.00500911662505,597.0184573171618,176.336828716321,471.59615893703227,238.54124387478413,357.28695623709893,408.93771047392227,560.7463616811511,421.0362992559595,363.93624180568116,688.2439481456112,653.8666554072804,689.8226816335741,498.0653792706383,535.8461644111496,201.14319177798276,515.8730014247909,168.87600336766837,326.07680224979697,286.71786157662814,180.74251632894334,274.7601317988131,242.22151159074178,227.2804910716238,320.72240417068747,687.3476082809759,259.2385925590047,287.8163390505273,428.14996517094164,456.13716390394063,350.35667266543123,492.1215008794284,181.53804682511645,293.5004165336807,244.1205667012111,407.0464426334151,724.616484891056,454.8879778631221,245.40602949999573,741.5681866616904,432.23388166014456
SBS2,180.5017689098085,262.73869960668077,444.0604550033016,713.0495669520928,67.75002932707855,6001.086457040787,177.63152510055676,377.53312744076146,0.0,878.031286704506,93.95972013075908,487.6513796918264,2729.329304716776,246.96502533687934,6461.766199665376,0.0,130.2658295591869,92.07123878945774,0.0,0.0,852.0729381877284,0.0,976.9105486514412,3556.0921697125927,1249.6300063900176,1607.3494903886187,1233.339982795062,469.7932333435865,263.3587615784906,731.295813815621,338.57530236533637,0.0,0.0,0.0,29.401212653284208,578.3719249556716,2809.9607264625506,149.0141620996998,0.0,251.2632618731815,0.0,0.0,68.37314240193402,5180.479767056549,22.788388700718343,829.8635586290409,242.1723911864628,405.05875167728055,8393.063839411643,2451.651197602094,524.3863929066831,4384.73792803916,51.99067120785976,3239.739116568162,2925.9596659569593,170.62781263305678,590.5319239382953,0.0,78.90733442784614,1132.6435087034201,662.251178627036,0.0,442.91086314436694,1654.6501841515906,880.7374865005539,1475.7881685214004,833.8751084140274,955.1120094484694,271.99020194179354,49.87682814462242,938.0030468612272,145.6908365679696,125.14690139865048,3817.358815600534,0.0,216.3095654536654,285.159316372907,872.6287204626515,3033.8149198010265,3115.21371161027,0.0,208.07653051250037,1286.4755629958486,28.028505746738112,463.1711250686529,5574.8083855999075,291.83415748165294,5686.79166753145,277.323174266065,0.0,3659.420094495856,385.80840728226167,1473.648680085839,135.6159158923708,0.0,0.0,417.59100346442364,1512.1569082408625,2622.2123433655083,1089.6521050997665
SBS3,0.0,5524.529627566208,0.0,5579.004293340769,0.0,5993.889019383522,0.0,1795.197147363931,4396.60390444402,3104.5223452446967,0.0,1334.6844110667853,0.0,0.0,1171.9818577105543,0.0,0.0,0.0,422.760397899572,2276.688797903108,0.0,0.0,3668.127908085483,0.0,0.0,0.0,1990.114050858795,3980.477948830143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4299.916278005395,3675.5408567325208,0.0,3714.9701729786984,0.0,7690.5966356072695,0.0,2695.487679161192,0.0,0.0,5740.355677826814,5403.949655679256,2447.8017353531554,0.0,8178.22080970735,0.0,6257.719247057337,0.0,10263.147565792187,4517.635053117243,0.0,383.52806960467103,8194.328772298737,0.0,0.0,0.0,0.0,2958.868328488099,0.0,180.17880768049213,0.0,6636.162274487316,1583.1274020370333,0.0,374.0167112424494,0.0,168.83566371651702,0.0,0.0,0.0,5538.54757364808,2234.039560930809,0.0,0.0,0.0,0.0,0.0,4786.973684664561,0.0,0.0,0.0,12218.134111765408,0.0,0.0,0.0,7557.853896429512,4587.440279094193,2884.7279810815317,0.0,3307.236520697922,0.0,0.0,71.6584788026649,0.0,0.0
SBS5,390.7091856932331,2747.9645071236537,661.142741539871,1628.8199120452755,2428.2447259331684,0.0,2821.9196255258025,1266.4981721593513,2569.1306982304927,1112.0196299651147,1648.8798931698254,740.9956675680843,1099.785933878134,4320.710609265232,1139.6447322195975,976.5200124688373,1479.2071379457864,2059.8051499080075,2923.3623535811384,846.2884042035028,3768.972157758023,2263.8975851340383,2978.235238111118,942.0002551279449,2453.062614973841,1702.553351667996,762.5837968292847,1983.0646945076292,4654.803595435789,4149.210308281022,2049.4935398457455,2569.5223350047117,1149.7187973368373,3075.1191831221918,1445.4464684684574,2365.060419878346,2090.270386162663,687.1098023012491,2332.2742272980313,1738.4992271359595,4762.276636223195,4211.106491830555,1031.6815207466607,3601.6973195417095,700.5702790422512,3184.3568634719404,0.0,2441.635650553393,0.0,0.0,3378.369462375856,1952.5264856143895,1862.8474435525238,1146.9695728926608,884.4212513589246,948.5499635405567,1515.5091005120266,1124.6664043573073,2232.5445922353397,1491.5324204239826,2831.3841901955843,898.0295292437127,6400.402271665211,3137.441252155941,244.60981767313498,1583.3943418328965,1273.1808727814496,2259.336131580316,1652.1776626340586,1380.1505590527977,2647.6677277072577,1409.0674261489316,444.22596500804,0.0,3579.6326949171785,2179.2976365215104,2372.2544677633587,1805.964606324931,1461.351429529002,4630.27966939354,3004.189583211765,597.9984736039434,2684.250590744033,2195.3140103723554,3427.338958494015,913.8524627061124,0.0,809.6205429754536,1488.0223992745805,1298.5430477459345,1477.7203980512968,1990.2172800076692,5066.3904218116495,2314.1675927321066,2022.750471668775,2945.196256745886,1012.9823374358834,497.3472996866183,3871.5450478374023,2478.1464874036355
SBS8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1022.7580871519096,0.0,0.0,0.0,110.3006701963391,0.0,0.0,0.0,375.81121763442496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429.95779296063347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2192.9669328544537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533.5418499233083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7645.166252620713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1343.7523643040627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2411.6418678836944,0.0,0.0,0.0,0.0,0.0,0.0,113.29125395427403,91.6725338545246,0.0,0.0
SBS13,3545.6448055554656,200.2710531040376,701.5510585784864,0.0,835.703489964285,1371.450905240666,63.52720095822691,0.0,0.0,316.57898624750277,728.3825757831868,0.0,2098.879043024323,1507.2052639473707,66.61715543495713,0.0,0.0,383.28502298155496,0.0,207.5280769132142,1115.9624926263245,0.0,2229.765252557904,0.0,0.0,1997.9421862184597,1422.4895706154134,2503.7343582855938,986.4945597910821,4942.6129102103905,876.2071966389021,37.769877967936296,1232.974417601251,37.84835116546208,97.98453070882414,1410.3420778058337,291.4661275861048,0.0,3371.6792105942272,0.0,197.50403012579608,126.56835384022378,774.2394905826332,406.56823075421113,0.0,949.0542534446029,162.30324323511746,2138.487166643757,4602.086907382215,337.0321401172701,615.4468322592427,0.0,0.0,0.0,1076.0462781685017,276.0031039414075,1103.659163329897,5879.429472473336,2933.0049665255374,14568.606488440351,2096.836944763374,165.61916142268495,0.0,2639.4412900488373,4315.997946022572,1494.561093282312,3438.3926263327594,0.0,5402.348844179303,106.03793326174693,1500.9224529630615,439.4303829359327,0.0,9107.5628180685,124.30583210948204,5666.140469690155,65.11865204700891,4134.590917697127,3186.749671644936,0.0,2316.7458790103406,8980.759882761075,1476.8080998801743,0.0,0.0,56.51645451159368,2870.514778995592,5260.400299095535,108.74049615161567,1149.9566568671908,2235.108848226221,0.0,1252.6119929721344,559.2961053278694,0.0,4065.0301322496243,1262.6101904530274,128.7541891618085,2786.972761519713,826.9737592903198
SBS17a,0.0,137.40005773042242,0.0,0.0,59.59670478003656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.010222135390265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.25991260519123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.35958669184399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.80498548327057,1229.4178546253415,0.0,0.0,51.29252538423731,0.0,0.0,0.0,48.4823635198555
SBS17b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.1514028974885,0.0,0.0,0.0,0.0,0.0,68.03527406324213,0.0,0.0,0.0,0.0,153.05430909379027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.91332496244987,0.0,0.0,0.0,4154.1024140436075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS18,1597.619086533968,0.0,37.46590946954149,0.0,489.7523667608807,0.0,0.0,0.0,0.0,438.07262175941787,0.0,0.0,0.0,0.0,0.0,0.0,616.2579023944003,1269.5247226163713,0.0,0.0,0.0,0.0,193.6936654096262,686.4350261155848,0.0,148.84844515882764,0.0,0.0,0.0,0.0,0.0,345.1363324020943,0.0,163.12355705797142,302.28884478420287,0.0,913.276588718992,154.3430000616688,0.0,0.0,0.0,643.071996890194,0.0,582.450486738087,0.0,0.0,0.0,749.6570104408377,934.7964628916484,272.86824772973705,0.0,481.4798978962913,0.0,0.0,697.5496493461853,0.0,113.84308029894714,0.0,0.0,0.0,409.64256046237233,74.37556107963476,0.0,329.8628365988993,0.0,110.59565738297692,0.0,0.0,0.0,801.9095000610192,547.4783844583952,0.0,0.0,0.0,475.72201640050844,0.0,220.2691095513116,135.37767947497878,183.02770948034276,0.0,692.6019470592195,0.0,451.96909742315523,511.68368886592754,0.0,654.5212386673272,0.0,0.0,702.4850520110917,341.6954839504565,0.0,0.0,0.0,616.1819083666952,1882.1705670100182,0.0,542.5493750465498,63.19092168489681,0.0,0.0
