"","Tool","m.Combined","med.Combined","sd.Combined","m.F1","med.F1","sd.F1","m.SMD","med.SMD","sd.SMD","m.sens","med.sens","sd.sens","m.prec","med.prec","sd.prec"
"1","pasa",2.64082105503098,2.68359763651458,0.301124321019419,0.866209975209975,0.888888888888889,0.134875216061483,0.139021978478725,0.0902624808614146,0.134846701953617,0.796742504409171,0.8,0.191881991777505,0.983100529100529,1,0.0672622426396634
"2","fitms_0.01",2.56874224998611,2.60595595016708,0.319338077347735,0.821695631528965,0.857142857142857,0.156353865533143,0.136895757068565,0.10499643734758,0.117552614162128,0.750296737213404,0.75,0.208665298558614,0.95534126984127,1,0.110610889969725
"3","fitms_0.03",2.56847152805097,2.60508332706523,0.326178593830232,0.820933991933992,0.857142857142857,0.157907765685472,0.135544785882014,0.104449898764886,0.120536901112282,0.749675044091711,0.75,0.209589258654598,0.95434126984127,1,0.112663698387463
"4","fitms_0.06",2.56481650369691,2.60172168837101,0.326310507484848,0.819625090958424,0.857142857142857,0.155600272900371,0.136005365791626,0.104275079600199,0.121154373457353,0.747758377425044,0.75,0.207919152081511,0.953063492063492,1,0.113966628863708
"5","mp",2.4610560154499,2.54029543189981,0.414227055103137,0.79963246013246,0.857142857142857,0.186614704521106,0.214767176789961,0.160561470428329,0.178656980537658,0.748046296296296,0.8,0.243520166593944,0.927776895943563,1,0.13851600177285
"6","yapsa_0.03",2.4254125594065,2.48107844965611,0.389319929466646,0.805396208729542,0.833333333333333,0.158568920146284,0.22868796969403,0.187854105648829,0.165507844004686,0.809437830687831,0.8,0.200659213215811,0.844662698412698,0.845238095238095,0.17575159733422
"7","yapsa_0.01",2.39660823167848,2.43347153481134,0.339762634450516,0.78780170374288,0.8,0.142495589604909,0.238967325480415,0.200134003106639,0.167850340249372,0.901896825396825,1,0.15246893286747,0.733678731762065,0.75,0.186077855972589
"8","yapsa_0.06",2.37171911328025,2.43288715275265,0.39564734521537,0.76320658970659,0.8,0.174022200163127,0.233314837337037,0.195687246123612,0.162868426062718,0.692117283950617,0.666666666666667,0.222178229815928,0.912916666666667,1,0.155486811829248
"9","yapsa_0.00",2.30537745788439,2.33333831191349,0.318049930017449,0.717834950796251,0.727272727272727,0.150174510134998,0.243832939742675,0.205614401314702,0.168085146080716,0.9479708994709,1,0.112979650619705,0.601239498156165,0.6,0.182136858639187
"10","yapsa_0.10",2.2872154842166,2.31956546561837,0.382589121645397,0.699990139490139,0.666666666666667,0.18546154914301,0.253376667458889,0.221827295719422,0.160930331513685,0.585999559082892,0.6,0.226279863646584,0.954592592592593,1,0.124756173295651
"11","QP_0.00",2.0836417161697,2.21040547670605,0.469586409048605,0.569766635554561,0.625,0.248141648837596,0.328663492782565,0.225537615453587,0.288786866491807,0.85575176366843,1,0.31549821066256,0.556553445283837,0.5,0.222872577208765
"12","deconstruct_0.03",1.65422804959068,1.67596980922346,0.284502790181035,0.799397281730615,0.8,0.158952722590176,0.9899685994393,0.993716988811226,0.012051689634032,0.792734126984127,0.8,0.202981520849077,0.851462522045855,1,0.173185658731901
"13","deconstruct_0.06",1.62140429020582,1.6690775799347,0.286469492134833,0.7679349662683,0.8,0.169198841412104,0.989953734485543,0.993665616925515,0.0121578830965567,0.691741622574956,0.666666666666667,0.217764226807188,0.919616402116402,1,0.144660467717783
"14","deconstruct_0.00",1.53976128611833,1.57499730553466,0.269797422986621,0.728928555105026,0.75,0.155350162725259,0.990145880788834,0.99378259269879,0.0118225468892773,0.855492945326279,1,0.179388117795481,0.674414221580888,0.666666666666667,0.196109566211618
"15","deconstruct_0.10",1.55485906916504,1.51671448906446,0.283959834614348,0.705949575116242,0.666666666666667,0.183804830362839,0.990189872633903,0.993820617837691,0.0120028670986208,0.591308201058201,0.6,0.223937835898987,0.953740740740741,1,0.126696450431401
"16","QP_0.03",0.450575663018096,0.73410281810332,1.24884305081761,0.548206766545002,0.615384615384615,0.257256917862881,1.84668976908067,1.60609675062316,1.11892034225956,0.732973104056437,0.8,0.313260947075111,0.564292328042328,0.571428571428571,0.233134625361251
"17","QP_0.06",0.408197775553993,0.706606273259611,1.25663563843274,0.558552133052133,0.6,0.260010850768302,1.85951430557475,1.62614642778418,1.10467603911864,0.643029541446208,0.666666666666667,0.297453171380677,0.62468253968254,0.666666666666667,0.225171596564777
"18","QP_0.01",0.486930210268974,0.69418792604424,1.09223806860585,0.520221241644874,0.571428571428571,0.226055853683952,1.82219689410813,1.64040252692824,0.999753338038063,0.800450617283951,1,0.314553431394117,0.508676487093154,0.454545454545455,0.216634260023014
"19","QP_0.10",0.416407666515233,0.679027877044768,1.11973029018891,0.555571810905144,0.6,0.241923074448728,1.83355573736484,1.61701421876678,1.0105050149366,0.583167107583774,0.6,0.266400348198435,0.666796296296296,0.6,0.207483394581776
"20","sigest",0.381013365642223,0.332576647796111,0.690673028089345,0.419077977577978,0.428571428571429,0.182324636631962,1.51081207126655,1.67525571053211,0.503159056378681,0.484792768959436,0.5,0.223901181069616,0.407032667949335,0.4,0.208804557163452
