Mutation type,Skin-Melanoma::MSI-H.S.1
DEL_C_1_0,-0.12867701614486293
DEL_C_1_1,-10.370297621558057
DEL_C_1_2,-0.04927747849912271
DEL_C_1_3,-35.279073445767835
DEL_C_1_4,-32.99659463209315
DEL_C_1_5+,-72.30576933771255
DEL_T_1_0,-78.34608567395404
DEL_T_1_1,-1.1830187278251296e-13
DEL_T_1_2,-80.2535801240073
DEL_T_1_3,-32.2608224686515
DEL_T_1_4,-675.8423222910158
DEL_T_1_5+,53.24603204032428
INS_C_1_0,-1.1830187278251296e-13
INS_C_1_1,-2.597192551037491
INS_C_1_2,-0.41513502787000917
INS_C_1_3,-11.053918288559224
INS_C_1_4,-46.192147639160055
INS_C_1_5+,-280.8466690112541
INS_T_1_0,-42.49264707743619
INS_T_1_1,0.32166063992215366
INS_T_1_2,-8.498490178723783
INS_T_1_3,-13.58175138382478
INS_T_1_4,5.499571340018406
INS_T_1_5+,19.411298877390436
DEL_repeats_2_0,-11.143221192670453
DEL_repeats_2_1,-61.08325542028794
DEL_repeats_2_2,-17.26364528073026
DEL_repeats_2_3,-10.892694520422012
DEL_repeats_2_4,-8.893119255368045
DEL_repeats_2_5+,-1.297101636247407e-13
DEL_repeats_3_0,-1.35334505554804
DEL_repeats_3_1,-54.62366080836648
DEL_repeats_3_2,-21.233416718612645
DEL_repeats_3_3,-4.628000884421596
DEL_repeats_3_4,-1.1861876975035262e-13
DEL_repeats_3_5+,-1.1830187278251296e-13
DEL_repeats_4_0,-1.8698972114426227
DEL_repeats_4_1,-21.681808829543442
DEL_repeats_4_2,-3.662747514835715
DEL_repeats_4_3,-0.11519204780977181
DEL_repeats_4_4,-1.1830187278251296e-13
DEL_repeats_4_5+,1.1795861161364454
DEL_repeats_5+_0,-0.7505758853407107
DEL_repeats_5+_1,-30.38773083628039
DEL_repeats_5+_2,1.574438681622361
DEL_repeats_5+_3,-0.8240079953473525
DEL_repeats_5+_4,-0.3944069319980259
DEL_repeats_5+_5+,-0.8627599663178463
INS_repeats_2_0,-10.025327792734412
INS_repeats_2_1,0.5628711931712189
INS_repeats_2_2,-14.130587490048232
INS_repeats_2_3,-8.698336182199576
INS_repeats_2_4,-7.365972352552205
INS_repeats_2_5+,-344.04566646474177
INS_repeats_3_0,0.079017096834606
INS_repeats_3_1,-3.729509142831013
INS_repeats_3_2,-3.070908406327911
INS_repeats_3_3,-0.8538198789590528
INS_repeats_3_4,-2.7432967462169184
INS_repeats_3_5+,-21.564353198598553
INS_repeats_4_0,-0.2661934529853694
INS_repeats_4_1,-20.602488935507736
INS_repeats_4_2,0.5358585646085601
INS_repeats_4_3,-2.7777062267835255
INS_repeats_4_4,-2.3319442275723468
INS_repeats_4_5+,-28.610848711228122
INS_repeats_5+_0,-1.1830187278251296e-13
INS_repeats_5+_1,0.5594732205729116
INS_repeats_5+_2,-3.3770159522362206
INS_repeats_5+_3,1.4612525090580153
INS_repeats_5+_4,-4.441841523961054
INS_repeats_5+_5+,-2.849198884777793
DEL_MH_2_1,2.056477156754468
DEL_MH_3_1,-0.3872119222188095
DEL_MH_3_2,-32.55309960349287
DEL_MH_4_1,0.26018616698768327
DEL_MH_4_2,-8.17313311341349
DEL_MH_4_3,-9.694120123175871
DEL_MH_5+_1,-6.916179095221018
DEL_MH_5+_2,-1.8650694205964093
DEL_MH_5+_3,0.10159705695544219
DEL_MH_5+_4,-1.986752316240806
DEL_MH_5+_5+,-22.705204243946156
