"Mutation type","Skin-Melanoma::S.1","Skin-Melanoma::S.2","Skin-Melanoma::S.3","Skin-Melanoma::S.4","Skin-Melanoma::S.5","Skin-Melanoma::S.6","Skin-Melanoma::S.7","Skin-Melanoma::S.8","Skin-Melanoma::S.9","Skin-Melanoma::S.10","Skin-Melanoma::S.11","Skin-Melanoma::S.12","Skin-Melanoma::S.13","Skin-Melanoma::S.14","Skin-Melanoma::S.15","Skin-Melanoma::S.16","Skin-Melanoma::S.17","Skin-Melanoma::S.18","Skin-Melanoma::S.19","Skin-Melanoma::S.20","Skin-Melanoma::S.21","Skin-Melanoma::S.22","Skin-Melanoma::S.23","Skin-Melanoma::S.24","Skin-Melanoma::S.25","Skin-Melanoma::S.26","Skin-Melanoma::S.27","Skin-Melanoma::S.28","Skin-Melanoma::S.29","Skin-Melanoma::S.30","Skin-Melanoma::S.31","Skin-Melanoma::S.32","Skin-Melanoma::S.33","Skin-Melanoma::S.34","Skin-Melanoma::S.35","Skin-Melanoma::S.36","Skin-Melanoma::S.37","Skin-Melanoma::S.38","Skin-Melanoma::S.39","Skin-Melanoma::S.40","Skin-Melanoma::S.41","Skin-Melanoma::S.42","Skin-Melanoma::S.43","Skin-Melanoma::S.44","Skin-Melanoma::S.45","Skin-Melanoma::S.46","Skin-Melanoma::S.47","Skin-Melanoma::S.48","Skin-Melanoma::S.49","Skin-Melanoma::S.50","Skin-Melanoma::S.51","Skin-Melanoma::S.52","Skin-Melanoma::S.53","Skin-Melanoma::S.54","Skin-Melanoma::S.55","Skin-Melanoma::S.56","Skin-Melanoma::S.57","Skin-Melanoma::S.58","Skin-Melanoma::S.59","Skin-Melanoma::S.60","Skin-Melanoma::S.61","Skin-Melanoma::S.62","Skin-Melanoma::S.63","Skin-Melanoma::S.64","Skin-Melanoma::S.65","Skin-Melanoma::S.66","Skin-Melanoma::S.67","Skin-Melanoma::S.68","Skin-Melanoma::S.69","Skin-Melanoma::S.70","Skin-Melanoma::S.71","Skin-Melanoma::S.72","Skin-Melanoma::S.73","Skin-Melanoma::S.74","Skin-Melanoma::S.75","Skin-Melanoma::S.76","Skin-Melanoma::S.77","Skin-Melanoma::S.78","Skin-Melanoma::S.79","Skin-Melanoma::S.80","Skin-Melanoma::S.81","Skin-Melanoma::S.82","Skin-Melanoma::S.83","Skin-Melanoma::S.84","Skin-Melanoma::S.85","Skin-Melanoma::S.86","Skin-Melanoma::S.87","Skin-Melanoma::S.88","Skin-Melanoma::S.89","Skin-Melanoma::S.90","Skin-Melanoma::S.91","Skin-Melanoma::S.92","Skin-Melanoma::S.93","Skin-Melanoma::S.94","Skin-Melanoma::S.95","Skin-Melanoma::S.96","Skin-Melanoma::S.97","Skin-Melanoma::S.98"
"AC>CA",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC>CG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"AC>CT",0,3,63,0,74,0,5,0,3,29,0,1,1,5,1,18,85,4,6,2,0,36,7,5,0,4,10,9,20,25,3,5,1,16,19,1,0,1,3,44,8,9,7,43,41,1,2,47,34,33,0,8,1,19,44,62,17,0,0,150,2,2,0,26,0,42,0,2,27,1,13,0,0,7,2,0,15,2,21,1,5,12,17,99,2,10,20,6,2,35,7,9,0,5,4,16,4,24
"AC>GA",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,3,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"AC>GG",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"AC>GT",1,1,30,2,9,0,4,5,2,16,0,0,4,9,0,7,2,2,2,4,0,11,4,39,1,1,1,2,0,42,1,2,0,12,77,5,0,1,1,11,4,9,27,7,11,5,5,2,13,8,0,20,0,0,7,47,14,3,0,19,1,0,1,5,1,0,1,2,8,13,0,1,6,0,4,0,2,1,18,10,1,16,24,10,2,47,14,11,0,0,2,13,1,1,9,7,0,2
"AC>TA",1,3,2,0,16,2,0,13,0,0,0,1,2,2,3,1,10,1,2,0,0,1,0,13,0,0,0,17,1,8,7,0,5,10,10,0,0,0,0,1,2,3,1,10,0,0,11,0,5,7,0,3,0,0,0,27,3,0,3,1,1,17,1,19,0,9,0,0,2,3,0,0,0,0,3,0,0,0,3,3,2,9,11,2,0,3,10,3,6,5,0,0,0,0,1,2,0,3
"AC>TG",0,0,4,0,1,0,0,0,0,1,0,0,0,0,2,0,0,1,0,1,0,0,2,0,0,2,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,4,1,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,3
"AC>TT",7,15,20,33,350,8,80,12,15,74,0,62,19,99,165,30,466,86,19,12,1,5,152,125,5,22,5,9,33,126,13,18,25,12,233,46,0,6,17,11,114,10,6,230,123,78,49,88,260,12,8,64,5,5,20,103,14,26,25,681,37,183,0,46,0,299,32,24,47,27,110,4,1,6,6,9,151,1,67,2,51,67,16,163,20,186,78,6,3,3,4,118,13,37,69,43,2,55
"AT>CA",1,1,0,0,2,0,5,1,0,1,0,0,2,3,0,1,1,2,0,0,0,3,0,3,0,4,0,4,0,2,1,0,0,0,2,0,0,1,4,0,0,5,3,2,4,4,1,0,0,0,0,0,0,0,0,1,7,0,1,13,1,4,0,0,2,1,0,0,0,5,0,0,0,0,1,0,4,0,1,1,0,2,6,8,0,5,0,2,2,0,0,2,1,2,1,0,0,2
