Mutation type,Skin-Melanoma::MSI-H.S.1,Skin-Melanoma::MSI-H.S.2
AC>CA,-0.38522957344537695,-0.03344712409254026
AC>CG,-0.09019694079043347,-0.017766681610524405
AC>CT,-12.539017930794648,-2.887819983287378
AC>GA,-1.145507303263686,-0.08549004160409608
AC>GG,-0.17595702441302144,-0.038427178786399376
AC>GT,14.351403543196785,-0.9925286317577637
AC>TA,11.586411251045268,2.1922183041469507
AC>TG,0.4575847031812599,-0.11578223375004017
AC>TT,37.39121775315785,-3.838513515640411
AT>CA,1.5833250557875835,-0.32445931204965367
AT>CC,9.127643254989174,0.8000736853739338
AT>CG,-0.011774219681602215,-0.002678461848859361
AT>GA,-1.3320441394827842,-0.4270811081704473
AT>GC,3.4907512055775363,-0.1171281944781102
AT>TA,-2.0263449474599486,1.4248255248414634
CC>AA,-0.03092076461107139,-0.007133591858771163
CC>AG,-5.599610602247086,-0.008277658477630689
CC>AT,372.39767597555556,-11.58793215610541
CC>GA,-2.5973552088027594,-0.09020225011306925
CC>GG,-1.9212522183446716,-0.06608667174823851
CC>GT,148.49815847910997,-2.658207891582644
CC>TA,68.45442231319265,-5.000775146046669
CC>TG,-4.06087654498725,0.28346398043481624
CC>TT,-13.467983781075873,0.43605381605163984
CG>AT,-0.6827740753918514,-0.00040580715951311425
CG>GC,-0.0690994435158967,-0.003647553573069783
CG>GT,-0.2957903716347882,-0.0011440666188595261
CG>TA,-0.03873641425667573,-0.23964225080959264
CG>TC,0.15849121888745432,-0.008479552586841193
CG>TT,-1.050797652675084,-0.08347110051199101
CT>AA,-0.48543730509713967,-0.018641556083769925
CT>AC,-0.398682085466634,-0.28205078142962314
CT>AG,-3.567652075419139,-1.9179940374997936e-15
CT>GA,1.0768478246999074,-0.060029848471923365
CT>GC,0.10304255187456435,-0.16963412248012208
CT>GG,-0.6465855042897399,-0.007268187931578166
CT>TA,22.204041046195467,-4.257312509136079
CT>TC,18.36315510028409,2.9319099930407297
CT>TG,11.452553423075074,1.4921410587344297
GC>AA,-4.610116814421253,-1.0635795132816663
GC>AG,-0.6427757368196582,-0.07202706942157559
GC>AT,-0.3118626269996474,-0.03277414372850525
GC>CA,0.047094269914483844,-0.03876366896841688
GC>CG,-0.015022824315756836,-0.003465848874780329
GC>TA,-0.07728794463578147,-0.0005565547610569577
TA>AT,-0.24753028475470984,-0.33994122532427923
TA>CG,-0.045416748952627414,-0.005081001748464366
TA>CT,-4.405650673578879,-0.472552006057379
TA>GC,-0.08247736236396626,-0.013526905317103809
TA>GG,-0.2247586906511683,-0.047310519591661576
TA>GT,15.638893157569282,1.2258760710934342
TC>AA,-4.168465879447976,-0.007335485967981667
TC>AG,-0.7568658302769017,-0.0020795093248681972
TC>AT,27.768575590804403,-0.6559523082536596
TC>CA,-1.0786729493955107,-0.0029745732090347677
TC>CG,-0.17411886201598792,-0.02220835201315551
TC>CT,6.608082203743009,-1.278987741182358
TC>GA,-0.8502258436702089,-0.043205339371047986
TC>GG,-1.3355959219627094,-0.27666491957625094
TC>GT,20.11924492941879,3.566927287889268
TG>AA,-5.300545949099639,0.07778270410534482
TG>AC,0.3962482234783571,-0.15953672509814074
TG>AT,28.007325760567127,-0.6222952142875402
TG>CA,-1.8437164995790618,-0.18780930317161576
TG>CC,1.9868404812028035,-0.06933447498507149
TG>CT,-22.236003887921154,-0.24532997423587477
TG>GA,0.14047576126991346,-0.27397232513974684
TG>GC,-0.7651197650655966,-0.05982795436271287
TG>GT,-8.018586584862083,-0.27898774118235803
TT>AA,188.96387358657802,0.3043983208595731
TT>AC,-2.11237312839779,-0.48466901751182945
TT>AG,-1.411116523476694,-0.28137712808522414
TT>CA,5.884599644932579,0.5119654076876314
TT>CC,34.1855516032418,2.3515190599885765
TT>CG,0.7545395660004779,-0.05639575450613429
TT>GA,5.572901160542222,-0.2520617968173171
TT>GC,-1.0928980815143166,-0.7135402175950416
TT>GG,33.302351168250034,-0.08377363506526492
