Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
ColoRect-AdenoCA::S.1	8296	0.963	2219.574	26.755%	559.92	26.909%	0.05524	0.956
ColoRect-AdenoCA::S.2	14180	0.979	2613.669	18.432%	413.869	20.528%	0.02837	0.956
ColoRect-AdenoCA::S.3	9604	0.975	1867.787	19.448%	431.359	22.431%	0.03008	0.965
ColoRect-AdenoCA::S.4	3840	0.963	1028.628	26.787%	309.418	27.162%	0.06568	0.958
ColoRect-AdenoCA::S.5	27427	0.975	5807.079	21.173%	814.75	22.157%	0.03671	0.941
ColoRect-AdenoCA::S.6	18604	0.968	3817.9	20.522%	594.42	25.074%	0.03581	0.909
ColoRect-AdenoCA::S.7	8899	0.972	2006.15	22.544%	443.907	23.692%	0.03513	0.963
ColoRect-AdenoCA::S.8	7262	0.948	2305.409	31.746%	470.3	31.748%	0.07492	0.931
ColoRect-AdenoCA::S.9	17455	0.976	3518.562	20.158%	558.354	21.843%	0.03226	0.953
ColoRect-AdenoCA::S.10	9888	0.981	1758.209	17.781%	299.965	19.555%	0.02612	0.966
ColoRect-AdenoCA::S.11	18179	0.983	3123.475	17.182%	480.434	18.513%	0.02492	0.964
ColoRect-AdenoCA::S.12	7943	0.975	1977.604	24.897%	392.676	22.686%	0.06019	0.968
ColoRect-AdenoCA::S.13	18366	0.971	3606.482	19.637%	634.841	24.08%	0.03041	0.94
ColoRect-AdenoCA::S.14	23132	0.944	5743.351	24.829%	968.661	32.854%	0.05545	0.836
ColoRect-AdenoCA::S.15	9167	0.977	1895.931	20.682%	295.146	21.563%	0.03669	0.956
ColoRect-AdenoCA::S.16	9257	0.955	2341.562	25.295%	482.694	29.74%	0.04997	0.932
ColoRect-AdenoCA::S.17	16322	0.987	2679.04	16.414%	417.667	15.985%	0.0215	0.978
ColoRect-AdenoCA::S.18	15836	0.988	2376.027	15.004%	338.26	15.732%	0.01748	0.971
ColoRect-AdenoCA::S.19	15966	0.977	2738.329	17.151%	628.257	21.453%	0.03088	0.966
ColoRect-AdenoCA::S.20	15665	0.962	3604.468	23.01%	593.713	27.477%	0.03866	0.913
ColoRect-AdenoCA::S.21	15270	0.956	4067.822	26.639%	703.401	29.443%	0.05027	0.922
ColoRect-AdenoCA::S.22	2444	0.993	374.31	15.315%	139.282	12.044%	0.03948	0.992
ColoRect-AdenoCA::S.23	13760	0.965	3289.322	23.905%	592.331	26.339%	0.03981	0.941
ColoRect-AdenoCA::S.24	8342	0.895	2750.357	32.97%	866.502	44.83%	0.07846	0.868
ColoRect-AdenoCA::S.25	12889	0.967	3259.613	25.29%	628.816	25.577%	0.05565	0.953
ColoRect-AdenoCA::S.26	16987	0.978	3409.238	20.07%	543.996	21.075%	0.03147	0.959
ColoRect-AdenoCA::S.27	14816	0.988	2770.099	18.697%	594.346	15.237%	0.03353	0.986
