Samples	SBS1	SBS2	SBS5	SBS13	SBS22	SBS29	SBS40	SBS41
Kidney-RCC::S.1	354	0	586	255	0	0	4511	0
Kidney-RCC::S.2	327	0	248	0	0	0	2697	0
Kidney-RCC::S.3	168	0	3029	0	0	0	5863	0
Kidney-RCC::S.4	456	0	1117	0	0	0	3498	0
Kidney-RCC::S.5	81	0	1367	0	0	0	1637	595
Kidney-RCC::S.6	306	0	656	0	0	0	5067	0
Kidney-RCC::S.7	130	0	1348	0	0	0	7010	0
Kidney-RCC::S.8	116	0	189	0	0	0	0	0
Kidney-RCC::S.9	539	0	2	0	0	0	1680	0
Kidney-RCC::S.10	186	0	932	0	0	0	6252	0
Kidney-RCC::S.11	61	0	880	0	0	0	1305	0
Kidney-RCC::S.12	150	0	0	0	0	0	4690	0
Kidney-RCC::S.13	61	0	5927	0	17731	0	0	0
Kidney-RCC::S.14	219	0	465	0	0	0	4832	0
Kidney-RCC::S.15	160	0	669	0	0	0	1577	0
Kidney-RCC::S.16	561	0	143	0	0	0	2844	0
Kidney-RCC::S.17	338	0	0	0	0	0	2743	0
Kidney-RCC::S.18	70	0	1449	0	0	0	2735	0
Kidney-RCC::S.19	176	0	321	0	0	0	2028	0
Kidney-RCC::S.20	283	0	1105	0	0	0	5818	0
Kidney-RCC::S.21	362	0	0	0	0	0	6965	0
Kidney-RCC::S.22	85	0	687	0	0	0	1708	0
Kidney-RCC::S.23	130	0	950	0	0	0	2914	665
Kidney-RCC::S.24	46	0	1394	0	0	0	2822	0
Kidney-RCC::S.25	292	0	776	0	0	0	6716	0
Kidney-RCC::S.26	508	0	1056	0	0	0	5661	0
Kidney-RCC::S.27	554	0	341	0	0	0	3786	0
Kidney-RCC::S.28	297	0	135	0	0	0	6478	0
Kidney-RCC::S.29	112	0	2170	0	0	0	1748	0
Kidney-RCC::S.30	136	0	1564	0	0	0	2172	0
Kidney-RCC::S.31	209	0	1321	0	0	0	6480	0
Kidney-RCC::S.32	202	0	456	0	0	0	2772	0
Kidney-RCC::S.33	396	0	896	0	0	0	4120	0
Kidney-RCC::S.34	214	0	955	0	0	0	2856	0
Kidney-RCC::S.35	379	0	356	0	0	0	5972	0
Kidney-RCC::S.36	116	0	182	0	0	0	0	0
Kidney-RCC::S.37	121	0	1181	0	0	0	4411	0
Kidney-RCC::S.38	130	0	1059	0	0	0	2639	0
Kidney-RCC::S.39	265	146	0	351	0	0	6977	0
Kidney-RCC::S.40	54	0	0	0	0	0	2214	0
Kidney-RCC::S.41	217	0	873	0	0	0	5125	994
Kidney-RCC::S.42	161	0	738	0	0	0	2794	0
Kidney-RCC::S.43	566	0	864	0	0	0	2762	0
Kidney-RCC::S.44	284	0	496	0	0	0	2153	607
Kidney-RCC::S.45	163	0	314	0	0	0	3800	0
Kidney-RCC::S.46	119	0	1215	0	0	0	2432	0
Kidney-RCC::S.47	346	0	877	0	0	0	3439	0
Kidney-RCC::S.48	156	0	845	0	0	0	2899	0
Kidney-RCC::S.49	248	0	2439	0	0	0	2230	0
Kidney-RCC::S.50	147	0	453	0	0	0	2235	0
Kidney-RCC::S.51	245	0	2731	0	0	0	0	0
Kidney-RCC::S.52	530	0	350	0	0	0	3548	0
Kidney-RCC::S.53	131	0	659	0	0	0	2690	0
Kidney-RCC::S.54	317	0	647	0	0	0	6912	0
Kidney-RCC::S.55	167	0	216	0	0	0	3232	0
Kidney-RCC::S.56	263	0	1100	0	0	0	3870	760
Kidney-RCC::S.57	401	0	1383	0	0	0	6393	0
Kidney-RCC::S.58	183	0	1113	0	0	0	2436	0
Kidney-RCC::S.59	106	0	415	0	0	0	4044	0
Kidney-RCC::S.60	287	0	512	0	0	0	947	0
Kidney-RCC::S.61	452	0	1506	0	0	0	6463	0
Kidney-RCC::S.62	348	0	834	0	0	0	6347	0
Kidney-RCC::S.63	349	0	0	341	0	0	4442	0
Kidney-RCC::S.64	67	0	715	0	0	0	2141	0
Kidney-RCC::S.65	145	0	1073	0	0	0	5295	0
Kidney-RCC::S.66	571	0	3556	0	0	0	9212	0
Kidney-RCC::S.67	434	0	760	0	0	0	1444	0
Kidney-RCC::S.68	176	0	0	0	0	0	4525	0
Kidney-RCC::S.69	53	0	724	0	0	0	2990	0
Kidney-RCC::S.70	525	0	1228	0	0	0	4343	0
Kidney-RCC::S.71	243	0	0	0	0	0	4110	0
Kidney-RCC::S.72	282	0	395	0	0	0	4912	0
Kidney-RCC::S.73	234	0	1856	0	0	0	7575	0
Kidney-RCC::S.74	405	0	1841	0	0	0	1993	0
Kidney-RCC::S.75	181	0	457	0	0	0	7886	0
Kidney-RCC::S.76	97	0	556	0	1049	0	4024	0
Kidney-RCC::S.77	218	0	401	0	0	0	5206	0
Kidney-RCC::S.78	294	0	2546	0	0	0	0	0
Kidney-RCC::S.79	10	0	1755	0	0	0	3807	0
Kidney-RCC::S.80	213	0	0	0	0	0	4606	0
Kidney-RCC::S.81	62	0	408	0	0	0	2980	0
Kidney-RCC::S.82	255	0	0	0	0	0	2933	0
Kidney-RCC::S.83	121	0	508	0	0	0	3066	0
Kidney-RCC::S.84	526	0	1111	0	0	0	6676	0
Kidney-RCC::S.85	85	0	2799	562	0	0	0	0
Kidney-RCC::S.86	141	0	99	0	0	0	5170	0
Kidney-RCC::S.87	240	0	367	0	0	0	4005	0
Kidney-RCC::S.88	253	0	0	0	4429	0	7764	0
Kidney-RCC::S.89	125	156	861	0	0	0	1444	0
Kidney-RCC::S.90	325	0	642	0	0	0	4469	0
Kidney-RCC::S.91	345	0	1090	0	0	0	2938	0
Kidney-RCC::S.92	251	0	55	0	0	0	1841	0
Kidney-RCC::S.93	247	0	221	0	0	0	4547	0
Kidney-RCC::S.94	304	0	58	0	0	0	2793	0
Kidney-RCC::S.95	85	0	2119	0	0	0	8928	0
Kidney-RCC::S.96	255	0	978	0	0	0	3290	0
Kidney-RCC::S.97	163	0	1009	0	0	0	3071	0
Kidney-RCC::S.98	240	0	469	0	0	0	9042	0
Kidney-RCC::S.99	194	0	3249	0	14658	0	0	0
