"tool_name","total_cpu_sec","sum_of_cpu_by_cancer_type"
"deconstruct_0.00",27.423,19.7049999999989
"deconstruct_0.03",28.2189999999999,20.5369999999994
"deconstruct_0.06",27.246,19.6490000000004
"deconstruct_0.10",27.901,20.3219999999996
"fitms_0.001",16.148,11.487
"fitms_0.005",16.257,11.606
"fitms_0.010",17.471,12.784
"fitms_0.030",20.171,15.473
"fitms_0.050",20.555,15.837
"fitms_0.060",20.484,15.805
"fitms_0.100",29.305,24.629
"fitms_0.200",30.573,25.852
"mp",21.7370000000001,13.381
"musical",660.662999999998,653.291999999998
"mutsig",13.5240000000004,6.20800000000018
"pasa",33467.57,33458.676
"sigest",9.125,0.215000000000003
"sigfit",3126.423,3120.575
"sigpro",392.681999999997,384.759999999997
"sigspack",NA,NA
"yapsa_0.00",7.92200000000017,0.247999999999593
"yapsa_0.01",7.89099999999982,0.230000000000018
"yapsa_0.03",7.83699999999958,0.230000000000928
"yapsa_0.06",7.83500000000004,0.228000000000975
"yapsa_0.10",7.85100000000003,0.231000000000471
"msa_default",480600,480600
"msa_thresholdx10",491760,491760
"msa_thresholdx100",504720,504720
"msa_thresholdx1000",529560,529560
