,ID1,ID2,ID4,ID5,ID6,ID8,ID9,ID10,ID14
Eso-AdenoCA::S.1,701.0,505.0,0.0,793.0,852.0,48.0,0.0,0.0,1099.0
Eso-AdenoCA::S.2,166.0,1269.0,42.0,661.0,16.0,0.0,42.0,0.0,0.0
Eso-AdenoCA::S.3,536.0,1226.0,0.0,502.0,0.0,0.0,34.0,0.0,2.0
Eso-AdenoCA::S.4,158.0,38.0,0.0,0.0,0.0,0.0,415.0,0.0,0.0
Eso-AdenoCA::S.5,239.0,298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eso-AdenoCA::S.6,71.0,598.0,0.0,0.0,0.0,60.0,66.0,0.0,92.0
Eso-AdenoCA::S.7,645.0,494.0,0.0,442.0,15.0,0.0,0.0,0.0,140.0
Eso-AdenoCA::S.8,446.0,749.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eso-AdenoCA::S.9,1217.0,20.0,0.0,428.0,0.0,0.0,0.0,0.0,0.0
Eso-AdenoCA::S.10,159.0,638.0,0.0,735.0,0.0,0.0,218.0,0.0,0.0
Eso-AdenoCA::S.11,279.0,48.0,0.0,1175.0,0.0,0.0,0.0,0.0,0.0
Eso-AdenoCA::S.12,515.0,1111.0,0.0,917.0,0.0,0.0,0.0,0.0,0.0
Eso-AdenoCA::S.13,210.0,846.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eso-AdenoCA::S.14,392.0,187.0,0.0,411.0,0.0,0.0,201.0,22.0,98.0
Eso-AdenoCA::S.15,72.0,342.0,0.0,96.0,0.0,0.0,21.0,0.0,124.0
Eso-AdenoCA::S.16,861.0,140.0,0.0,371.0,0.0,0.0,46.0,0.0,221.0
Eso-AdenoCA::S.17,316.0,827.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eso-AdenoCA::S.18,750.0,811.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0
Eso-AdenoCA::S.19,1851.0,527.0,0.0,530.0,0.0,102.0,0.0,0.0,335.0
Eso-AdenoCA::S.20,805.0,0.0,0.0,58.0,126.0,0.0,0.0,0.0,0.0
