,SBS1,SBS5,SBS10a,SBS10b,SBS15,SBS17a,SBS17b,SBS18,SBS28,SBS37,SBS40,SBS44
ColoRect-AdenoCA::MSI-H.S.1,9619.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41601.0
ColoRect-AdenoCA::MSI-H.S.2,20967.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55855.0
ColoRect-AdenoCA::MSI-H.S.3,15519.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53503.0
ColoRect-AdenoCA::MSI-H.S.4,10800.0,55757.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31482.0
ColoRect-AdenoCA::MSI-H.S.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80219.0
ColoRect-AdenoCA::MSI-H.S.6,21777.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76731.0
ColoRect-AdenoCA::MSI-H.S.7,25590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47076.0
ColoRect-AdenoCA::MSI-H.S.8,0.0,54598.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64322.0
ColoRect-AdenoCA::MSI-H.S.9,14497.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90445.0
ColoRect-AdenoCA::MSI-H.S.10,10244.0,62716.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43135.0
ColoRect-AdenoCA::MSI-H.S.11,2646.0,12021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8298.0
ColoRect-AdenoCA::MSI-H.S.12,17348.0,52425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61163.0
ColoRect-AdenoCA::MSI-H.S.13,15785.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61351.0
ColoRect-AdenoCA::MSI-H.S.14,19328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35746.0
ColoRect-AdenoCA::MSI-H.S.15,52235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30935.0
ColoRect-AdenoCA::MSI-H.S.16,0.0,0.0,0.0,0.0,25834.0,0.0,0.0,0.0,0.0,40452.0,0.0,76401.0
