,Stomach-AdenoCA::MSI-H.S.1,Stomach-AdenoCA::MSI-H.S.2,Stomach-AdenoCA::MSI-H.S.3,Stomach-AdenoCA::MSI-H.S.4,Stomach-AdenoCA::MSI-H.S.5,Stomach-AdenoCA::MSI-H.S.6,Stomach-AdenoCA::MSI-H.S.7,Stomach-AdenoCA::MSI-H.S.8,Stomach-AdenoCA::MSI-H.S.9
SBS1,12301.99450016252,7892.750944343542,11341.143226429918,32609.860721519333,10274.47540451491,9295.52505774391,8929.609767192325,14704.483760675992,10195.76234451789
SBS2,4502.286737901495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS5,137103.25763499486,17149.459762332823,17411.674346978987,32313.07270921526,113908.0023534842,153199.09157464272,8367.84313370884,78005.0164373025,53119.319416922815
SBS13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS15,18485.559023168975,67008.5057120363,68196.94188169355,2097.2374195743837,67365.01162778851,82078.7523054034,0.0,0.0,0.0
SBS17a,0.0,0.0,0.0,0.0,3104.1048128703333,0.0,3588.308831023455,5812.160371976777,0.0
SBS17b,0.0,3070.3647186393323,0.0,4663.0959353027465,0.0,0.0,3058.977726004476,0.0,2778.3232091143327
SBS18,4810.311733511615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS20,8769.611444522885,0.0,0.0,0.0,0.0,0.0,3845.695662561594,0.0,40736.57963333232
SBS21,0.0,14012.689248135206,0.0,5057.680113529925,0.0,0.0,0.0,0.0,63607.40772368193
SBS26,0.0,0.0,16292.561402396428,3724.6885975548767,0.0,0.0,0.0,0.0,11562.766630336322
SBS28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS44,23424.449141813137,9026.445741176009,20170.869220996392,15651.247893729462,0.0,8755.337472096697,9426.791807021647,39831.08392792621,37585.328146563814
