"Mutation type","Liver-HCC::S.1","Liver-HCC::S.2","Liver-HCC::S.3","Liver-HCC::S.4","Liver-HCC::S.5","Liver-HCC::S.6","Liver-HCC::S.7","Liver-HCC::S.8","Liver-HCC::S.9","Liver-HCC::S.10","Liver-HCC::S.11","Liver-HCC::S.12","Liver-HCC::S.13","Liver-HCC::S.14","Liver-HCC::S.15","Liver-HCC::S.16","Liver-HCC::S.17","Liver-HCC::S.18","Liver-HCC::S.19","Liver-HCC::S.20","Liver-HCC::S.21","Liver-HCC::S.22","Liver-HCC::S.23","Liver-HCC::S.24","Liver-HCC::S.25","Liver-HCC::S.26","Liver-HCC::S.27","Liver-HCC::S.28","Liver-HCC::S.29","Liver-HCC::S.30","Liver-HCC::S.31","Liver-HCC::S.32","Liver-HCC::S.33","Liver-HCC::S.34","Liver-HCC::S.35","Liver-HCC::S.36","Liver-HCC::S.37","Liver-HCC::S.38","Liver-HCC::S.39","Liver-HCC::S.40","Liver-HCC::S.41","Liver-HCC::S.42","Liver-HCC::S.43","Liver-HCC::S.44","Liver-HCC::S.45","Liver-HCC::S.46","Liver-HCC::S.47","Liver-HCC::S.48","Liver-HCC::S.49","Liver-HCC::S.50","Liver-HCC::S.51","Liver-HCC::S.52","Liver-HCC::S.53","Liver-HCC::S.54","Liver-HCC::S.55","Liver-HCC::S.56","Liver-HCC::S.57","Liver-HCC::S.58","Liver-HCC::S.59","Liver-HCC::S.60","Liver-HCC::S.61","Liver-HCC::S.62","Liver-HCC::S.63","Liver-HCC::S.64","Liver-HCC::S.65","Liver-HCC::S.66","Liver-HCC::S.67","Liver-HCC::S.68","Liver-HCC::S.69","Liver-HCC::S.70","Liver-HCC::S.71","Liver-HCC::S.72","Liver-HCC::S.73","Liver-HCC::S.74","Liver-HCC::S.75","Liver-HCC::S.76","Liver-HCC::S.77","Liver-HCC::S.78","Liver-HCC::S.79","Liver-HCC::S.80","Liver-HCC::S.81","Liver-HCC::S.82","Liver-HCC::S.83","Liver-HCC::S.84","Liver-HCC::S.85","Liver-HCC::S.86","Liver-HCC::S.87","Liver-HCC::S.88","Liver-HCC::S.89","Liver-HCC::S.90","Liver-HCC::S.91","Liver-HCC::S.92","Liver-HCC::S.93","Liver-HCC::S.94","Liver-HCC::S.95","Liver-HCC::S.96","Liver-HCC::S.97","Liver-HCC::S.98","Liver-HCC::S.99"
"DEL_C_1_0",36,17,4,20,34,39,19,42,42,34,7,17,37,8,29,14,38,9,32,16,35,18,29,35,47,45,10,22,35,18,34,7,54,34,32,15,40,15,25,20,15,19,32,32,37,15,20,31,35,58,86,12,37,15,17,19,39,25,16,11,25,13,79,13,41,4,24,18,4,34,22,11,19,24,21,13,37,24,16,11,53,65,8,41,31,22,27,16,36,6,33,10,22,62,41,8,24,30,17
"DEL_C_1_1",39,25,6,18,102,18,7,24,16,32,5,26,20,48,37,28,65,93,29,63,30,13,205,35,39,45,25,46,46,23,24,12,47,99,39,39,19,37,5,33,22,23,16,45,25,13,21,23,33,76,84,27,31,17,46,36,21,18,55,25,16,11,84,25,22,22,69,4,8,63,23,31,25,16,99,19,19,72,64,21,16,58,2,38,51,15,56,42,34,8,39,12,53,43,49,4,81,76,35
"DEL_C_1_2",22,23,13,16,26,43,16,16,7,21,2,39,16,44,21,83,44,45,29,62,11,18,90,46,90,30,22,46,19,11,41,12,12,21,42,17,10,59,11,34,16,30,13,8,26,11,29,16,83,78,138,33,32,20,41,58,27,23,33,12,8,16,20,5,9,47,10,20,8,35,20,12,59,17,29,10,11,16,13,18,24,110,2,30,38,5,48,55,8,5,45,19,23,60,25,7,43,46,15
"DEL_C_1_3",7,6,3,4,17,23,12,9,4,10,5,9,9,23,15,18,27,14,22,34,13,13,46,10,20,12,3,5,14,3,13,8,17,22,16,22,6,10,6,22,7,9,7,11,12,9,14,10,16,34,31,3,10,13,24,26,33,18,12,6,17,2,11,12,7,3,11,4,2,11,4,11,4,13,7,10,6,13,10,3,16,40,2,14,12,7,37,28,15,5,12,9,6,2,6,2,33,16,20
"DEL_C_1_4",1,4,0,2,6,16,3,1,2,11,0,4,5,7,5,7,8,7,1,11,20,5,35,5,12,8,5,5,8,3,10,0,6,7,3,8,3,10,0,10,2,6,2,10,14,0,14,5,3,29,30,3,10,5,11,14,9,15,7,3,10,0,9,1,2,4,8,4,2,5,14,8,4,3,3,4,6,6,7,2,4,4,0,11,10,3,8,7,21,1,10,5,0,6,1,1,8,10,1
"DEL_C_1_5+",2,5,1,5,4,17,0,0,4,4,0,1,4,3,1,6,1,1,12,9,7,1,8,6,4,2,3,4,4,6,3,1,6,6,8,7,3,10,5,11,3,2,6,4,1,1,4,6,4,19,3,4,7,4,0,4,4,5,7,0,8,3,7,4,3,8,3,1,1,9,1,3,2,1,3,1,0,7,10,2,5,3,0,5,1,1,7,6,1,1,6,2,3,6,7,1,8,6,5
"DEL_T_1_0",54,42,41,14,16,14,24,29,27,30,10,86,34,26,37,20,24,23,58,37,25,17,60,26,53,16,5,21,38,20,44,6,28,21,43,16,20,9,33,15,20,4,15,16,53,41,19,23,33,52,62,19,33,29,35,15,23,18,27,11,25,19,36,47,28,53,34,31,27,11,7,14,21,30,29,38,64,18,43,18,21,51,10,18,14,14,22,33,44,15,35,19,19,32,26,34,32,61,31
"DEL_T_1_1",13,15,17,19,25,27,30,36,14,82,13,56,21,15,30,10,45,9,15,58,30,22,25,80,28,15,12,22,52,16,25,21,7,16,15,24,12,5,17,12,43,4,11,8,20,35,11,19,42,35,36,13,17,6,11,18,16,10,10,14,31,53,29,73,25,17,9,23,24,24,11,15,29,57,4,26,10,22,31,18,9,28,29,9,16,20,19,27,15,14,16,15,28,11,21,12,16,47,37
"DEL_T_1_2",32,60,18,11,32,23,16,12,28,40,7,14,18,8,28,13,31,13,35,27,26,23,50,63,37,22,7,9,52,21,18,35,22,9,9,27,12,19,19,20,39,10,9,26,29,37,65,23,17,66,40,11,12,12,8,19,49,45,31,26,48,77,18,72,49,43,24,22,8,14,44,26,27,23,11,26,14,16,41,16,18,26,8,13,8,12,20,45,14,22,43,21,11,28,22,44,13,49,12
"DEL_T_1_3",36,34,16,9,27,16,8,33,25,24,2,67,22,18,74,33,10,11,17,25,27,9,35,49,33,18,1,6,26,18,12,7,14,7,36,21,14,8,20,16,31,7,14,13,47,27,45,11,22,19,16,11,10,24,7,8,6,31,13,11,13,19,6,21,38,31,14,17,11,21,44,19,16,14,20,35,19,12,7,18,18,40,12,10,11,38,3,23,9,6,38,11,11,23,25,47,18,22,16
