Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Eso-AdenoCA::S.1	21041	0.98	4062.804	19.309%	609.382	20.053%	0.03054	0.959
Eso-AdenoCA::S.2	46067	0.882	13916.799	30.21%	3774.911	47.306%	0.08006	0.813
Eso-AdenoCA::S.3	21349	0.994	3920.341	18.363%	768.802	11.298%	0.04436	0.993
Eso-AdenoCA::S.4	12997	0.974	3447.19	26.523%	657.681	22.642%	0.0929	0.967
Eso-AdenoCA::S.5	24760	0.967	5436.281	21.956%	809.608	25.527%	0.04021	0.907
Eso-AdenoCA::S.6	82729	0.991	18095.469	21.873%	6325.226	13.938%	0.18548	0.991
Eso-AdenoCA::S.7	26604	0.994	3795.052	14.265%	893.999	10.916%	0.01923	0.994
Eso-AdenoCA::S.8	24615	0.968	5676.835	23.063%	968.439	25.387%	0.04572	0.943
Eso-AdenoCA::S.9	34058	0.991	7364.274	21.623%	1259.283	13.845%	0.046	0.99
Eso-AdenoCA::S.10	37705	0.962	8857.841	23.492%	1626.918	27.492%	0.05006	0.933
Eso-AdenoCA::S.11	16273	0.994	2751.262	16.907%	441.665	12.487%	0.02856	0.992
Eso-AdenoCA::S.12	48529	0.992	7482.162	15.418%	1040.802	13.006%	0.02401	0.986
Eso-AdenoCA::S.13	22908	0.995	3981.369	17.38%	782.6	10.169%	0.05023	0.994
Eso-AdenoCA::S.14	75969	0.986	17245.0	22.7%	3244.389	16.681%	0.06155	0.984
Eso-AdenoCA::S.15	13288	0.991	2148.264	16.167%	374.889	13.621%	0.02419	0.988
Eso-AdenoCA::S.16	38089	0.976	10604.855	27.842%	1847.267	22.231%	0.07466	0.97
Eso-AdenoCA::S.17	16314	0.969	3599.858	22.066%	587.847	25.078%	0.04347	0.94
Eso-AdenoCA::S.18	23874	0.969	5261.385	22.038%	791.629	24.902%	0.03836	0.922
Eso-AdenoCA::S.19	10730	0.972	2545.636	23.724%	612.72	23.666%	0.04511	0.965
Eso-AdenoCA::S.20	59308	0.995	8995.582	15.168%	2373.247	10.133%	0.02731	0.995
Eso-AdenoCA::S.21	49566	0.989	10918.875	22.029%	3468.732	14.827%	0.04338	0.989
Eso-AdenoCA::S.22	25120	0.982	6817.884	27.141%	1019.776	18.705%	0.06291	0.978
Eso-AdenoCA::S.23	17908	0.992	2996.198	16.731%	583.77	13.421%	0.02189	0.991
Eso-AdenoCA::S.24	44267	0.992	9039.222	20.42%	1639.399	13.338%	0.06134	0.991
Eso-AdenoCA::S.25	33722	0.988	8107.564	24.042%	1384.513	16.743%	0.06662	0.985
Eso-AdenoCA::S.26	35508	0.978	7288.619	20.527%	1122.706	20.876%	0.03769	0.96
Eso-AdenoCA::S.27	22294	0.991	4305.543	19.313%	778.795	13.042%	0.0414	0.99
Eso-AdenoCA::S.28	37261	0.97	10840.564	29.094%	2910.725	25.692%	0.08624	0.967
Eso-AdenoCA::S.29	9952	0.959	2819.061	28.327%	774.176	28.225%	0.06554	0.953
Eso-AdenoCA::S.30	22757	0.989	4205.406	18.48%	701.178	15.004%	0.03783	0.986
Eso-AdenoCA::S.31	46686	0.994	8992.813	19.262%	1508.853	11.006%	0.04358	0.994
Eso-AdenoCA::S.32	43198	0.983	12527.705	29.001%	2369.561	18.372%	0.10029	0.981
Eso-AdenoCA::S.33	12666	0.987	2196.962	17.345%	337.643	16.259%	0.02751	0.978
Eso-AdenoCA::S.34	10833	0.997	1613.398	14.893%	383.762	8.954%	0.03422	0.997
Eso-AdenoCA::S.35	24280	0.989	3921.045	16.149%	556.861	14.801%	0.02264	0.981
Eso-AdenoCA::S.36	58804	0.983	12048.916	20.49%	1788.072	19.304%	0.03952	0.971
Eso-AdenoCA::S.37	36975	0.972	8016.69	21.681%	1249.33	23.652%	0.04223	0.943
Eso-AdenoCA::S.38	29882	0.992	5846.658	19.566%	883.189	12.536%	0.03728	0.991
Eso-AdenoCA::S.39	22297	0.96	4956.209	22.228%	803.705	27.921%	0.03828	0.891
Eso-AdenoCA::S.40	18408	0.995	3541.147	19.237%	693.274	10.414%	0.05118	0.994
Eso-AdenoCA::S.41	31786	0.992	4289.488	13.495%	598.115	12.414%	0.01949	0.986
Eso-AdenoCA::S.42	23411	0.981	4618.584	19.728%	690.736	19.493%	0.03319	0.965
Eso-AdenoCA::S.43	25903	0.974	5404.948	20.866%	826.289	22.717%	0.03521	0.944
Eso-AdenoCA::S.44	14225	0.99	2888.684	20.307%	553.436	14.248%	0.03704	0.989
Eso-AdenoCA::S.45	41534	0.991	6761.925	16.28%	1117.221	13.633%	0.02489	0.988
