"Mutation type","DBS2","DBS3","DBS4","DBS5","DBS7","DBS9","DBS10"
"AC>CA",0.000374079158890813,0.0063473232068572,0.00414185748142889,0.0021398219882088,0.0458801320676095,0.0245918183020509,0.00963041738228935
"AC>CG",3.17067094567882e-05,4.64803982864346e-05,4.96222538837858e-05,0.00046196156941704,0.00624729467151545,0.00206931154005063,1.77007671512483e-05
"AC>CT",0.000126026668503322,0.00301872694247382,8.32373290953826e-18,0.0020198319701784,0.0135941132052176,0.0284905212035956,0.0135005851153589
"AC>GA",0.00023705016218482,0.00584753397797081,0.00440197413485197,0.00055795358384136,0.00972578834461525,0.0252915854895076,0.00535023187904964
"AC>GG",4.17088260046709e-18,0.000449810305997754,7.01314515575279e-18,1.1099076667812e-17,0.00253890055450388,0.00712762863795216,0.000590025571708278
"AC>GT",0.000280059263340716,0.0100957424235052,1.12050250705323e-08,0.00082193162350824,0.00449805216349112,0.012095975668895,0.0287012439119112
"AC>TA",0.00148031324908664,0.00100957424235052,0.001270569807105,0.0014798768890416,0.0054176539391382,0.041186297318882,0.000105004550897236
"AC>TG",6.3613461244534e-06,1.10953208812779e-17,5.31238242183271e-05,0.0011199068349504,0.000997568013147587,0.0178940466506793,7.66033199878883e-06
"AC>TT",0.00292061803198175,1.77924965483556e-06,0.000161072235388901,0.0074693786223924,0.00117948923398212,0.0443852330329699,0.000710030772733691
"AT>CA",3.78080005509966e-05,0.00703703234272043,0.000916410978982818,0.00010799101622736,0.0110951953366114,0.0126957761152864,0.00353015299683088
"AT>CC",4.17088260046709e-18,0.00907617239657691,7.00314066908267e-18,2.1298228200396e-05,0.00625729034298987,0.00177940799096141,0.00116005027657899
"AT>CG",4.17088260046709e-18,0.0145938454834827,9.46424438993173e-18,1.049912657766e-17,0.00110951953366114,9.21693352621583e-18,0.00259011225546515
"AT>GA",0.000168035558004429,0.00180923700856875,0.000324145368111827,0.0011099076667812,0.0143937669231716,0.00636788140585627,8.0603493355402e-05
"AT>GC",5.85123818051138e-06,0.00524778690330714,1.76078965394079e-05,1.049912657766e-17,0.00928597879974056,0.00180939801328098,0.00408017683486402
"AT>TA",0.000458096937893028,0.00234900937576605,0.0045320324615635,0.00079293403581756,0.033985283013044,0.00919694017800278,0.00293012699170382
"CC>AA",0.724153238066708,0.00908616818115464,7.00314066908267e-18,1.049912657766e-17,9.03608701287993e-18,9.01700004408534e-18,0.0137005937837346
"CC>AG",0.0726153661376284,1.10953208812779e-17,0.00543243626187413,0.024297978651156,8.29640732377251e-05,0.0263912196412254,7.13030902759326e-05
