,SBS1,SBS2,SBS3,SBS5,SBS8,SBS13,SBS18,SBS35,SBS39,SBS40,SBS41
Ovary-AdenoCA::S.1,469.0,0.0,4217.0,1599.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ovary-AdenoCA::S.2,996.0,0.0,2743.0,0.0,0.0,0.0,1135.0,0.0,0.0,2058.0,0.0
Ovary-AdenoCA::S.3,767.0,0.0,2021.0,1571.0,0.0,0.0,491.0,0.0,0.0,0.0,0.0
Ovary-AdenoCA::S.4,571.0,154.0,1719.0,1520.0,0.0,460.0,0.0,0.0,0.0,758.0,0.0
Ovary-AdenoCA::S.5,423.0,0.0,7470.0,1808.0,0.0,474.0,0.0,769.0,0.0,4501.0,0.0
Ovary-AdenoCA::S.6,269.0,286.0,6623.0,1715.0,0.0,0.0,790.0,0.0,0.0,0.0,0.0
Ovary-AdenoCA::S.7,454.0,272.0,2377.0,2165.0,0.0,0.0,0.0,0.0,349.0,0.0,0.0
Ovary-AdenoCA::S.8,389.0,0.0,2191.0,2686.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ovary-AdenoCA::S.9,582.0,0.0,3639.0,0.0,0.0,504.0,1212.0,0.0,0.0,1141.0,0.0
Ovary-AdenoCA::S.10,291.0,0.0,2550.0,0.0,0.0,1183.0,0.0,0.0,0.0,3352.0,0.0
Ovary-AdenoCA::S.11,533.0,105.0,5827.0,0.0,0.0,105.0,0.0,0.0,0.0,2068.0,0.0
Ovary-AdenoCA::S.12,307.0,74.0,1740.0,1429.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ovary-AdenoCA::S.13,791.0,1456.0,2871.0,873.0,0.0,507.0,0.0,462.0,0.0,3494.0,0.0
Ovary-AdenoCA::S.14,581.0,70.0,0.0,986.0,322.0,0.0,816.0,0.0,0.0,2476.0,306.0
Ovary-AdenoCA::S.15,287.0,108.0,1490.0,2318.0,0.0,0.0,467.0,0.0,0.0,4591.0,0.0
Ovary-AdenoCA::S.16,469.0,0.0,0.0,1614.0,0.0,655.0,0.0,0.0,0.0,0.0,0.0
Ovary-AdenoCA::S.17,396.0,448.0,3136.0,700.0,0.0,288.0,0.0,0.0,381.0,0.0,0.0
Ovary-AdenoCA::S.18,233.0,97.0,1771.0,0.0,0.0,203.0,2179.0,0.0,0.0,0.0,0.0
Ovary-AdenoCA::S.19,762.0,265.0,4764.0,2671.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ovary-AdenoCA::S.20,486.0,0.0,675.0,3627.0,0.0,0.0,1017.0,0.0,0.0,0.0,0.0
Ovary-AdenoCA::S.21,336.0,0.0,3902.0,4385.0,0.0,0.0,0.0,0.0,1307.0,3593.0,0.0
Ovary-AdenoCA::S.22,372.0,0.0,6708.0,7937.0,0.0,0.0,541.0,0.0,0.0,0.0,0.0
Ovary-AdenoCA::S.23,342.0,0.0,4859.0,647.0,0.0,0.0,1904.0,0.0,0.0,0.0,0.0
Ovary-AdenoCA::S.24,181.0,0.0,4100.0,833.0,0.0,758.0,260.0,0.0,0.0,1049.0,196.0
Ovary-AdenoCA::S.25,377.0,85.0,2722.0,750.0,0.0,0.0,195.0,0.0,0.0,2696.0,0.0
Ovary-AdenoCA::S.26,332.0,514.0,2349.0,1017.0,0.0,0.0,0.0,0.0,0.0,5086.0,0.0
Ovary-AdenoCA::S.27,599.0,0.0,5864.0,1034.0,0.0,0.0,1446.0,0.0,0.0,0.0,0.0
Ovary-AdenoCA::S.28,203.0,157.0,4385.0,3932.0,0.0,0.0,0.0,656.0,0.0,3183.0,0.0
Ovary-AdenoCA::S.29,354.0,536.0,2730.0,771.0,0.0,0.0,401.0,0.0,0.0,0.0,0.0
Ovary-AdenoCA::S.30,504.0,183.0,4417.0,0.0,0.0,689.0,303.0,0.0,0.0,2570.0,0.0
Ovary-AdenoCA::S.31,351.0,72.0,2033.0,1080.0,0.0,541.0,0.0,0.0,0.0,0.0,0.0
Ovary-AdenoCA::S.32,571.0,154.0,5653.0,1310.0,0.0,644.0,329.0,0.0,1397.0,4645.0,0.0
Ovary-AdenoCA::S.33,314.0,204.0,3854.0,1164.0,0.0,0.0,255.0,0.0,461.0,0.0,0.0
Ovary-AdenoCA::S.34,649.0,0.0,11847.0,4343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ovary-AdenoCA::S.35,975.0,0.0,2263.0,3353.0,0.0,240.0,0.0,0.0,0.0,0.0,0.0
Ovary-AdenoCA::S.36,622.0,510.0,1003.0,488.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0
Ovary-AdenoCA::S.37,1128.0,0.0,7325.0,0.0,0.0,759.0,0.0,0.0,0.0,0.0,0.0
Ovary-AdenoCA::S.38,833.0,0.0,5064.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ovary-AdenoCA::S.39,915.0,0.0,0.0,438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ovary-AdenoCA::S.40,743.0,553.0,3961.0,3097.0,0.0,325.0,1362.0,0.0,0.0,3405.0,0.0
Ovary-AdenoCA::S.41,508.0,129.0,3808.0,1667.0,0.0,396.0,0.0,0.0,0.0,2443.0,0.0
Ovary-AdenoCA::S.42,386.0,0.0,1449.0,2620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ovary-AdenoCA::S.43,1022.0,506.0,3412.0,1203.0,0.0,0.0,191.0,0.0,0.0,0.0,0.0
Ovary-AdenoCA::S.44,894.0,658.0,5567.0,4090.0,0.0,0.0,0.0,0.0,0.0,3774.0,0.0
Ovary-AdenoCA::S.45,467.0,207.0,3451.0,1652.0,0.0,495.0,547.0,0.0,820.0,0.0,0.0
Ovary-AdenoCA::S.46,424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3407.0,0.0
Ovary-AdenoCA::S.47,190.0,0.0,0.0,5416.0,0.0,578.0,0.0,0.0,0.0,0.0,0.0
Ovary-AdenoCA::S.48,935.0,0.0,7995.0,0.0,0.0,307.0,491.0,431.0,0.0,4856.0,442.0
Ovary-AdenoCA::S.49,453.0,0.0,5774.0,0.0,0.0,0.0,0.0,0.0,0.0,9745.0,0.0
Ovary-AdenoCA::S.50,1016.0,449.0,0.0,1592.0,0.0,983.0,0.0,0.0,0.0,0.0,0.0
Ovary-AdenoCA::S.51,1321.0,0.0,9782.0,0.0,0.0,0.0,0.0,989.0,0.0,1455.0,0.0
Ovary-AdenoCA::S.52,551.0,0.0,4030.0,901.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ovary-AdenoCA::S.53,364.0,0.0,2620.0,0.0,0.0,0.0,166.0,0.0,0.0,0.0,0.0
Ovary-AdenoCA::S.54,208.0,0.0,3528.0,0.0,0.0,695.0,0.0,0.0,0.0,3864.0,318.0
Ovary-AdenoCA::S.55,846.0,343.0,0.0,2139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ovary-AdenoCA::S.56,998.0,0.0,3309.0,0.0,0.0,103.0,0.0,0.0,540.0,0.0,0.0
Ovary-AdenoCA::S.57,386.0,0.0,2578.0,1602.0,0.0,1683.0,0.0,0.0,0.0,729.0,0.0
Ovary-AdenoCA::S.58,794.0,0.0,5280.0,0.0,0.0,492.0,0.0,364.0,0.0,0.0,0.0
Ovary-AdenoCA::S.59,439.0,389.0,3022.0,3381.0,0.0,0.0,0.0,529.0,0.0,0.0,546.0
Ovary-AdenoCA::S.60,308.0,111.0,4848.0,3501.0,0.0,0.0,0.0,397.0,0.0,1207.0,0.0
Ovary-AdenoCA::S.61,373.0,467.0,998.0,1882.0,0.0,0.0,257.0,0.0,0.0,5589.0,0.0
Ovary-AdenoCA::S.62,901.0,0.0,6583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.0
Ovary-AdenoCA::S.63,942.0,0.0,4286.0,0.0,0.0,0.0,0.0,0.0,0.0,3649.0,0.0
Ovary-AdenoCA::S.64,502.0,0.0,7086.0,1208.0,0.0,304.0,0.0,0.0,0.0,0.0,0.0
Ovary-AdenoCA::S.65,562.0,0.0,7153.0,0.0,2614.0,0.0,0.0,0.0,731.0,0.0,0.0
Ovary-AdenoCA::S.66,389.0,0.0,2678.0,3281.0,0.0,540.0,0.0,0.0,0.0,0.0,0.0
Ovary-AdenoCA::S.67,317.0,0.0,0.0,1394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ovary-AdenoCA::S.68,727.0,0.0,1288.0,1062.0,0.0,0.0,0.0,279.0,408.0,0.0,140.0
