Mutation type,Stomach-AdenoCA::MSI-H.S.1,Stomach-AdenoCA::MSI-H.S.2,Stomach-AdenoCA::MSI-H.S.3,Stomach-AdenoCA::MSI-H.S.4,Stomach-AdenoCA::MSI-H.S.5,Stomach-AdenoCA::MSI-H.S.6,Stomach-AdenoCA::MSI-H.S.7,Stomach-AdenoCA::MSI-H.S.8,Stomach-AdenoCA::MSI-H.S.9,Stomach-AdenoCA::MSI-H.S.10,Stomach-AdenoCA::MSI-H.S.11,Stomach-AdenoCA::MSI-H.S.12,Stomach-AdenoCA::MSI-H.S.13,Stomach-AdenoCA::MSI-H.S.14,Stomach-AdenoCA::MSI-H.S.15,Stomach-AdenoCA::MSI-H.S.16,Stomach-AdenoCA::MSI-H.S.17,Stomach-AdenoCA::MSI-H.S.18,Stomach-AdenoCA::MSI-H.S.19,Stomach-AdenoCA::MSI-H.S.20,Stomach-AdenoCA::MSI-H.S.21,Stomach-AdenoCA::MSI-H.S.22,Stomach-AdenoCA::MSI-H.S.23,Stomach-AdenoCA::MSI-H.S.24,Stomach-AdenoCA::MSI-H.S.25,Stomach-AdenoCA::MSI-H.S.26,Stomach-AdenoCA::MSI-H.S.27,Stomach-AdenoCA::MSI-H.S.28,Stomach-AdenoCA::MSI-H.S.29,Stomach-AdenoCA::MSI-H.S.30,Stomach-AdenoCA::MSI-H.S.31,Stomach-AdenoCA::MSI-H.S.32,Stomach-AdenoCA::MSI-H.S.33,Stomach-AdenoCA::MSI-H.S.34
AC>CA,0.7157462282776992,0.7234339307748421,-4.609734744770357,4.480649536964014,-0.9307703498019859,2.2382739448823017,-2.3074660825729834,8.170872925591054,-0.6791406790328174,2.3952931533126387,-1.6644715489794635,-12.238205413442923,-1.7579234919548705,0.23843928752146804,0.38230450081292444,8.866482474426736,-1.4274582314669244,0.724582188679312,5.6418901393846514,-4.356338023304621,0.09630708528355947,5.307624252606324,1.471426785339644,-1.8771078782745816,0.25100485465050015,-0.6707825097072577,2.3396018235383202,-5.983236258738318,15.06936311520511,-1.5799901215147738,-4.454372918999876,-10.335530241148753,5.448057080073545,-2.5918239594075483
AC>CG,0.1094005907711264,-0.38450962608952577,-1.050695409062872,1.8468593532479582,0.5686900951013951,-0.5467658633011918,-0.29553185947922567,-0.4437973469128743,0.6609070463735932,1.4950684100867955,-0.6481764676636842,-1.4969542937446765,-0.31830879152561914,-0.15114014592900873,-0.17507909938032995,5.207473562769123,0.27610604018437923,-0.5043380732048296,1.6266302551942875,-1.3188329413272588,-0.2095573013285606,-0.33836309039523044,-0.3045425606991138,0.6820992875038847,-0.36173474777653636,0.6379954293773087,-0.5360441885997698,-0.7170210715991686,-0.45826713326596447,-0.7336198616496072,0.36443761415446774,-1.4062863878851386,-0.17206467114616508,-0.24198862362857188
AC>CT,-0.6596100652919725,-1.0046858681823512,1.4603511077230724,-0.3409834469171764,-0.6690209259186246,9.38790723987957,-2.3751010231094547,0.4230277088395773,-2.9383543002639434,4.332919950581232,11.507648061315672,-4.982487644465634,1.014700829985888,2.811018816057877,1.842491367089542,0.12331428241808973,16.12375872933525,-2.078097912638152,-0.22385006274906027,-2.669304937375811,-1.3438779092982611,2.06859237319311,0.744257174233915,7.594466110487201,-0.9715102954191904,1.1826751636628958,-3.2388295221634396,-1.3835995565156871,4.915422896643785,-1.80000819289927,-1.7855651441239084,-3.064038493179973,-0.5139241392055052,-1.4731227680033803
AC>GA,-2.1092236746452095,-2.0187223433601256,-1.1419611527523363,-1.165597535251057,0.6364400529953187,-2.2465608941585504,0.9569794257900037,-0.47350004049756844,-1.7603116052628547,-2.3886911238356783,-2.019061956280339,0.16993644717392797,2.1085614948567075,-1.1289011962947375,1.9949149002145583,-1.534972727624505,2.28984167075016,-1.8845891535309367,0.08736538599955002,1.142656806738326,1.8467774963180876,-0.816712351297057,-0.07819812448972918,0.6769849647114055,-0.7483236842833578,-0.24366783813518111,-0.017670330880380725,10.210054889584464,5.245318501579859,-0.7099826827825053,1.517087180616679,3.8026144301267837,0.45105776482673976,0.46627544317278957
AC>GG,-0.4401968618395924,1.0688074495486346,-0.4810597638182758,-0.32634581738161744,0.3715887802883403,2.428207172977208,-0.8348019331023496,1.6807416525413532,-0.6920681432075368,-0.5867955281375168,1.1923798203928517,-0.27447399887848856,-0.16351873829312844,0.7626807179469264,0.7273760020015893,-0.3445546813202588,1.4133881567717639,-0.45826239402435326,-0.5136085845085991,-0.6750387595903037,-0.3160484530893863,-0.18090463659001235,-0.790131627290327,-0.29858091861069674,-0.1933549593715616,-0.5742604929962841,-0.9874935573630221,0.2327793846197167,2.0375350282222646,-0.5643749427439775,-0.48022988559328317,-0.5718632604567162,-0.08896690845874021,0.693319351126922
AC>GT,3.040788482072138,0.03618961000705312,-2.429366368534732,-0.5558338866430053,1.9235082609027983,-0.4190681896430637,-1.4523521706790343,-1.1508974891328245,-0.8069534462732746,2.3983968416999653,-0.41598833466077556,-2.7715201531712426,-0.9713632020474348,-0.19072668162944417,0.4803578885703996,0.9046466896227578,1.903897524910279,3.148692806996855,-8.6179651912488e-06,1.8430323386667715,-0.5729675703802993,1.5494132065968165,-0.7177143984762226,0.9943536837543383,0.6424025286190989,-0.036878335789100714,-1.5588249021386282,8.661715902619857,-2.3569386009165076,-0.3532679926328042,5.119047967107789,-0.02615713266881592,-0.6088029989861905,-1.264967998237994
AC>TA,-1.1764441589226144,1.248208389161932,-0.9384460243398377,0.21230437203687824,5.749931838811517,-1.6363726664972056,-2.7639160274987473,-0.15138810486993082,2.3493647410802363,0.24351617992164476,5.991686320717548,-3.4167853131941603,1.6058014522510882,8.887674304284165,4.584933368025402,0.26217512392969056,3.672387878769632,-2.0852541951068027,0.40984676060527603,-1.8768639552940005,-1.6329048570776499,-0.5727513685513808,-1.4001777970926632,1.7385735802713664,0.38794811292077525,3.145108412953969,-1.1719332525538082,0.3915749027533635,-4.145030254563764,0.9454909920377266,-0.4482405009088626,-0.23289779744865835,-0.29713207574930645,4.511708103594419
AC>TG,-0.28390992728419756,-1.9886180997923044,0.8316690815164289,-0.7623202805202359,-1.3390218043354216,2.983238227361661,-2.041674052632371,-0.38196719743514757,-1.5211830555244468,-0.08634502059700955,-1.6228245002033197,1.942385788923854,-0.07694257335073043,-0.4358510898522438,-0.584364575115293,-0.12616357463631162,1.1913327486376668,-0.7870051467729863,-1.0596569731029446,0.49003698743945856,-0.6754135101905745,-0.16447272570836435,-1.8639724238945412,0.5389294697087313,-0.1867339812415386,0.8177142419843075,-1.1303021967099887,-0.4429758958925867,0.8432640255366435,-0.6826902890197936,1.5352490317007343,-0.22474148247916637,-0.02740307057770078,0.45625545093173947
AC>TT,0.43706817228781314,-0.9715543656911292,-0.29747062387757806,-0.8771718387149248,1.7243972557278746,-2.5202519913589656,1.914647381273391,0.1360050941488411,-2.7395336700011925,-2.671412268160703,-2.9573743585706356,1.1141551606646871,-0.1346127651819921,-1.0702013444425442,2.553348219401152,-0.14926414628440188,-0.9326745473079432,-1.8894143843274922,6.4019750279255625,-0.012552371726977762,1.3356023673588424,-0.34755239108664987,-4.60816311435056,-1.1120166279420745,-0.4000198747459593,-0.9091617655840083,-1.2489701597740472,-2.4776432714191334,-1.3162063071637604,1.4362173565345828,-0.1361302701356486,-0.2910239101963933,-0.23963379263302703,-1.4175711311453185
AT>CA,0.02063605251124878,-1.4833180105880448,4.806878235777949,2.34905365944383,0.5647626074869729,0.2956703030219139,-1.5823609666996823,-0.3970822429654808,-1.8235919537849181,0.20211263431142057,-1.9656541233427587,-2.7818274769433726,0.061201586246307116,10.119727390021158,1.364819909756511,-1.7701939560750213,-2.3818103997825184,5.6783180879571535,-0.23735855595119415,-1.9150997800474636,5.279195089207272,0.2516921735824361,-0.7692035673110882,-0.14100666743856527,1.285471613196378,3.5776077841578395,-2.6336394571160184,-1.9579067445825176,-0.3587114158413627,-1.6192788523470494,-1.0465013567427413,8.494830394827826,-0.6266664295629513,-0.14553813748745803
