Mutation type,Stomach-AdenoCA::MSI-H.S.1,Stomach-AdenoCA::MSI-H.S.2,Stomach-AdenoCA::MSI-H.S.3,Stomach-AdenoCA::MSI-H.S.4,Stomach-AdenoCA::MSI-H.S.5,Stomach-AdenoCA::MSI-H.S.6,Stomach-AdenoCA::MSI-H.S.7,Stomach-AdenoCA::MSI-H.S.8,Stomach-AdenoCA::MSI-H.S.9,Stomach-AdenoCA::MSI-H.S.10
DEL_C_1_0,267.01639659465826,-431.5876904226073,160.49438917709392,-157.79595919635824,-50.41274645216225,-66.76610008243688,617.1230605958308,-148.99790727969452,-354.825984373849,33.78836751876028
DEL_C_1_1,-4.101780790101779,3.2823897608268098,11.114323414001671,-8.610334896935814,-0.19626180145601513,-7.68691421009958,8.42055398904379,8.203125983604057,-12.087938796183476,-10.010678800803497
DEL_C_1_2,0.7508741922412345,0.6918668715802232,-0.07839982716497398,-0.33140046737453666,-0.30906670599675146,-0.2094114125478939,0.8131995937663055,0.8128837703248649,-0.33658695684152745,0.9269003481469161
DEL_C_1_3,72.56386952992628,-164.15517248788922,90.00675029539332,-43.1130572965414,-54.67086376000819,-64.47309717488571,48.233259760013595,106.38381795330704,-135.84854310725154,145.2926906826146
DEL_C_1_4,115.7830002316411,-256.1398372784184,170.81904316305224,-377.0960551843221,233.70004262748347,342.3318877287303,-6.024062362894341,-102.78675036322386,-236.70825060479996,59.4660584096266
DEL_C_1_5+,509.5087413097947,-924.436150358948,375.7017086172346,-288.1657553632192,-642.4568978861303,987.010538154753,277.46634570861795,-209.2417076879292,-960.4556390243404,839.9053950131502
DEL_T_1_0,972.7849381257047,-530.029580320156,-112.64069589081072,41.067009641390996,1215.318048442986,51.57702660204836,731.7489995832498,409.9725204927178,-414.6037183414487,88.81836799722888
DEL_T_1_1,-3.691816642411761e-13,-4.663631884181261e-13,-1.1809777854864726e-13,-4.776319059924279e-13,-3.925445301244914e-13,-3.267311640703911e-13,-2.8112419716779833e-13,-2.738878751892132e-13,-5.4601298428849e-13,-1.7196983266426847e-13
DEL_T_1_2,-280.5794721579256,-306.37542950840873,406.37900791111656,89.15446676831323,680.7323044127813,-247.9857785857917,161.95005507010154,-146.60374113412826,-427.062493494935,-14.775072500169443
DEL_T_1_3,1164.5003339423001,-1219.8453651036648,1305.0560437652612,-747.5494377121427,969.1043840190275,-472.64636414201686,1874.1829928555992,-628.5744403644937,-27.15540791161584,192.50532859061104
DEL_T_1_4,-654.9439844933481,-2673.79959099432,1013.1419011833966,1501.378609378422,2393.2990332591708,1857.412993578832,342.8910154015234,-448.9920897865936,1862.6818722617845,958.8724548196944
DEL_T_1_5+,-35.126930919075676,243.28447898199374,-123.65973908954766,-37.839805946234264,-175.2759915040806,-108.52318484651914,-97.33214180987852,33.934584244962025,-47.495300020760624,-79.22304157826511
INS_C_1_0,-3.691816642411761e-13,-4.663631884181261e-13,-1.1809777854864726e-13,-4.776319059924279e-13,-3.925445301244914e-13,-3.267311640703911e-13,-2.8112419716779833e-13,-2.738878751892132e-13,-5.4601298428849e-13,-1.7196983266426847e-13
INS_C_1_1,-7.18586354734073,-13.493322061932947,0.27691345274879886,18.808192120206158,5.438527975685371,-10.286763776554517,-2.6361893972993293,-0.6592441023212565,-0.5704149401537215,-5.3361805664246
INS_C_1_2,2.9012552529651328,-2.5958482201274666,-0.6604744282063958,2.2081375417326203,2.396286914110968,-0.7641733147117098,1.4263116902502302,0.423651055470192,1.1644442864163076,0.3841765663829675
INS_C_1_3,43.06428024569738,-28.778559301014212,-2.575162617374355,8.676909773633014,13.262335397458848,-9.486303306970704,-11.043135025288642,-1.1347906152114504,-19.83382223139955,6.668331505283533
INS_C_1_4,118.28251951896988,-241.9602756939654,29.60380386507167,-216.88264467833505,395.62551395825824,-33.843896893513204,89.43683587497853,272.2610308464153,-195.07229001950014,27.874562313215876
INS_C_1_5+,352.31825073368645,-978.9989999975096,702.7163745983091,-406.25948787663515,8.852042531471966,60.817461963703636,180.3483816001043,389.4941333756649,-482.8850985502968,-98.76821552593219
INS_T_1_0,-22.83227101671227,-61.3822138831469,111.7284462440379,-81.70686888219626,5.970280819221813,9.619919595999903,7.93196933174886,10.066717120058087,-143.55873641128446,-2.8226024508758627
INS_T_1_1,0.35753938505824634,-0.913195465997299,0.7744851525062708,2.3094047780042253,-3.925445301244914e-13,-0.7397481353406563,2.465876925876917,-0.44113541157182196,-0.44294796388552915,-0.9633796987683383
INS_T_1_2,-42.905068372338526,-27.477158445218407,22.609725356336376,4.747395502024176,-7.301079736719004,62.891887625990414,146.5801557511177,-19.040537028798518,-50.93220806198369,-4.81880086834726
INS_T_1_3,45.61028264468365,70.5581600725315,56.95685402220016,174.89466629930965,-27.614741325741548,2.1949451999687994,-9.281398736791289,-14.600510542516076,-79.12794467417433,-56.888919066442554
INS_T_1_4,-144.78179362516312,-291.79944688751095,112.91789645512944,-159.92797249425757,-0.5781619170858221,460.56037723000077,-16.13449612584043,334.92731425232625,-237.56321091937332,-73.97253173950128
INS_T_1_5+,-34.72200323728066,69.74464493987398,-46.39438866947876,28.300822566920033,-121.31116630380501,-13.440817137423437,-24.941116535437686,-16.59397268315297,40.91974625248622,-7.930872319418995
DEL_repeats_2_0,-5.058792389293764,-16.775656210664685,17.03150136518851,-10.211757151145811,-2.279070110167801,0.37686091821878165,8.068274026173054,-4.365387882022112,-16.292595689398382,-6.25035243958477
