Sample,DBS1,DBS6
Skin-Melanoma::S.1,231.36618730138096,5.561818267402052
Skin-Melanoma::S.2,607.0314175461903,7.645420426131209
Skin-Melanoma::S.3,845.443377703206,24.184482335761313
Skin-Melanoma::S.4,1012.5681650547268,0.0
Skin-Melanoma::S.5,3492.37246263604,207.67120385839203
Skin-Melanoma::S.6,475.40893394408585,0.0
Skin-Melanoma::S.7,679.0472500840322,3.275714329018144
Skin-Melanoma::S.8,994.5458281803418,0.0
Skin-Melanoma::S.9,92.79121452502766,1.6739046255652852
Skin-Melanoma::S.10,1864.5606556340306,9.140979946260698
Skin-Melanoma::S.11,10.482430060319617,1.9250822780187842
Skin-Melanoma::S.12,86.67364203315626,16.213475606744435
Skin-Melanoma::S.13,2956.439004759579,0.0
Skin-Melanoma::S.14,264.9078990067952,24.621974688930656
Skin-Melanoma::S.15,665.4105106555764,27.175805059226235
Skin-Melanoma::S.16,3220.3393627801274,5.97777361589713
Skin-Melanoma::S.17,289.62709300713374,33.73485461702388
Skin-Melanoma::S.18,5415.508657350787,3.086785746724577
Skin-Melanoma::S.19,102.49710431070436,2.1346479088912074
Skin-Melanoma::S.20,4840.927902982869,0.0
Skin-Melanoma::S.21,219.84983378032848,0.0
Skin-Melanoma::S.22,2062.760962887823,0.0
Skin-Melanoma::S.23,1912.6720793936922,4.327736341216016
Skin-Melanoma::S.24,1849.7254109122518,27.246837355191406
Skin-Melanoma::S.25,417.826923550299,0.0
Skin-Melanoma::S.26,522.3658619539029,25.45369656968805
Skin-Melanoma::S.27,1233.5548650624687,4.937841216590118
Skin-Melanoma::S.28,473.89429117588816,13.44394946759733
Skin-Melanoma::S.29,1471.4398688815625,5.68037941939402
Skin-Melanoma::S.30,1332.5555901441776,17.98165758311438
Skin-Melanoma::S.31,572.281425944075,10.001252223104284
Skin-Melanoma::S.32,819.6200773253705,0.9051384617791552
Skin-Melanoma::S.33,32.33204827189488,9.256415829694026
Skin-Melanoma::S.34,1394.1959924103412,16.903956547625064
Skin-Melanoma::S.35,3474.642935993601,116.07401179411983
Skin-Melanoma::S.36,500.1087915575951,0.0
Skin-Melanoma::S.37,25.608970704594803,1.78880830616013
Skin-Melanoma::S.38,881.8018216187359,0.0
Skin-Melanoma::S.39,5499.764448129881,0.0
