,ID1,ID2,ID4,ID5,ID8,ID9,ID13
Skin-Melanoma::S.1,108.0,55.0,498.0,297.0,28.0,0.0,161.0
Skin-Melanoma::S.2,219.0,44.0,0.0,274.0,33.0,0.0,972.0
Skin-Melanoma::S.3,37.0,0.0,33.0,235.0,199.0,0.0,752.0
Skin-Melanoma::S.4,31.0,0.0,0.0,279.0,38.0,0.0,450.0
Skin-Melanoma::S.5,99.0,0.0,84.0,0.0,180.0,163.0,130.0
Skin-Melanoma::S.6,19.0,0.0,0.0,107.0,321.0,0.0,185.0
Skin-Melanoma::S.7,32.0,143.0,0.0,198.0,190.0,0.0,46.0
Skin-Melanoma::S.8,36.0,0.0,0.0,391.0,591.0,0.0,0.0
Skin-Melanoma::S.9,113.0,37.0,22.0,309.0,30.0,0.0,0.0
Skin-Melanoma::S.10,24.0,79.0,0.0,119.0,383.0,83.0,261.0
Skin-Melanoma::S.11,144.0,73.0,0.0,239.0,117.0,0.0,195.0
Skin-Melanoma::S.12,52.0,118.0,43.0,446.0,276.0,0.0,106.0
Skin-Melanoma::S.13,40.0,32.0,0.0,287.0,0.0,0.0,36.0
Skin-Melanoma::S.14,540.0,16.0,0.0,0.0,0.0,83.0,357.0
Skin-Melanoma::S.15,16.0,0.0,34.0,183.0,201.0,106.0,708.0
Skin-Melanoma::S.16,268.0,33.0,167.0,393.0,0.0,0.0,320.0
Skin-Melanoma::S.17,52.0,0.0,2884.0,117.0,343.0,0.0,321.0
Skin-Melanoma::S.18,77.0,0.0,33.0,292.0,261.0,0.0,160.0
Skin-Melanoma::S.19,55.0,118.0,0.0,369.0,19.0,0.0,0.0
Skin-Melanoma::S.20,94.0,55.0,0.0,996.0,222.0,83.0,191.0
Skin-Melanoma::S.21,25.0,26.0,0.0,0.0,481.0,39.0,0.0
Skin-Melanoma::S.22,394.0,40.0,0.0,425.0,43.0,0.0,0.0
Skin-Melanoma::S.23,23.0,27.0,0.0,213.0,17.0,0.0,400.0
Skin-Melanoma::S.24,27.0,0.0,20.0,0.0,186.0,41.0,437.0
Skin-Melanoma::S.25,258.0,0.0,41.0,1453.0,31.0,0.0,0.0
Skin-Melanoma::S.26,31.0,25.0,0.0,655.0,358.0,0.0,144.0
Skin-Melanoma::S.27,90.0,18.0,0.0,227.0,54.0,46.0,157.0
Skin-Melanoma::S.28,184.0,35.0,17.0,46.0,423.0,0.0,0.0
Skin-Melanoma::S.29,48.0,9.0,0.0,0.0,35.0,0.0,32.0
Skin-Melanoma::S.30,107.0,0.0,0.0,88.0,64.0,25.0,63.0
Skin-Melanoma::S.31,201.0,80.0,0.0,451.0,54.0,0.0,146.0
Skin-Melanoma::S.32,28.0,0.0,0.0,209.0,0.0,0.0,0.0
Skin-Melanoma::S.33,8.0,35.0,0.0,54.0,86.0,0.0,319.0
Skin-Melanoma::S.34,59.0,0.0,0.0,857.0,157.0,73.0,0.0
Skin-Melanoma::S.35,0.0,58.0,0.0,72.0,0.0,13.0,0.0
Skin-Melanoma::S.36,196.0,0.0,22.0,131.0,0.0,0.0,365.0
Skin-Melanoma::S.37,44.0,0.0,0.0,291.0,102.0,0.0,223.0
Skin-Melanoma::S.38,58.0,0.0,18.0,295.0,78.0,86.0,0.0
Skin-Melanoma::S.39,23.0,0.0,0.0,165.0,113.0,0.0,0.0
Skin-Melanoma::S.40,140.0,172.0,0.0,209.0,0.0,0.0,312.0
Skin-Melanoma::S.41,60.0,26.0,0.0,891.0,80.0,0.0,0.0
Skin-Melanoma::S.42,42.0,21.0,0.0,105.0,141.0,33.0,160.0
Skin-Melanoma::S.43,62.0,44.0,0.0,346.0,0.0,0.0,139.0
Skin-Melanoma::S.44,76.0,29.0,55.0,0.0,154.0,0.0,1105.0
Skin-Melanoma::S.45,43.0,0.0,0.0,645.0,189.0,78.0,425.0
Skin-Melanoma::S.46,169.0,19.0,0.0,276.0,30.0,0.0,276.0
Skin-Melanoma::S.47,178.0,18.0,0.0,198.0,131.0,0.0,817.0
Skin-Melanoma::S.48,24.0,70.0,0.0,0.0,18.0,28.0,128.0
Skin-Melanoma::S.49,8.0,23.0,0.0,304.0,0.0,41.0,106.0
Skin-Melanoma::S.50,99.0,23.0,0.0,289.0,142.0,89.0,141.0
Skin-Melanoma::S.51,333.0,0.0,0.0,221.0,179.0,46.0,124.0
Skin-Melanoma::S.52,105.0,157.0,0.0,194.0,59.0,30.0,0.0
Skin-Melanoma::S.53,192.0,0.0,0.0,156.0,26.0,0.0,66.0
Skin-Melanoma::S.54,34.0,0.0,0.0,631.0,211.0,0.0,1366.0
Skin-Melanoma::S.55,135.0,0.0,32.0,107.0,254.0,102.0,447.0
Skin-Melanoma::S.56,58.0,0.0,0.0,272.0,43.0,0.0,0.0
Skin-Melanoma::S.57,13.0,12.0,0.0,495.0,0.0,0.0,0.0
Skin-Melanoma::S.58,105.0,61.0,0.0,125.0,234.0,0.0,192.0
Skin-Melanoma::S.59,222.0,0.0,0.0,116.0,205.0,0.0,56.0
Skin-Melanoma::S.60,52.0,0.0,0.0,271.0,125.0,42.0,0.0
Skin-Melanoma::S.61,542.0,0.0,0.0,245.0,70.0,0.0,0.0
Skin-Melanoma::S.62,193.0,82.0,1688.0,114.0,413.0,0.0,612.0
Skin-Melanoma::S.63,121.0,11.0,0.0,188.0,185.0,0.0,0.0
Skin-Melanoma::S.64,71.0,0.0,0.0,245.0,168.0,0.0,799.0
Skin-Melanoma::S.65,54.0,28.0,0.0,50.0,32.0,0.0,0.0
Skin-Melanoma::S.66,137.0,0.0,0.0,0.0,0.0,0.0,859.0
Skin-Melanoma::S.67,111.0,0.0,0.0,0.0,0.0,0.0,822.0
Skin-Melanoma::S.68,18.0,70.0,26.0,314.0,21.0,0.0,72.0
Skin-Melanoma::S.69,0.0,10.0,0.0,268.0,147.0,0.0,0.0
Skin-Melanoma::S.70,113.0,25.0,0.0,332.0,341.0,73.0,596.0
Skin-Melanoma::S.71,120.0,12.0,0.0,209.0,26.0,0.0,300.0
Skin-Melanoma::S.72,81.0,0.0,0.0,171.0,104.0,0.0,121.0
Skin-Melanoma::S.73,0.0,167.0,0.0,0.0,0.0,110.0,620.0
Skin-Melanoma::S.74,183.0,0.0,0.0,0.0,54.0,0.0,674.0
Skin-Melanoma::S.75,93.0,0.0,0.0,0.0,96.0,0.0,0.0
Skin-Melanoma::S.76,98.0,47.0,0.0,174.0,189.0,62.0,101.0
Skin-Melanoma::S.77,92.0,0.0,54.0,167.0,291.0,0.0,182.0
Skin-Melanoma::S.78,67.0,0.0,0.0,38.0,0.0,0.0,0.0
Skin-Melanoma::S.79,86.0,0.0,0.0,757.0,59.0,0.0,0.0
Skin-Melanoma::S.80,136.0,0.0,0.0,197.0,0.0,0.0,124.0
