Mutation type,Ovary-AdenoCA::MSI-H.S.1
DEL_C_1_0,-107.4434062650434
DEL_C_1_1,-39.36845393640387
DEL_C_1_2,-20.983961748404187
DEL_C_1_3,-8.936909918991454
DEL_C_1_4,29.248486535890002
DEL_C_1_5+,36.09764530037816
DEL_T_1_0,-79.74413170440528
DEL_T_1_1,-92.18032324870914
DEL_T_1_2,-34.903896696947186
DEL_T_1_3,39.91400050591341
DEL_T_1_4,539.1084380789985
DEL_T_1_5+,-32.51975967999442
INS_C_1_0,-0.45161146286974585
INS_C_1_1,0.3208637881463918
INS_C_1_2,-2.651218733442563
INS_C_1_3,14.194312478595979
INS_C_1_4,19.37274821175253
INS_C_1_5+,91.43244542295929
INS_T_1_0,23.97615214266048
INS_T_1_1,-13.533598405181497
INS_T_1_2,-20.94320179353538
INS_T_1_3,-30.14490408184762
INS_T_1_4,-67.87174332021684
INS_T_1_5+,-3.912553378270786
DEL_repeats_2_0,-27.346267150542467
DEL_repeats_2_1,3.572812037939954
DEL_repeats_2_2,6.65416980622436
DEL_repeats_2_3,-0.38973422086779763
DEL_repeats_2_4,5.0431808734070245
DEL_repeats_2_5+,-16.17394972280427
DEL_repeats_3_0,-14.200025200955517
DEL_repeats_3_1,99.59856962005325
DEL_repeats_3_2,33.94200184955697
DEL_repeats_3_3,5.33556717746227
DEL_repeats_3_4,-4.444719281499992
DEL_repeats_3_5+,-6.350538491619132
DEL_repeats_4_0,-9.144306871433614
DEL_repeats_4_1,0.8411616738240397
DEL_repeats_4_2,2.8472067444583953
DEL_repeats_4_3,-3.475961740267263
DEL_repeats_4_4,-3.481629231163445
DEL_repeats_4_5+,-1.0202141589212355
DEL_repeats_5+_0,-15.1997566535095
DEL_repeats_5+_1,24.089145399500524
DEL_repeats_5+_2,-2.5700981666236444
DEL_repeats_5+_3,-1.6434685192097824
DEL_repeats_5+_4,0.2569147025941553
DEL_repeats_5+_5+,-0.8385470898314822
INS_repeats_2_0,2.476026621878173
INS_repeats_2_1,-12.406999554967129
INS_repeats_2_2,-5.896061304218453
INS_repeats_2_3,7.45907037355458
INS_repeats_2_4,3.245152793908396
INS_repeats_2_5+,-25.610059466768035
INS_repeats_3_0,-2.3515939030224184
INS_repeats_3_1,17.21852921297593
INS_repeats_3_2,6.153124544031938
INS_repeats_3_3,-0.24914259836741004
INS_repeats_3_4,1.2812938444532553
INS_repeats_3_5+,18.08426830528984
INS_repeats_4_0,-2.0370656946603165
INS_repeats_4_1,12.651885660541673
INS_repeats_4_2,1.0487586384898027
INS_repeats_4_3,0.8465433238902755
INS_repeats_4_4,-0.17878897114227588
INS_repeats_4_5+,18.022382722878287
INS_repeats_5+_0,-3.7891398159418936
INS_repeats_5+_1,2.2708704059873916
INS_repeats_5+_2,3.8102212162180686
INS_repeats_5+_3,6.416349725061068
INS_repeats_5+_4,1.9810261977743706
INS_repeats_5+_5+,-0.20962395761786068
DEL_MH_2_1,-44.48888629076086
DEL_MH_3_1,-12.101480860331433
DEL_MH_3_2,3.4782641946362105
DEL_MH_4_1,-6.097001888402115
DEL_MH_4_2,2.7436992536269305
DEL_MH_4_3,-10.439967415798105
DEL_MH_5+_1,-4.7774501151267295
DEL_MH_5+_2,-12.777127527491542
DEL_MH_5+_3,-9.16931874884261
DEL_MH_5+_4,-7.976894792097356
DEL_MH_5+_5+,4.467400039319045
