,DBS2,DBS4,DBS6,DBS7,DBS9,DBS11
Kidney-RCC::S.1,109.0,18.0,0.0,0.0,0.0,0.0
Kidney-RCC::S.2,11.0,16.0,0.0,0.0,56.0,0.0
Kidney-RCC::S.3,31.0,16.0,0.0,15.0,35.0,4.0
Kidney-RCC::S.4,14.0,5.0,0.0,0.0,49.0,0.0
Kidney-RCC::S.5,35.0,25.0,0.0,0.0,84.0,0.0
Kidney-RCC::S.6,18.0,26.0,4.0,0.0,49.0,0.0
Kidney-RCC::S.7,35.0,23.0,0.0,0.0,12.0,0.0
Kidney-RCC::S.8,164.0,13.0,0.0,0.0,0.0,0.0
Kidney-RCC::S.9,0.0,0.0,0.0,0.0,0.0,0.0
Kidney-RCC::S.10,24.0,71.0,12.0,0.0,82.0,4.0
Kidney-RCC::S.11,5.0,0.0,4.0,0.0,58.0,0.0
Kidney-RCC::S.12,64.0,39.0,0.0,0.0,23.0,0.0
Kidney-RCC::S.13,58.0,47.0,0.0,0.0,0.0,0.0
Kidney-RCC::S.14,30.0,7.0,47.0,0.0,0.0,0.0
Kidney-RCC::S.15,0.0,7.0,0.0,0.0,41.0,5.0
Kidney-RCC::S.16,13.0,18.0,0.0,4.0,113.0,0.0
Kidney-RCC::S.17,19.0,40.0,0.0,0.0,52.0,0.0
Kidney-RCC::S.18,30.0,6.0,0.0,0.0,0.0,0.0
Kidney-RCC::S.19,28.0,21.0,0.0,0.0,28.0,0.0
Kidney-RCC::S.20,88.0,21.0,0.0,0.0,0.0,5.0
Kidney-RCC::S.21,12.0,88.0,0.0,0.0,134.0,28.0
Kidney-RCC::S.22,9.0,65.0,0.0,0.0,60.0,0.0
Kidney-RCC::S.23,41.0,0.0,0.0,10.0,36.0,0.0
Kidney-RCC::S.24,27.0,54.0,0.0,20.0,0.0,0.0
Kidney-RCC::S.25,25.0,10.0,7.0,0.0,73.0,6.0
Kidney-RCC::S.26,0.0,13.0,0.0,0.0,98.0,0.0
Kidney-RCC::S.27,18.0,0.0,0.0,0.0,130.0,0.0
Kidney-RCC::S.28,30.0,0.0,0.0,0.0,133.0,0.0
Kidney-RCC::S.29,0.0,30.0,30.0,29.0,9.0,0.0
Kidney-RCC::S.30,8.0,17.0,0.0,0.0,38.0,0.0
Kidney-RCC::S.31,0.0,0.0,0.0,0.0,203.0,0.0
Kidney-RCC::S.32,82.0,22.0,0.0,43.0,80.0,0.0
Kidney-RCC::S.33,41.0,0.0,0.0,0.0,31.0,0.0
Kidney-RCC::S.34,0.0,44.0,0.0,0.0,115.0,0.0
Kidney-RCC::S.35,109.0,0.0,0.0,0.0,96.0,0.0
Kidney-RCC::S.36,171.0,101.0,6.0,7.0,23.0,0.0
Kidney-RCC::S.37,4.0,63.0,0.0,0.0,0.0,0.0
Kidney-RCC::S.38,50.0,15.0,0.0,0.0,74.0,0.0
Kidney-RCC::S.39,10.0,0.0,0.0,0.0,83.0,0.0
Kidney-RCC::S.40,61.0,20.0,0.0,5.0,31.0,0.0
Kidney-RCC::S.41,8.0,0.0,0.0,0.0,117.0,0.0
Kidney-RCC::S.42,30.0,45.0,0.0,96.0,235.0,0.0
Kidney-RCC::S.43,16.0,12.0,0.0,0.0,86.0,0.0
Kidney-RCC::S.44,9.0,91.0,0.0,0.0,171.0,23.0
Kidney-RCC::S.45,61.0,39.0,0.0,0.0,136.0,0.0
Kidney-RCC::S.46,18.0,123.0,0.0,0.0,18.0,3.0
Kidney-RCC::S.47,20.0,0.0,2.0,2.0,39.0,0.0
Kidney-RCC::S.48,25.0,156.0,7.0,0.0,29.0,6.0
Kidney-RCC::S.49,45.0,0.0,0.0,0.0,135.0,0.0
Kidney-RCC::S.50,109.0,18.0,0.0,0.0,0.0,0.0
Kidney-RCC::S.51,27.0,29.0,0.0,0.0,0.0,0.0
Kidney-RCC::S.52,50.0,25.0,20.0,0.0,75.0,0.0
Kidney-RCC::S.53,4.0,27.0,4.0,0.0,12.0,0.0
Kidney-RCC::S.54,34.0,9.0,42.0,0.0,56.0,0.0
Kidney-RCC::S.55,66.0,8.0,5.0,0.0,78.0,0.0
Kidney-RCC::S.56,6.0,165.0,0.0,0.0,48.0,0.0
Kidney-RCC::S.57,0.0,17.0,0.0,0.0,103.0,5.0
Kidney-RCC::S.58,2.0,34.0,3.0,0.0,42.0,4.0
Kidney-RCC::S.59,0.0,58.0,0.0,0.0,85.0,17.0
Kidney-RCC::S.60,87.0,0.0,0.0,56.0,39.0,0.0
Kidney-RCC::S.61,45.0,31.0,0.0,18.0,172.0,0.0
Kidney-RCC::S.62,8.0,0.0,0.0,0.0,0.0,0.0
Kidney-RCC::S.63,6.0,8.0,0.0,0.0,255.0,0.0
Kidney-RCC::S.64,63.0,108.0,13.0,28.0,119.0,0.0
Kidney-RCC::S.65,27.0,7.0,0.0,0.0,79.0,0.0
Kidney-RCC::S.66,7.0,0.0,0.0,81.0,58.0,0.0
Kidney-RCC::S.67,0.0,0.0,3.0,0.0,66.0,0.0
Kidney-RCC::S.68,18.0,71.0,0.0,39.0,0.0,0.0
Kidney-RCC::S.69,15.0,134.0,0.0,0.0,32.0,0.0
Kidney-RCC::S.70,7.0,8.0,0.0,0.0,85.0,0.0
Kidney-RCC::S.71,0.0,24.0,0.0,0.0,108.0,0.0
Kidney-RCC::S.72,7.0,40.0,0.0,0.0,82.0,0.0
Kidney-RCC::S.73,9.0,70.0,7.0,6.0,0.0,0.0
Kidney-RCC::S.74,60.0,25.0,5.0,0.0,144.0,9.0
Kidney-RCC::S.75,20.0,0.0,0.0,149.0,65.0,0.0
Kidney-RCC::S.76,16.0,6.0,0.0,0.0,7.0,2.0
Kidney-RCC::S.77,11.0,59.0,9.0,0.0,139.0,0.0
Kidney-RCC::S.78,18.0,36.0,5.0,4.0,42.0,0.0
Kidney-RCC::S.79,1.0,96.0,0.0,15.0,22.0,0.0
Kidney-RCC::S.80,45.0,162.0,10.0,207.0,0.0,0.0
Kidney-RCC::S.81,18.0,63.0,0.0,0.0,0.0,2.0
Kidney-RCC::S.82,55.0,0.0,0.0,0.0,205.0,0.0
Kidney-RCC::S.83,33.0,23.0,0.0,0.0,0.0,0.0
Kidney-RCC::S.84,18.0,0.0,4.0,17.0,98.0,0.0
Kidney-RCC::S.85,9.0,0.0,4.0,0.0,45.0,5.0
Kidney-RCC::S.86,73.0,0.0,0.0,0.0,95.0,0.0
Kidney-RCC::S.87,60.0,0.0,0.0,20.0,76.0,0.0
Kidney-RCC::S.88,56.0,25.0,0.0,0.0,0.0,0.0
Kidney-RCC::S.89,3.0,0.0,0.0,64.0,30.0,0.0
Kidney-RCC::S.90,0.0,0.0,0.0,0.0,44.0,0.0
Kidney-RCC::S.91,36.0,48.0,0.0,0.0,42.0,0.0
Kidney-RCC::S.92,8.0,90.0,0.0,164.0,34.0,0.0
Kidney-RCC::S.93,34.0,0.0,0.0,55.0,64.0,0.0
Kidney-RCC::S.94,7.0,8.0,0.0,0.0,0.0,0.0
Kidney-RCC::S.95,42.0,0.0,0.0,7.0,64.0,0.0
Kidney-RCC::S.96,95.0,39.0,0.0,0.0,0.0,6.0
Kidney-RCC::S.97,19.0,40.0,3.0,0.0,88.0,0.0
