Samples	SBS1	SBS2	SBS3	SBS5	SBS8	SBS9	SBS13	SBS17a	SBS17b	SBS18	SBS37	SBS40	SBS41
Breast-AdenoCA::S.1	647	220	0	1270	0	0	4656	0	0	0	0	0	0
Breast-AdenoCA::S.2	275	0	6656	2485	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.3	203	298	0	789	0	0	989	0	0	0	0	0	0
Breast-AdenoCA::S.4	477	648	5948	1163	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.5	389	0	0	2933	0	0	1156	0	0	0	0	0	0
Breast-AdenoCA::S.6	617	5433	5322	788	0	0	1148	0	0	0	0	0	0
Breast-AdenoCA::S.7	318	156	0	2664	0	0	76	0	0	0	0	0	0
Breast-AdenoCA::S.8	646	477	2096	1227	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.9	117	0	4080	2760	0	0	0	0	0	0	0	5451	0
Breast-AdenoCA::S.10	287	717	3483	1029	0	0	260	0	0	0	0	0	0
Breast-AdenoCA::S.11	347	85	0	1600	0	0	533	0	0	0	0	0	0
Breast-AdenoCA::S.12	775	232	1407	764	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.13	309	3373	0	1708	0	0	2118	0	0	0	0	0	0
Breast-AdenoCA::S.14	191	433	0	4380	0	0	826	0	0	0	0	0	0
Breast-AdenoCA::S.15	540	4946	0	3983	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.16	324	0	0	809	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.17	546	383	0	1539	0	0	0	0	0	628	0	0	0
Breast-AdenoCA::S.18	210	80	0	1927	0	0	332	0	0	1341	0	0	0
Breast-AdenoCA::S.19	205	0	0	3791	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.20	288	0	2578	968	0	0	299	0	0	0	0	0	0
Breast-AdenoCA::S.21	257	1138	0	3669	0	0	1381	0	0	0	0	0	0
Breast-AdenoCA::S.22	225	0	0	1941	0	632	0	0	0	0	0	0	0
Breast-AdenoCA::S.23	336	1664	0	6008	0	0	3438	0	0	0	0	0	0
Breast-AdenoCA::S.24	374	2122	0	1977	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.25	349	990	0	2313	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.26	202	960	0	2074	0	0	2659	0	0	0	0	0	0
Breast-AdenoCA::S.27	1061	690	0	2721	0	0	1691	0	0	0	0	0	0
Breast-AdenoCA::S.28	557	536	3491	2397	0	0	2665	0	0	0	0	0	0
Breast-AdenoCA::S.29	500	465	0	5275	0	0	969	0	0	0	0	0	0
