,SBS1,SBS2,SBS3,SBS5,SBS13,SBS17a,SBS17b,SBS18,SBS28,SBS40,SBS41
Stomach-AdenoCA::S.1,0.0,0.0,0.0,0.0,0.0,4970.0,0.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.2,1399.0,0.0,0.0,5364.0,0.0,0.0,3339.0,3179.0,0.0,0.0,0.0
Stomach-AdenoCA::S.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2863.0,0.0,6792.0,0.0
Stomach-AdenoCA::S.4,0.0,0.0,0.0,0.0,0.0,0.0,9648.0,7156.0,0.0,0.0,0.0
Stomach-AdenoCA::S.5,1143.0,0.0,0.0,0.0,0.0,2580.0,0.0,0.0,0.0,7753.0,0.0
Stomach-AdenoCA::S.6,0.0,0.0,0.0,16530.0,0.0,0.0,2815.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.7,0.0,0.0,0.0,0.0,0.0,0.0,2071.0,2993.0,0.0,0.0,0.0
Stomach-AdenoCA::S.8,0.0,0.0,0.0,19000.0,0.0,1996.0,0.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.9,0.0,0.0,0.0,17709.0,0.0,0.0,2308.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.10,683.0,0.0,0.0,1912.0,0.0,1477.0,659.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.11,0.0,0.0,0.0,8395.0,0.0,0.0,3268.0,2933.0,0.0,0.0,0.0
Stomach-AdenoCA::S.12,4268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.13,0.0,0.0,0.0,17816.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.14,0.0,0.0,0.0,13613.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.15,1483.0,0.0,0.0,0.0,0.0,792.0,0.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.16,0.0,0.0,0.0,0.0,0.0,2133.0,5369.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.17,439.0,767.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.18,0.0,0.0,0.0,9441.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.19,1009.0,0.0,0.0,3725.0,0.0,2063.0,0.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.20,1322.0,0.0,0.0,0.0,0.0,2138.0,0.0,0.0,0.0,10620.0,0.0
Stomach-AdenoCA::S.21,0.0,0.0,0.0,0.0,0.0,0.0,5108.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.22,0.0,0.0,0.0,0.0,0.0,0.0,1944.0,3900.0,0.0,0.0,0.0
Stomach-AdenoCA::S.23,0.0,0.0,0.0,7205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.24,1017.0,815.0,0.0,0.0,0.0,3193.0,0.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.25,1789.0,0.0,9584.0,0.0,0.0,0.0,1350.0,2851.0,0.0,0.0,0.0
Stomach-AdenoCA::S.26,0.0,0.0,0.0,0.0,0.0,0.0,9694.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.27,0.0,0.0,0.0,0.0,0.0,0.0,15327.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.28,1989.0,0.0,0.0,5889.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.29,0.0,0.0,0.0,9230.0,0.0,0.0,1829.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.30,0.0,0.0,0.0,0.0,0.0,5795.0,0.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.31,0.0,0.0,0.0,0.0,0.0,2590.0,1060.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.32,0.0,0.0,0.0,5429.0,0.0,0.0,0.0,0.0,0.0,0.0,3637.0
Stomach-AdenoCA::S.33,0.0,0.0,0.0,16953.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.34,2529.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16287.0,0.0
Stomach-AdenoCA::S.35,0.0,0.0,0.0,0.0,0.0,5639.0,0.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.36,6708.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.37,0.0,0.0,47319.0,0.0,0.0,4734.0,0.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.38,1515.0,1270.0,0.0,7474.0,0.0,4325.0,0.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.39,1450.0,0.0,0.0,7368.0,0.0,0.0,2593.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.40,3007.0,0.0,0.0,7109.0,0.0,0.0,5194.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.41,0.0,0.0,0.0,11082.0,0.0,0.0,0.0,0.0,0.0,11711.0,0.0
Stomach-AdenoCA::S.42,0.0,0.0,0.0,0.0,0.0,0.0,17245.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.43,3955.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.44,0.0,0.0,19845.0,0.0,0.0,4031.0,0.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.45,0.0,0.0,0.0,0.0,0.0,0.0,6445.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.46,0.0,0.0,0.0,0.0,0.0,0.0,1339.0,0.0,0.0,10688.0,0.0
Stomach-AdenoCA::S.47,1946.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11400.0,0.0
Stomach-AdenoCA::S.48,2598.0,0.0,0.0,0.0,0.0,0.0,4972.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.49,890.0,0.0,6315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.50,564.0,0.0,0.0,0.0,0.0,0.0,668.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13869.0,0.0
Stomach-AdenoCA::S.52,0.0,0.0,0.0,0.0,0.0,0.0,16531.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.53,959.0,0.0,0.0,0.0,1390.0,0.0,0.0,0.0,0.0,6984.0,0.0
Stomach-AdenoCA::S.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11106.0,0.0
Stomach-AdenoCA::S.55,0.0,1131.0,0.0,0.0,0.0,2959.0,1246.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.56,0.0,0.0,0.0,15067.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.57,2811.0,0.0,0.0,0.0,0.0,0.0,3631.0,0.0,4327.0,0.0,0.0
Stomach-AdenoCA::S.58,1701.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20523.0,0.0
Stomach-AdenoCA::S.59,1075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.60,0.0,1316.0,8483.0,0.0,0.0,2216.0,0.0,0.0,0.0,0.0,4902.0
Stomach-AdenoCA::S.61,0.0,0.0,0.0,8907.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.62,1727.0,0.0,0.0,6365.0,0.0,2126.0,0.0,2790.0,0.0,0.0,0.0
Stomach-AdenoCA::S.63,2115.0,0.0,0.0,0.0,0.0,0.0,1759.0,6318.0,0.0,0.0,0.0
Stomach-AdenoCA::S.64,0.0,0.0,0.0,0.0,0.0,1945.0,0.0,3764.0,0.0,0.0,0.0
Stomach-AdenoCA::S.65,0.0,0.0,0.0,0.0,0.0,3488.0,4694.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.66,0.0,0.0,33997.0,0.0,0.0,0.0,8039.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.67,0.0,0.0,0.0,0.0,0.0,2286.0,0.0,5039.0,0.0,0.0,12061.0
Stomach-AdenoCA::S.68,0.0,0.0,0.0,12039.0,0.0,0.0,4859.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.69,0.0,1420.0,9374.0,0.0,0.0,3346.0,2788.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.70,0.0,0.0,0.0,10897.0,0.0,8053.0,0.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4168.0,0.0,0.0,4724.0
Stomach-AdenoCA::S.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11904.0,0.0
Stomach-AdenoCA::S.73,0.0,0.0,0.0,25922.0,0.0,7064.0,0.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.74,0.0,0.0,0.0,22610.0,0.0,4625.0,6665.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.75,0.0,0.0,0.0,12442.0,0.0,0.0,9438.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.76,0.0,0.0,0.0,18230.0,0.0,0.0,0.0,0.0,0.0,0.0,6527.0
Stomach-AdenoCA::S.77,0.0,0.0,0.0,7276.0,0.0,0.0,905.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.78,1436.0,0.0,0.0,0.0,0.0,677.0,0.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.79,0.0,0.0,0.0,0.0,0.0,0.0,5395.0,0.0,0.0,29401.0,0.0
Stomach-AdenoCA::S.80,553.0,0.0,0.0,0.0,0.0,0.0,682.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.81,0.0,1918.0,0.0,8134.0,0.0,0.0,3040.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.82,1863.0,0.0,0.0,7577.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.83,0.0,0.0,0.0,11265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2908.0,0.0,0.0,0.0
Stomach-AdenoCA::S.85,0.0,0.0,21306.0,0.0,0.0,0.0,10454.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.86,1209.0,0.0,0.0,0.0,0.0,0.0,0.0,1925.0,0.0,0.0,0.0
