Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Eso-AdenoCA::S.1	114	0.931	75.596	66.312%	13.158	38.902%	0.84771	0.92
Eso-AdenoCA::S.2	180	0.883	115.575	64.208%	29.744	47.041%	0.90841	0.868
Eso-AdenoCA::S.3	74	0.902	60.402	81.624%	17.871	66.053%	5.09988	0.898
Eso-AdenoCA::S.4	107	0.884	70.47	65.86%	15.475	48.863%	0.59517	0.865
Eso-AdenoCA::S.5	132	0.716	116.598	88.332%	25.69	70.603%	4.36356	0.647
Eso-AdenoCA::S.6	224	0.971	123.971	55.344%	26.075	28.18%	2.20463	0.969
Eso-AdenoCA::S.7	136	0.807	96.05	70.625%	17.684	59.078%	1.47093	0.725
Eso-AdenoCA::S.8	287	0.902	169.272	58.98%	31.834	43.269%	0.39511	0.876
Eso-AdenoCA::S.9	126	0.869	82.75	65.675%	12.864	53.323%	0.59119	0.807
Eso-AdenoCA::S.10	63	0.959	34.619	54.951%	7.977	31.361%	0.37463	0.956
Eso-AdenoCA::S.11	176	0.706	147.002	83.524%	33.507	80.466%	2.26605	0.629
Eso-AdenoCA::S.12	168	0.874	116.835	69.545%	22.252	52.507%	1.2552	0.845
Eso-AdenoCA::S.13	160	0.889	86.512	54.07%	16.411	45.978%	0.39802	0.847
Eso-AdenoCA::S.14	113	0.94	58.828	52.06%	12.836	34.172%	0.41799	0.932
Eso-AdenoCA::S.15	208	0.838	147.547	70.936%	28.128	54.661%	0.6624	0.79
Eso-AdenoCA::S.16	318	0.845	304.307	95.694%	79.719	56.432%	5.28968	0.837
Eso-AdenoCA::S.17	154	0.675	150.703	97.859%	39.534	98.773%	1.98076	0.626
Eso-AdenoCA::S.18	294	0.772	247.387	84.145%	56.213	88.221%	0.78087	0.728
Eso-AdenoCA::S.19	237	0.784	182.35	76.941%	39.919	70.534%	0.52023	0.731
Eso-AdenoCA::S.20	87	0.924	46.837	53.836%	8.037	39.936%	0.37228	0.902
Eso-AdenoCA::S.21	129	0.899	81.24	62.977%	16.806	43.968%	0.66158	0.88
