,Stomach-AdenoCA::S.1,Stomach-AdenoCA::S.2,Stomach-AdenoCA::S.3,Stomach-AdenoCA::S.4,Stomach-AdenoCA::S.5,Stomach-AdenoCA::S.6,Stomach-AdenoCA::S.7,Stomach-AdenoCA::S.8,Stomach-AdenoCA::S.9,Stomach-AdenoCA::S.10,Stomach-AdenoCA::S.11,Stomach-AdenoCA::S.12,Stomach-AdenoCA::S.13,Stomach-AdenoCA::S.14,Stomach-AdenoCA::S.15,Stomach-AdenoCA::S.16,Stomach-AdenoCA::S.17,Stomach-AdenoCA::S.18,Stomach-AdenoCA::S.19,Stomach-AdenoCA::S.20,Stomach-AdenoCA::S.21,Stomach-AdenoCA::S.22,Stomach-AdenoCA::S.23,Stomach-AdenoCA::S.24,Stomach-AdenoCA::S.25,Stomach-AdenoCA::S.26,Stomach-AdenoCA::S.27,Stomach-AdenoCA::S.28,Stomach-AdenoCA::S.29,Stomach-AdenoCA::S.30,Stomach-AdenoCA::S.31,Stomach-AdenoCA::S.32,Stomach-AdenoCA::S.33,Stomach-AdenoCA::S.34,Stomach-AdenoCA::S.35,Stomach-AdenoCA::S.36,Stomach-AdenoCA::S.37,Stomach-AdenoCA::S.38,Stomach-AdenoCA::S.39,Stomach-AdenoCA::S.40,Stomach-AdenoCA::S.41,Stomach-AdenoCA::S.42,Stomach-AdenoCA::S.43,Stomach-AdenoCA::S.44,Stomach-AdenoCA::S.45,Stomach-AdenoCA::S.46,Stomach-AdenoCA::S.47,Stomach-AdenoCA::S.48,Stomach-AdenoCA::S.49,Stomach-AdenoCA::S.50,Stomach-AdenoCA::S.51,Stomach-AdenoCA::S.52,Stomach-AdenoCA::S.53,Stomach-AdenoCA::S.54,Stomach-AdenoCA::S.55,Stomach-AdenoCA::S.56,Stomach-AdenoCA::S.57,Stomach-AdenoCA::S.58,Stomach-AdenoCA::S.59,Stomach-AdenoCA::S.60,Stomach-AdenoCA::S.61,Stomach-AdenoCA::S.62,Stomach-AdenoCA::S.63,Stomach-AdenoCA::S.64,Stomach-AdenoCA::S.65,Stomach-AdenoCA::S.66,Stomach-AdenoCA::S.67,Stomach-AdenoCA::S.68,Stomach-AdenoCA::S.69,Stomach-AdenoCA::S.70,Stomach-AdenoCA::S.71,Stomach-AdenoCA::S.72,Stomach-AdenoCA::S.73,Stomach-AdenoCA::S.74,Stomach-AdenoCA::S.75,Stomach-AdenoCA::S.76,Stomach-AdenoCA::S.77,Stomach-AdenoCA::S.78,Stomach-AdenoCA::S.79,Stomach-AdenoCA::S.80,Stomach-AdenoCA::S.81,Stomach-AdenoCA::S.82,Stomach-AdenoCA::S.83,Stomach-AdenoCA::S.84,Stomach-AdenoCA::S.85,Stomach-AdenoCA::S.86,Stomach-AdenoCA::S.87,Stomach-AdenoCA::S.88,Stomach-AdenoCA::S.89,Stomach-AdenoCA::S.90,Stomach-AdenoCA::S.91
SBS1,847.2484313589175,1418.8334436955536,480.85736839035667,929.2767875584718,1053.6555336718711,1145.6768159137328,551.8570805836262,0.0,1130.6774753787665,684.558283997117,353.28321912453634,4283.142439360688,684.3441573456457,1070.0921494807267,1480.9690019099296,777.3742797962317,438.4734849847589,1120.9169693396557,1043.9483328796882,1170.7076586409305,755.5507640067956,766.5079795742444,264.50916725249294,946.4930495328296,1726.7250397490645,1282.307613252952,805.8693953516324,1960.838560234422,477.5992459846313,196.04359942550437,81.98045512721701,642.9620530518872,813.4093739457593,2355.6644583373286,909.8423169155307,6619.111876028368,1121.1857531635658,1522.626833378589,1449.9373816279156,2979.5059218706538,760.0585100956787,396.4800020438615,3948.304305006015,814.2961753497974,141.79372483275046,483.111269816681,1749.224426327004,2406.4660057762035,808.9270691805834,564.0238103149348,710.7392092539726,680.4893873117086,903.122893442975,842.5384079988804,291.5237921470553,1404.649595036659,2496.804991714608,1353.4085922807633,936.7516920383162,978.5587434602112,934.6753379433677,1798.8279112321577,2134.769794762299,739.1170756238029,971.4143144734398,1134.406663653585,704.3473145159925,875.5609089576494,658.8889802475275,849.4528948196269,172.15412345805456,357.67776482700924,0.0,1421.4804305054486,819.2543393037952,1613.398866275683,487.8158559371471,1435.5179002373543,1478.1892818021486,504.58661883791757,850.1146523526073,1933.7110619491725,1023.5234828679074,230.58729109556714,657.4034714298552,1213.5585488731756,4079.154351211685,1213.4019208316026,0.0,624.6398252144094,1624.6335680010477
SBS2,1417.8144315061038,0.0,610.139191442483,0.0,0.0,0.0,0.0,487.2642763843074,0.0,0.0,0.0,711.4470994694867,547.5856908977881,0.0,0.0,0.0,766.3882820216477,0.0,0.0,539.9275503116336,0.0,347.04539773890184,0.0,758.0718262620051,0.0,112.51754017549825,0.0,266.25957572987846,0.0,298.4020229332355,120.08394045452276,0.0,162.60149675210536,271.7930747784919,897.7434658680955,423.4650751662049,0.0,1275.6472226797246,0.0,0.0,0.0,0.0,0.0,1426.3974099706334,303.30510466759654,0.0,259.82232737271295,0.0,0.0,0.0,0.0,250.86100250183847,0.0,0.0,991.585846219439,796.7798939371678,0.0,0.0,0.0,1178.1183931450566,360.2537400418022,0.0,699.5989328875282,462.3132889941047,0.0,0.0,1039.857138894154,180.72346013503397,1333.6609678223806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.56960197627893,1968.7320819531096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385.00947384847933,8.97633428022728,0.0
SBS3,8980.544397283576,0.0,742.0710269596902,0.0,0.0,0.0,0.0,2028.9329981618362,0.0,0.0,0.0,0.0,0.0,0.0,139.25455006975795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7581.489632789198,499.14895582428716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35317.94879861885,0.0,0.0,0.0,0.0,2549.4596568711586,147.81984564362438,15791.309931716634,1507.9905696214373,0.0,0.0,0.0,3963.6464885998575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1887.0949786128838,5575.267676741688,0.0,0.0,0.0,0.0,0.0,29778.605736785215,0.0,0.0,7397.606428109202,0.0,0.0,0.0,0.0,4203.374104958997,0.0,0.0,0.0,0.0,0.0,0.0,955.8587732302249,0.0,0.0,0.0,12670.545463200813,0.0,0.0,0.0,0.0,0.0,0.0
SBS5,5603.145022857704,4865.9249184276305,0.0,3141.432555321864,1111.5075708369495,9781.386269137769,0.0,16510.269678396166,14130.573552875356,1879.915500851147,8168.790451996937,3574.8003751174356,15406.673979486324,7837.3635643549915,0.0,3422.5234830735926,0.0,8067.470580296774,2572.2011924827607,2423.223752200034,891.551750110207,3199.3737544559626,5018.305892111118,379.47470933948546,1351.5746589459777,1858.7877496999045,6649.157938645903,4360.306104824061,6875.999243877153,1947.506883432234,203.91020996814464,4976.732244116368,13909.131978441712,2885.241038784334,3237.188226802997,0.0,0.0,7299.557974381725,7368.33686134643,5995.488053976831,10920.095603851929,0.0,0.0,3709.5821971673668,2646.226290550768,3791.9654454220686,4456.680224622262,3386.789290717162,1070.7565805241325,0.0,4656.81443964891,1002.8522279619086,940.5531641604198,0.0,2567.979511156917,10764.71936471638,3278.8654312274275,5356.371856562032,767.9414710425032,3636.1754485372307,8164.643849345565,5032.151631722618,0.0,1121.3272278067302,0.0,3299.233012035431,0.0,7232.416379442587,2133.4478863608456,10000.26709648471,0.0,2101.753519051079,18403.266254795755,17640.558989676152,7444.55930397334,17059.735943723947,6236.930732451216,0.0,11572.36936877342,1104.5772634115483,6566.558268832501,5806.162951901903,8828.381272040677,525.9842966409719,4206.596571354799,0.0,0.0,0.0,2316.503119477472,0.0,7930.3699550862475
SBS13,0.0,114.10744012275322,0.0,0.0,0.0,942.173781275198,0.0,0.0,0.0,49.63038871303807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.69391723806112,0.0,0.0,0.0,0.0,101.50884996016303,0.0,0.0,0.0,272.89981113738554,294.3064305510857,810.1246632398584,73.69497705602329,0.0,652.4361283267342,0.0,88.8382505387377,0.0,0.0,262.1653967348362,0.0,398.78096703325343,0.0,1713.38930464421,174.94921142571417,0.0,364.2513401484399,202.5901607322158,0.0,126.24626334717769,377.11153784248944,0.0,0.0,0.0,1421.6046382101265,0.0,0.0,0.0,0.0,0.0,450.71782490519314,0.0,0.0,385.5944215031414,709.0592732900561,0.0,0.0,859.0484334847974,0.0,785.1819257406065,0.0,0.0,0.0,0.0,0.0,632.8292041277429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,602.9621651588304,757.6601967537468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS17a,4956.5931580283805,536.8674748955004,0.0,242.19033594226252,2596.115024898687,0.0,600.3429881556714,2001.7818526413405,969.1010123825662,1478.0058802201052,0.0,1328.9118662319643,0.0,0.0,761.0924901257624,1929.981783043263,0.0,905.9555339633089,2065.602521677823,2179.739537262387,92.68835773251655,1181.0020622047764,641.8216834062326,3120.747898498934,546.9299997484919,0.0,618.8590419667801,0.0,0.0,5648.8938278549695,2525.016381140946,0.0,1520.9615815827306,226.3966252957948,5447.837219570797,0.0,4769.9196769906,4333.128394746822,0.0,0.0,0.0,0.0,431.483072731239,4030.3963265410466,0.0,0.0,0.0,1217.3865939134519,0.0,0.0,732.7603956172031,0.0,0.0,0.0,2816.2348223188696,320.3235078220448,480.044466864043,0.0,262.952448064662,2202.4072854601104,344.13160140312146,2120.049236169041,130.23038023361028,1885.0289768068637,3336.1170066162626,0.0,2113.3047406788082,0.0,3341.4169803522673,8052.8098670614145,0.0,276.99589992402116,7107.461949218427,4634.85851005248,1183.9309862862995,0.0,0.0,673.9083893725106,1586.1479443023393,179.25007801337398,293.0845737283522,0.0,0.0,429.6606996975232,3489.050079369869,0.0,2872.306461321663,2880.4634618190003,441.9399820224449,2887.403322090495,0.0
SBS17b,189.68183709860457,3325.3177413155236,0.0,9577.034190135219,416.10816715292407,2631.647967014533,2045.1013327193377,0.0,2257.0191452078266,659.9609002125807,3272.719115271658,123.11469258643652,1109.1049956114302,202.0428463424771,338.1131109480495,5290.787191854237,114.91903892514499,0.0,0.0,627.2093878676934,4714.083813481187,1869.3849309584668,0.0,0.0,1188.145046198435,9619.11680847612,15232.911832682921,0.0,1785.021385675376,0.0,947.7766880639742,0.0,0.0,303.77820975880513,0.0,1308.9860275439305,1266.8194266332112,0.0,2592.7850226040146,5200.0991465595625,679.7885389335366,17156.0782557637,348.01166979752924,0.0,6345.840879436223,1401.6726208469915,0.0,4719.92569303281,354.6230720334308,667.6095320809818,808.249034266874,16464.67827905954,0.0,320.421930539675,1195.2166972258246,612.8912212459529,3563.8594078121646,0.0,0.0,0.0,0.0,0.0,1642.5149658934722,0.0,4577.508911164306,8055.722150727339,0.0,4749.224409964682,2784.08947540046,664.4346878376928,0.0,386.2884062374008,898.5911784856303,6181.384360407042,8973.243796139286,352.4546905635783,891.297219950702,43.95754564474614,5587.5557333989245,543.5864099218388,3038.8899400929536,0.0,0.0,259.81389789939266,10058.811439753834,0.0,0.0,11470.886562524689,14300.835459673306,0.0,4025.829345460134
SBS18,0.0,3213.3314396660417,3070.716691809939,6262.643376507264,943.6142997476948,0.0,2816.562830943512,739.2004745327672,2137.495639254992,0.0,2887.3252871980776,2252.3540310782905,1263.7836595804783,0.0,0.0,780.7624241969675,0.0,0.0,223.42261728876116,969.2164314407673,0.0,3836.7572228666595,0.0,0.0,2984.920516602071,1588.614408421829,1391.530822715036,1726.556504076444,0.0,412.1912389083944,868.2947881466159,0.0,1199.0852945992988,1017.7799842177733,0.0,0.0,0.0,0.0,0.0,1441.8936692713864,1035.968270151906,2210.420747538702,0.0,0.0,418.5345247140874,0.0,0.0,0.0,905.4096880238131,0.0,2568.9677505461977,3430.5328709502814,314.90695275623636,0.0,0.0,2601.3461025431543,2454.936126033781,2445.2884670144554,2119.357396371491,0.0,2293.1310274302123,2422.1491398607645,5010.466920040127,3558.782243102779,0.0,0.0,3574.2615069407934,1708.955756410256,0.0,0.0,4177.624415307935,1800.3780724410726,4992.131629033912,0.0,0.0,0.0,0.0,0.0,1783.4867343183896,809.194458533336,0.0,0.0,0.0,2715.3053686633816,0.0,1757.5327268871065,2599.7371463132768,5880.946028487012,280.4522881962455,0.0,855.8924773358551
SBS28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,987.9545510089338,255.3049310356655,0.0,0.0,403.0611318170494,0.0,4294.299446518439,0.0,0.0,0.0,172.91523576166446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.34156008153786,0.0,0.0,412.5070876349944,0.0,0.0,0.0,0.0,393.82986385103186,4174.0837755139455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,725.6419554661111,0.0,0.0,1328.9608275063379,962.8642035806938,0.0,0.0,0.0,0.0,292.1940654314259,0.0,0.0,0.0,66.75529944985527,803.6198133947282,0.0,0.0,1945.0978469245729,0.0,12.281710413015269,0.0
SBS40,0.0,0.0,4847.017864206576,0.0,5400.001107457454,4394.259981163645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6285.6276222638035,0.0,0.0,0.0,1712.7261913682673,1158.5982660380082,5981.191623122891,0.0,0.0,2558.1376870295335,0.0,0.0,0.0,0.0,0.0,2368.62840157911,473.6125433383568,876.1425007969567,0.0,0.0,11787.63781650091,0.0,7229.558316703404,11926.136944606871,0.0,0.0,0.0,10028.620799883029,0.0,0.0,0.0,0.0,6965.491433396149,7062.9836181077035,0.0,0.0,2204.594226605882,5140.844408192577,0.0,5789.074902226586,10822.645521723754,0.0,0.0,0.0,13242.678422766112,1973.2936002264123,0.0,0.0,1636.5631920919332,3118.7150347155357,0.0,3055.245249518063,0.0,4897.29948537639,0.0,0.0,0.0,0.0,7522.116327283451,4421.293159877219,0.0,4038.6844354753757,0.0,888.7839991791295,0.0,15691.255664986616,0.0,0.0,1734.5228485951425,0.0,0.0,4806.504454731821,528.774483016573,2789.5978974596073,3961.126082191636,0.0,0.0,0.0
