Mutation type,Skin-Melanoma::MSI-H.S.1,Skin-Melanoma::MSI-H.S.2
AC>CA,0.3852663516913723,0.03345562718413586
AC>CG,0.09021654514015001,0.017771198343283418
AC>CT,12.539016785529851,2.887819730783494
AC>GA,1.1455079574410951,0.0854902344544024
AC>GG,0.17599939531523615,0.0384369479318744
AC>GT,8.648595041088152,1.9925282990953914
AC>TA,4.413588661538519,0.8077817428764699
AC>TG,0.5424145208421217,0.11578204981225994
AC>TT,77.60878209020733,17.83851348852314
AT>CA,1.416673631037852,0.32445900005539063
AT>CC,0.8723565372089955,0.1999259813618866
AT>CG,0.011777206425203945,0.002679142780540458
AT>GA,6.332043942976949,1.4270810790818487
AT>GC,0.509249813203177,0.11712835271703566
AT>TA,7.026344573562393,1.575174398609197
CC>AA,0.03092862543862668,0.007135405395409244
CC>AG,5.599618187496167,0.008279762864484355
CC>AT,54.6023240285871,12.587932159825751
CC>GA,3.597354486457901,0.09020229462118472
CC>GG,1.9213245409901327,0.06610347262539519
CC>GT,20.501842147395365,4.65820805058793
CC>TA,30.545577491949484,7.000775104929854
CC>TG,8.06087720499113,1.7165362036125995
CC>TT,2503.4679836170853,577.5639461567116
CG>AT,0.6827743491840274,0.00040591032579545105
CG>GC,0.06910341390320215,0.003648480871992282
CG>GT,0.29579155613273256,0.0011443574690750708
CG>TA,1.0387349675611475,0.23964191705330878
CG>TC,0.8415179190287398,0.008481708300203472
CG>TT,2.0507958168015614,0.08347078009723881
CT>AA,0.485457776387651,0.01864629523139968
CT>AC,1.398680591269618,0.2820504585543497
CT>AG,3.567651100274589,1.918481639331737e-15
CT>GA,0.9232181635448189,0.06004510955382125
CT>GC,0.8969576059054643,0.16963416600402906
CT>GG,0.6465932981527033,0.0072700356858887
CT>TA,22.795962112433497,5.257312843221337
CT>TC,30.6368459533558,7.068090250169516
CT>TG,7.547447617468746,1.5078592533694688
GC>AA,4.61011586726663,1.0635792947873566
GC>AG,0.6427762777705237,0.07202720540644329
GC>AT,0.3118987376433818,0.03278247573173871
GC>CA,0.9529482255759538,0.03877352365807291
GC>CG,0.015026643491408725,0.003466729979845063
GC>TA,0.07728852930843584,0.0005566962511324013
TA>AT,2.2475312089517354,0.33994148346051334
TA>CG,0.04542230392196777,0.005082293465598097
TA>CT,4.405651321207497,0.47255231958273897
TA>GC,0.08249223072845305,0.013530344193181679
TA>GG,0.22481079940712195,0.04732254710351611
TA>GT,3.3611090981691203,0.7741241702566058
TC>AA,4.168472834592563,0.007337350831128361
TC>AG,0.7568679129372101,0.002080037987907038
TC>AT,7.231425584568825,1.6559525728968172
TC>CA,1.0786759692803283,0.0029753294195951816
TC>CG,0.1741433123780209,0.02221399792910427
TC>CT,6.391917658904957,1.278987759554433
TC>GA,0.8502732922273049,0.04321632324389377
TC>GG,1.3355973087994197,0.2766652469351795
TC>GT,14.88075374877284,3.433072407225199
TG>AA,6.3005461141998005,0.9222174897840215
TG>AC,1.603752218387934,0.15953689421807657
TG>AT,26.99266770034189,1.622295000276953
TG>CA,1.8437159675269212,0.18780925521877054
TG>CC,1.013159887072829,0.06933459959689184
TG>CT,30.23599775788874,1.2453301869346363
TG>GA,1.8595253958347682,0.27397264112556075
TG>GC,0.7651855361148912,0.059843164118102136
TG>GT,8.018585920068134,1.278987759554433
TT>AA,16.036125555562684,3.6956014736600316
TT>AC,2.112373289914664,0.484669045725855
TT>AG,1.4111172441902908,0.2813773071019618
TT>CA,2.115401268207756,0.4880348029878616
TT>CC,15.814448101637042,3.6484808719922754
TT>CG,0.24552279580372693,0.05641009171087694
TT>GA,5.427098426022952,1.2520617014585822
TT>GC,3.092899484857385,0.7135405395408908
TT>GG,4.697649712847904,1.083773838359329
