Samples	ID1	ID2	ID3	ID5	ID6	ID8	ID9
Lung-AdenoCA::S.1	55	0	239	176	0	0	0
Lung-AdenoCA::S.2	206	0	0	0	0	52	0
Lung-AdenoCA::S.3	230	0	2185	0	0	0	0
Lung-AdenoCA::S.4	0	0	125	0	0	0	0
Lung-AdenoCA::S.5	0	0	2078	0	0	0	905
Lung-AdenoCA::S.6	96	164	0	311	0	166	112
Lung-AdenoCA::S.7	0	0	123	340	0	0	0
Lung-AdenoCA::S.8	0	0	3925	0	0	0	0
Lung-AdenoCA::S.9	0	0	781	0	0	0	0
Lung-AdenoCA::S.10	0	0	0	99	0	57	0
Lung-AdenoCA::S.11	0	0	128	240	0	0	0
Lung-AdenoCA::S.12	104	0	177	156	0	0	0
Lung-AdenoCA::S.13	219	0	1742	0	0	0	0
Lung-AdenoCA::S.14	0	0	1153	0	0	0	578
Lung-AdenoCA::S.15	0	0	0	221	0	152	342
Lung-AdenoCA::S.16	150	47	0	0	0	59	0
Lung-AdenoCA::S.17	0	0	2710	0	0	0	870
Lung-AdenoCA::S.18	114	132	402	304	0	0	0
Lung-AdenoCA::S.19	181	0	0	196	0	82	0
Lung-AdenoCA::S.20	157	0	0	0	0	0	147
Lung-AdenoCA::S.21	80	0	0	0	0	167	0
Lung-AdenoCA::S.22	177	0	0	294	0	0	0
Lung-AdenoCA::S.23	0	0	2744	0	0	0	0
Lung-AdenoCA::S.24	0	0	3692	0	0	0	0
Lung-AdenoCA::S.25	0	0	500	362	0	0	0
Lung-AdenoCA::S.26	135	0	450	0	0	0	0
Lung-AdenoCA::S.27	0	0	1634	0	0	0	0
Lung-AdenoCA::S.28	162	0	193	0	0	0	0
Lung-AdenoCA::S.29	36	12	0	0	63	0	0
Lung-AdenoCA::S.30	0	0	4097	0	0	0	0
Lung-AdenoCA::S.31	147	0	1206	606	0	0	0
Lung-AdenoCA::S.32	182	0	732	0	0	0	477
Lung-AdenoCA::S.33	354	0	1172	0	0	0	0
Lung-AdenoCA::S.34	292	0	1407	0	0	0	0
Lung-AdenoCA::S.35	0	0	1341	0	0	0	0
Lung-AdenoCA::S.36	0	0	1878	0	886	0	0
Lung-AdenoCA::S.37	418	0	1529	0	0	0	0
Lung-AdenoCA::S.38	0	0	1009	0	0	0	394
Lung-AdenoCA::S.39	286	0	102	0	0	0	0
Lung-AdenoCA::S.40	0	31	0	250	0	166	0
Lung-AdenoCA::S.41	64	39	74	164	0	73	0
Lung-AdenoCA::S.42	473	0	334	374	0	0	0
Lung-AdenoCA::S.43	0	0	877	0	0	0	331
Lung-AdenoCA::S.44	340	0	0	311	0	0	193
Lung-AdenoCA::S.45	132	141	0	260	0	0	0
Lung-AdenoCA::S.46	144	0	0	0	939	0	0
Lung-AdenoCA::S.47	0	0	3314	0	0	0	0
Lung-AdenoCA::S.48	0	0	2611	0	0	0	0
Lung-AdenoCA::S.49	0	0	4758	0	0	0	0
Lung-AdenoCA::S.50	0	0	1928	0	0	0	357
Lung-AdenoCA::S.51	146	0	1250	0	0	0	0
Lung-AdenoCA::S.52	0	0	1283	0	0	0	0
Lung-AdenoCA::S.53	217	0	0	0	1466	0	0
Lung-AdenoCA::S.54	54	0	123	335	0	0	0
Lung-AdenoCA::S.55	83	74	136	159	0	0	0
Lung-AdenoCA::S.56	0	0	160	310	0	0	0
Lung-AdenoCA::S.57	0	23	0	0	0	80	0
Lung-AdenoCA::S.58	107	0	243	374	0	0	0
Lung-AdenoCA::S.59	120	65	0	268	0	67	0
Lung-AdenoCA::S.60	0	0	289	0	0	0	0
Lung-AdenoCA::S.61	0	42	109	0	0	0	53
Lung-AdenoCA::S.62	121	220	500	434	0	0	0
Lung-AdenoCA::S.63	0	116	0	1012	0	0	0
Lung-AdenoCA::S.64	0	0	4169	0	0	0	0
Lung-AdenoCA::S.65	107	0	466	0	0	0	0
Lung-AdenoCA::S.66	78	0	371	389	0	0	0
Lung-AdenoCA::S.67	357	0	0	0	0	0	489
Lung-AdenoCA::S.68	0	0	0	110	0	0	0
Lung-AdenoCA::S.69	131	0	223	0	0	0	0
Lung-AdenoCA::S.70	0	0	752	0	0	0	0
Lung-AdenoCA::S.71	118	0	94	183	0	49	0
Lung-AdenoCA::S.72	0	363	240	0	0	0	0
Lung-AdenoCA::S.73	55	369	0	0	0	0	126
Lung-AdenoCA::S.74	98	0	249	0	0	0	0
Lung-AdenoCA::S.75	121	0	0	0	868	0	0
Lung-AdenoCA::S.76	0	0	855	0	0	0	362
Lung-AdenoCA::S.77	127	0	0	0	0	0	803
Lung-AdenoCA::S.78	235	0	0	182	0	0	0
Lung-AdenoCA::S.79	45	0	286	0	0	76	0
Lung-AdenoCA::S.80	114	0	0	232	0	0	0
Lung-AdenoCA::S.81	0	0	0	340	0	0	0
Lung-AdenoCA::S.82	60	0	0	451	315	0	0
Lung-AdenoCA::S.83	0	0	2465	0	0	0	0
Lung-AdenoCA::S.84	0	109	252	301	0	0	385
Lung-AdenoCA::S.85	201	0	968	0	0	0	0
Lung-AdenoCA::S.86	0	0	625	334	0	0	0
Lung-AdenoCA::S.87	0	0	2213	0	0	0	1011
Lung-AdenoCA::S.88	0	0	184	492	0	0	0
Lung-AdenoCA::S.89	0	0	1147	0	0	0	0
Lung-AdenoCA::S.90	0	0	1588	0	0	0	1153
Lung-AdenoCA::S.91	0	110	151	0	0	0	257
