MutationType	Kidney-RCC::S.1	Kidney-RCC::S.2	Kidney-RCC::S.3	Kidney-RCC::S.4	Kidney-RCC::S.5	Kidney-RCC::S.6	Kidney-RCC::S.7	Kidney-RCC::S.8	Kidney-RCC::S.9	Kidney-RCC::S.10	Kidney-RCC::S.11	Kidney-RCC::S.12	Kidney-RCC::S.13	Kidney-RCC::S.14	Kidney-RCC::S.15	Kidney-RCC::S.16	Kidney-RCC::S.17	Kidney-RCC::S.18	Kidney-RCC::S.19	Kidney-RCC::S.20	Kidney-RCC::S.21	Kidney-RCC::S.22	Kidney-RCC::S.23	Kidney-RCC::S.24	Kidney-RCC::S.25	Kidney-RCC::S.26	Kidney-RCC::S.27	Kidney-RCC::S.28	Kidney-RCC::S.29	Kidney-RCC::S.30	Kidney-RCC::S.31	Kidney-RCC::S.32	Kidney-RCC::S.33	Kidney-RCC::S.34	Kidney-RCC::S.35	Kidney-RCC::S.36	Kidney-RCC::S.37	Kidney-RCC::S.38	Kidney-RCC::S.39	Kidney-RCC::S.40	Kidney-RCC::S.41	Kidney-RCC::S.42	Kidney-RCC::S.43	Kidney-RCC::S.44	Kidney-RCC::S.45	Kidney-RCC::S.46	Kidney-RCC::S.47	Kidney-RCC::S.48	Kidney-RCC::S.49	Kidney-RCC::S.50	Kidney-RCC::S.51	Kidney-RCC::S.52	Kidney-RCC::S.53	Kidney-RCC::S.54	Kidney-RCC::S.55	Kidney-RCC::S.56	Kidney-RCC::S.57	Kidney-RCC::S.58	Kidney-RCC::S.59	Kidney-RCC::S.60	Kidney-RCC::S.61	Kidney-RCC::S.62	Kidney-RCC::S.63	Kidney-RCC::S.64	Kidney-RCC::S.65	Kidney-RCC::S.66	Kidney-RCC::S.67	Kidney-RCC::S.68	Kidney-RCC::S.69	Kidney-RCC::S.70	Kidney-RCC::S.71	Kidney-RCC::S.72	Kidney-RCC::S.73	Kidney-RCC::S.74	Kidney-RCC::S.75	Kidney-RCC::S.76	Kidney-RCC::S.77	Kidney-RCC::S.78	Kidney-RCC::S.79	Kidney-RCC::S.80	Kidney-RCC::S.81	Kidney-RCC::S.82	Kidney-RCC::S.83	Kidney-RCC::S.84	Kidney-RCC::S.85	Kidney-RCC::S.86	Kidney-RCC::S.87	Kidney-RCC::S.88	Kidney-RCC::S.89	Kidney-RCC::S.90	Kidney-RCC::S.91	Kidney-RCC::S.92	Kidney-RCC::S.93	Kidney-RCC::S.94	Kidney-RCC::S.95	Kidney-RCC::S.96	Kidney-RCC::S.97
AC>CA	0	2	5	1	0	0	0	0	0	2	4	1	1	0	2	4	7	0	1	0	13	2	2	0	3	0	4	4	3	0	1	1	4	4	0	0	0	0	2	5	1	4	0	1	5	2	0	0	7	0	0	2	0	0	1	2	2	0	2	14	3	0	1	2	4	2	0	2	0	1	3	0	0	0	5	0	2	3	4	3	0	2	0	3	1	7	5	1	5	0	0	3	3	0	0	0	0
AC>CG	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0
AC>CT	0	0	0	1	0	2	0	0	0	1	0	1	0	0	0	1	0	0	3	0	1	2	7	0	0	0	3	7	0	2	11	1	0	0	2	0	0	5	0	7	4	2	6	4	3	0	0	0	0	0	0	8	0	0	0	6	2	0	0	1	1	0	2	1	4	3	2	0	2	2	0	2	0	2	0	0	4	1	0	3	0	9	0	0	6	0	5	0	3	4	0	4	7	0	3	0	5
AC>GA	0	1	1	0	0	6	0	0	0	0	6	0	0	1	2	4	3	0	5	0	1	2	0	0	5	2	0	5	2	1	4	8	0	8	3	0	0	0	3	2	0	15	1	4	1	0	0	0	1	0	1	0	0	3	1	0	6	0	2	5	5	0	0	11	1	7	3	0	0	0	8	1	1	1	5	0	2	7	1	0	0	8	0	0	4	4	0	0	0	3	1	0	2	0	14	0	3
AC>GG	0	1	0	0	3	1	0	0	0	1	1	0	0	0	0	0	4	0	0	0	2	3	0	0	0	3	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	2	2	0	1	0	0	0	0	0	0	0	0	0	2	1	0	1	9	3	0	0	0	1	0	0	0	0	0	3	0	1	0	1	0	0	4	1	0	0	0	0	0	0	0	2	0	0	0	0	2	2	0	0	0	0	2
AC>GT	0	1	4	1	2	1	0	0	0	9	1	1	0	0	1	0	1	0	1	0	5	0	1	1	1	4	0	0	0	0	0	1	0	1	0	0	0	1	1	4	1	2	6	1	0	0	2	0	2	0	0	1	0	1	0	0	0	0	1	0	3	0	1	0	2	2	1	1	0	1	1	3	0	3	2	0	2	0	1	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0
AC>TA	0	4	5	3	3	1	0	2	0	1	0	0	0	1	0	4	9	0	3	0	12	6	1	0	4	0	0	4	0	0	1	8	3	3	2	3	0	3	3	2	13	3	2	15	0	0	9	1	4	0	0	4	0	3	2	7	0	0	0	2	3	0	0	26	11	5	1	0	5	2	9	1	0	10	0	0	1	4	5	0	0	2	0	4	0	0	20	0	1	0	0	3	5	0	7	0	2
AC>TG	0	0	1	1	0	5	0	0	0	7	1	1	0	0	1	1	1	0	4	0	10	0	1	0	0	2	5	5	0	0	1	1	0	0	0	0	0	1	1	0	2	0	5	1	3	0	0	1	2	0	0	3	0	0	0	4	6	0	1	6	7	0	2	1	3	0	3	0	1	0	1	2	0	0	1	0	0	1	0	0	0	1	0	0	3	5	0	0	0	0	4	10	1	0	9	0	0
AC>TT	0	2	1	1	0	8	0	0	0	11	0	2	0	0	1	9	1	0	0	1	5	7	5	0	0	6	0	0	0	7	11	1	0	5	0	13	0	0	0	3	1	5	8	21	14	0	8	9	1	0	1	0	0	1	3	0	0	1	4	2	5	0	1	4	3	1	5	1	0	0	17	3	0	20	1	0	7	0	4	1	0	9	0	1	4	3	0	1	2	2	1	2	5	0	8	0	5
AT>CA	0	0	0	1	0	2	0	0	0	2	1	0	0	0	0	2	1	0	1	0	4	3	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	1	1	1	0	3	1	1	3	0	2	1	0	0	0	0	0	0	1	1	0	1	7	1	1	0	6	0	0	5	0	1	1	0	1	0	0	0	0	0	0	1	0	1	0	7	0	2	1	3	0	0	0	1	1	1	0	0	2	0	5
AT>CC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0
AT>CG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT>GA	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	1	0	1	2	3	1	3	1	0	0	1	0	0	0	2	2	4	3	2	0	0	0	0	1	0	0	0	0	0	5	0	2	2	1	0	1	0	0	1	0	2	0	1	0	0	2	1	0	0	1	0	1	0	2	0	0	1	0	1	0	2	4	0	0	1	3	3	1	0	1	0	0
AT>GC	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0
AT>TA	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	2	2	0	0	4	0	0	0	0	1	3	0	0	0	0	3	0	2	0	1	4	4	0	0	2	0	1	0	0	0	0	3	0	2	0	0	1	0	5	1	2	0	2	1	2	1	1	5	5	0	2	1	1	1	1	0	5	0	4	6	0	0	0	2	2	1	3	1	3	0	0	8	0	0	1	1	0
CC>AA	81	8	22	10	26	13	24	121	1	17	3	47	42	22	1	10	13	22	20	63	9	7	30	20	17	2	13	20	1	5	3	61	30	1	80	126	3	37	7	45	6	23	11	5	46	11	14	16	33	80	20	37	0	25	45	5	0	0	0	64	34	6	5	47	19	5	1	14	11	4	0	5	7	39	14	10	7	12	0	34	12	41	23	11	7	54	45	40	2	2	26	5	25	5	31	67	13
CC>AG	4	3	1	5	8	5	3	3	0	7	5	3	6	3	1	0	5	0	6	8	3	2	1	2	10	0	7	3	2	2	0	1	2	1	10	6	1	6	5	4	3	2	2	24	2	2	3	10	3	10	1	6	16	6	17	1	1	5	2	8	3	0	3	10	2	9	5	0	1	6	4	2	3	21	12	3	5	6	0	3	0	12	1	13	2	10	3	2	2	0	3	5	6	0	1	6	6
CC>AT	1	0	7	4	1	0	13	11	1	7	2	2	5	5	2	4	5	1	2	10	3	1	4	1	8	2	2	21	0	4	2	3	3	9	6	11	0	1	1	2	2	3	7	3	4	20	4	18	8	3	1	4	9	2	23	1	1	10	1	2	0	0	3	2	8	0	0	0	2	10	4	1	0	33	2	14	8	9	4	1	9	0	11	10	0	1	1	10	3	1	4	4	0	1	6	22	9
CC>GA	1	0	0	1	4	2	0	0	0	1	1	1	1	1	1	0	1	3	4	3	2	2	6	0	1	1	0	1	0	3	1	1	1	0	3	3	2	0	1	0	2	1	2	6	0	5	2	3	3	6	0	2	4	5	4	3	3	1	2	1	1	1	1	6	3	1	1	0	0	4	0	1	1	0	4	4	8	0	2	0	0	11	0	9	1	3	0	0	3	0	0	2	1	0	1	2	0
CC>GG	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	1	0	0	1	0	0	0	3	0	1	2	1	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
